text,target_aos,target_cs,t5_str_pred_aos,flan_t5_str_pred_aos,t5_str_pred_cs,flan_t5_str_pred_cs
You never feel icky and stuffed after you eat there .,"( NULL , never feel icky and stuffed , positive )","( food quality , positive )","( NULL, never feel icky, positive )","( NULL, never feel icky, positive )","( restaurant general, positive )","( restaurant miscellaneous, positive )"
As part of a small party of four /AS/ our food was dropped off without comment /ES/,"( NULL , dropped off without comment , negative )","( service general , negative )","( food, dropped off without comment, negative )","( food, dropped off without comment, negative )","( food quality, negative )","( service general, negative )"
I hope one day Scooner or Later returns to what it once was .,"( Scooner or Later , returns to what it once was , negative )","( restaurant general , negative )","( Scooner or Later, returns, positive )","( Scooner or Later, returns to what it once was, positive )","( restaurant general, positive )","( restaurant general, positive )"
First off /AS/ the food came fast and all together : /CB/ i like that . . . i hate the pretentiousness of things coming in one after the other .,"( NULL , like , positive )","( service general , positive )","( food, fast, positive ) ; ( food, hate, negative )","( food, fast, positive ) ; ( food, hate, negative )","( food style_options, positive )","( food quality, positive ) ; ( service general, positive )"
The food was great !,"( food , great , positive )","( food quality , positive )","( food, great, positive )","( food, great, positive )","( food quality, positive )","( food quality, positive )"
If there is a line very day of the week for the entire time a place is open /AS/ you know it is great .,"( place , great , positive )","( restaurant general , positive )","( place, great, positive )","( place, great, positive )","( restaurant miscellaneous, positive )","( restaurant miscellaneous, positive )"
The most pleasant surprise was the check that did not exceed my expectations as it always happens in most of the places .,"( NULL , pleasant , positive )","( restaurant prices , positive )","( check, pleasant surprise, positive )","( check, pleasant surprise, positive )","( service general, positive )","( service general, positive )"
At best /AS/ the food was good and definately overpriced .,"( food , good , positive ) ; ( food , overpriced , negative )","( food quality , positive ) ; ( food prices , negative )","( food, good, negative ) ; ( food, overpriced, negative )","( food, good, positive ) ; ( food, overpriced, negative )","( food quality, negative ) ; ( food prices, negative )","( food quality, positive ) ; ( food prices, negative )"
The outside patio area has an abbreviated menu .,"( menu , abbreviated , neutral )","( food style_options , neutral )","( outside patio area, abbreviated, negative )","( menu, abbreviated, positive )","( food style_options, negative )","( food style_options, positive )"
Best Indian food in L . A .,"( Indian food , Best , positive )","( food quality , positive )","( Indian food, Best, positive )","( Indian food, Best, positive )","( food quality, positive )","( food quality, positive )"
Cut to the chase - this is amazing !,"( NULL , amazing , positive )","( restaurant general , positive )","( NULL, amazing, positive )","( NULL, amazing, positive )","( food quality, positive )","( food quality, positive )"
The food is not what it once was /OB/ potions have seriously seen downsizing /CB/ prices have gone up /AS/ and the service is the worst I have experienced anywhere /OB/ including mainland Europe /CB/ .,"( food , not what it once was , negative ) ; ( potions , downsizing , negative ) ; ( service , worst , negative ) ; ( food , gone up , negative )","( food quality , negative ) ; ( food style_options , negative ) ; ( service general , negative ) ; ( food prices , negative )","( food, not what it once was, negative ) ; ( potions, downsizing, negative ) ; ( service, worst, negative )","( food, not what it once was, negative ) ; ( potions, downsizing, negative ) ; ( service, worst, negative )","( food quality, negative ) ; ( drinks prices, negative ) ; ( service general, negative )","( food quality, negative ) ; ( restaurant prices, negative ) ; ( service general, negative )"
Lebanese Food ! Yum !,"( Lebanese Food , Yum , positive )","( food quality , positive )","( Lebanese Food, Yum, positive )","( Lebanese Food, Yum, positive )","( food quality, positive )","( food quality, positive )"
the brocollis were so fresh and tasty .,"( brocollis , fresh , positive )","( food quality , positive )","( brocollis, fresh, positive ) ; ( brocollis, tasty, positive )","( brocollis, fresh, positive ) ; ( brocollis, tasty, positive )","( food quality, positive )","( food quality, positive )"
And they give good quantity for the price .,"( NULL , good quantity , positive )","( food style_options , positive )","( NULL, good quantity, positive )","( NULL, good quantity, positive )","( food style_options, positive ) ; ( food prices, positive )","( food style_options, positive ) ; ( food prices, positive )"
Very Disappointing,"( NULL , Disappointing , negative )","( restaurant general , negative )","( NULL, Disappointing, negative )","( NULL, Disappointing, negative )","( food quality, negative )","( restaurant general, negative )"
Seattle ' s BEST Winelist,"( Winelist , BEST , positive )","( drinks style_options , positive )","( Winelist, BEST, positive )","( Winelist, BEST, positive )","( drinks style_options, positive )","( drinks style_options, positive )"
– I ca n ' t say enough about this place .,"( place , ca n ' t say enough , positive )","( restaurant general , positive )","( place, can't say enough, positive )","( place, can't say enough, positive )","( restaurant general, positive )","( restaurant general, positive )"
– i have been eating at this place for over 8 years now and i have never had one bad meal .,"( meal , bad , positive )","( food quality , positive )","( meal, never had one bad, positive )","( meal, never had one bad, positive )","( food quality, positive )","( food quality, positive )"
I went home & looked them up online again where I discovered there is a link for a give away that doesn ' t work so emailed the restaurant about the non existent service & deceptive link .,"( restaurant , non existent , negative ) ; ( restaurant , deceptive , negative )","( restaurant miscellaneous , negative )","( service, non existent, negative ) ; ( service, deceptive, negative )","( service, non existent, negative ) ; ( link, deceptive, negative )","( service general, negative )","( service general, negative )"
Fancy pieces of exotic fish on a $ 100 dollar plate and NOT ONE was eatable .,"( plate , 100 dollar , negative ) ; ( exotic fish , NOT ONE was eatable , negative ) ; ( exotic fish , Fancy , negative )","( food prices , negative ) ; ( food quality , negative ) ; ( food style_options , negative )","( pieces of exotic fish, Fancy, positive ) ; ( plate, $ 100 dollar, negative ) ; ( NULL, NOT ONE, eatable, negative )","( fish, Fancy, positive ) ; ( fish, NOT ONE was eatable, negative ) ; ( NULL, $ 100 dollar plate, negative )","( food quality, negative ) ; ( food prices, negative )","( food style_options, positive ) ; ( food quality, negative ) ; ( food prices, negative )"
I had yummy lamb korma /AS/ saag paneer /AS/ samosas /AS/ naan /AS/ etc .,"( lamb korma , yummy , positive ) ; ( saag paneer , yummy , positive ) ; ( samosas , yummy , positive ) ; ( naan , yummy , positive )","( food quality , positive )","( lamb korma, yummy, positive ) ; ( saag paneer, yummy, positive ) ; ( samosas, yummy, positive ) ; ( naan, yummy, positive )","( lamb korma, yummy, positive ) ; ( saag paneer, yummy, positive ) ; ( samosas, yummy, positive ) ; ( naan, yummy, positive )","( food quality, positive )","( food quality, positive )"
Serves really good sushi .,"( sushi , good , positive )","( food quality , positive )","( sushi, good, positive )","( sushi, good, positive )","( food quality, positive )","( food quality, positive )"
As usual the omikase did n ' t disappoint in freshness /AS/ although it scored low on creativity and selection .,"( omikase , did n ' t disappoint in freshness , positive ) ; ( omikase , scored low on creativity and selection , negative )","( food quality , positive ) ; ( food style_options , negative )","( omikase, freshness, positive ) ; ( omikase, low on creativity, negative )","( omikase, freshness, positive ) ; ( omikase, low on creativity, negative )","( food quality, positive ) ; ( food style_options, negative )","( food quality, positive ) ; ( food style_options, positive )"
Rice is too dry /AS/ tuna was n ' t so fresh either .,"( Rice , too dry , negative ) ; ( tuna , was n ' t so fresh , negative )","( food quality , negative )","( Rice, dry, negative ) ; ( tuna, wasn't so fresh, negative )","( Rice, dry, negative ) ; ( tuna, wasn't so fresh, negative )","( food quality, negative )","( food quality, negative )"
Their crab eggs benedict is addicting .,"( crab eggs benedict , addicting , positive )","( food quality , positive )","( crab eggs benedict, addicting, positive )","( crab eggs benedict, addicting, positive )","( food quality, positive )","( food quality, positive )"
Save room for scrumptious desserts .,"( desserts , scrumptious , positive )","( food quality , positive )","( desserts, scrumptious, positive )","( desserts, scrumptious, positive )","( food quality, positive )","( food quality, positive )"
Our server was very professional and friendly .,"( server , professional , positive )","( service general , positive )","( server, professional, positive ) ; ( server, friendly, positive )","( server, professional, positive ) ; ( server, friendly, positive )","( service general, positive )","( service general, positive )"
I went here on a recommendation and will surely return time and time again .,"( NULL , recommendation , positive )","( restaurant general , positive )","( NULL, return, positive )","( NULL, return time and time again, positive )","( restaurant general, positive )","( restaurant general, positive )"
The food was all good but it was way too mild .,"( food , good , positive ) ; ( food , too mild , negative )","( food quality , mixed )","( food, all good, positive ) ; ( food, mild, negative )","( food, good, positive ) ; ( food, mild, negative )","( food quality, mixed )","( food quality, negative )"
– My husband and I love eating at Mioposto Café .,"( Mioposto Café , love , positive )","( restaurant general , positive )","( Mioposto Café, love, positive )","( Mioposto Café, love, positive )","( restaurant general, positive )","( restaurant general, positive )"
– This was great dining experience .,"( NULL , great , positive )","( restaurant general , positive )","( dining, great, positive )","( dining, great, positive )","( restaurant general, positive )","( restaurant general, positive )"
The staff was really friendly .,"( staff , friendly , positive )","( service general , positive )","( staff, friendly, positive )","( staff, friendly, positive )","( service general, positive )","( service general, positive )"
We easily spent more than $ 40 per person /OB/ not including alcohol /CB/ and were still hungry .,"( NULL , more than $ 40 , negative ) ; ( NULL , hungry , negative )","( restaurant prices , negative ) ; ( food style_options , negative )","( NULL, hungry, negative ) ; ( NULL, more than $ 40, negative )","( NULL, hungry, negative ) ; ( NULL, more than $ 40, negative )","( food prices, negative )","( restaurant prices, negative ) ; ( restaurant miscellaneous, negative )"
This is right up there with places in Tokyo as far as the freshness is concerned .,"( NULL , freshness , positive )","( food quality , positive )","( NULL, freshness, positive )","( NULL, freshness, positive )","( restaurant general, positive )","( food quality, positive )"
Groovy music made the dinner casual .,"( music , casual , positive )","( ambience general , positive )","( music, Groovy, positive )","( music, Groovy, positive )","( ambience general, positive )","( ambience general, neutral )"
After one member of our party had been bumped repeatedly by a waitress /AS/ a polite request that he not be bumped sent the waitress into an abusive rant .,"( waitress , an abusive rant , negative )","( service general , negative )","( waitress, abusive, negative )","( waitress, polite, negative ) ; ( waitress, abusive, negative )","( service general, negative )","( service general, negative )"
– Ray ' s /OB/ suprisingly /CB/ has the city ' s BEST & most diverse wine list .,"( wine list , BEST , positive )","( drinks style_options , positive )","( wine list, BEST, positive ) ; ( wine list, diverse, positive )","( wine list, BEST, positive ) ; ( wine list, diverse, positive )","( drinks style_options, positive )","( drinks style_options, positive )"
I probably wouldn ' t go back though ' cuz I do n ' t know if it ' s worth it .,"( NULL , wouldn ' t go back , negative )","( restaurant general , negative )","( NULL, wouldn't go back, negative )","( NULL, don't know if it's worth, negative )","( restaurant general, negative )","( restaurant general, negative )"
The chips and salsa are so yummy /AS/ and the prices are fabulous .,"( chips and salsa , yummy , positive ) ; ( NULL , fabulous , positive )","( food quality , positive ) ; ( restaurant prices , positive )","( chips and salsa, yummy, positive ) ; ( salsa, fabulous, positive )","( chips, yummy, positive ) ; ( salsa, yummy, positive ) ; ( NULL, fabulous, positive )","( food quality, positive ) ; ( food prices, positive )","( food quality, positive ) ; ( food prices, positive )"
The sommelier is fantastic /AS/ down - to - earth /AS/ & extremely knowlegable .,"( sommelier , fantastic , positive ) ; ( sommelier , down - to - earth , positive )","( service general , positive )","( sommelier, fantastic, positive ) ; ( sommelier, down - to - earth, positive ) ; ( sommelier, knowlegable, positive )","( sommelier, fantastic, positive ) ; ( sommelier, down - to - earth, positive ) ; ( sommelier, knowlegable, positive )","( service general, positive )","( restaurant miscellaneous, positive )"
big thick pepperoni,"( pepperoni , big thick , positive )","( food style_options , positive )","( pepperoni, big thick, positive )","( pepperoni, big thick, positive )","( food style_options, positive )","( food style_options, positive )"
It is not worth going at all and spend your money there ! ! !,"( NULL , not worth , negative )","( restaurant general , negative )","( NULL, not worth, negative )","( NULL, not worth, negative )","( restaurant general, negative ) ; ( restaurant prices, negative )","( restaurant general, negative ) ; ( restaurant prices, negative )"
Insultingly Overpriced,"( NULL , Overpriced , negative )","( restaurant prices , negative )","( NULL, Overpriced, negative )","( NULL, Insultingly Overpriced, negative )","( food prices, negative )","( food prices, negative )"
Indoor ambience was modern .,"( Indoor ambience , modern , positive )","( ambience general , positive )","( Indoor ambience, modern, positive )","( Indoor ambience, modern, positive )","( ambience general, positive )","( ambience general, positive )"
DONOT GO !,"( NULL , DONOT GO , negative )","( restaurant general , negative )","( NULL, DONOT GO, negative )","( NULL, DONOT GO, negative )","( restaurant general, negative )","( restaurant general, negative )"
Untill this happens /AS/ my advice is to STAY AWAY .,"( NULL , STAY AWAY , negative )","( restaurant general , negative )","( NULL, STAY AWAY, negative )","( NULL, STAY AWAY, negative )","( restaurant general, negative )","( restaurant general, negative )"
Oh I forgot to mention that they do n ' t have bread service .,"( NULL , do n ' t have bread service , negative )","( service general , negative )","( bread service, don't have bread service, negative )","( bread service, don't have, negative )","( service general, negative )","( service general, negative )"
They are not greasy or anything .,"( NULL , not greasy , positive )","( food quality , positive )","( NULL, not greasy, positive )","( NULL, not greasy, positive )","( food quality, positive )","( food quality, neutral )"
The music is great /AS/ no night better or worse /AS/ the bar tenders are generous with the pouring /AS/ and the lighthearted atmosphere will lifts you spirits .,"( music , great , positive ) ; ( bar tenders , generous , positive ) ; ( atmosphere , lighthearted , positive )","( ambience general , positive ) ; ( drinks style_options , positive )","( music, great, positive ) ; ( NULL, generous, positive ) ; ( atmosphere, lighthearted, positive )","( music, great, positive ) ; ( bar tenders, generous, positive ) ; ( atmosphere, lighthearted, positive )","( ambience general, positive ) ; ( food style_options, positive )","( ambience general, positive )"
Nice ambience /AS/ but highly overrated place .,"( ambience , Nice , positive ) ; ( place , overrated , negative )","( ambience general , positive ) ; ( restaurant general , negative )","( ambience, Nice, positive ) ; ( place, overrated, negative )","( ambience, Nice, positive ) ; ( place, overrated, negative )","( ambience general, positive ) ; ( restaurant general, negative )","( ambience general, positive ) ; ( restaurant general, negative )"
The sushi here is delicious !,"( sushi , delicious , positive )","( food quality , positive )","( sushi, delicious, positive )","( sushi, delicious, positive )","( food quality, positive )","( food quality, positive )"
– I am exceedingly pleased to report that my dinner at Ray ' s Boathouse last Friday completely exceeded my expectations .,"( Ray ' s Boathouse , exceeded my expectations , positive )","( restaurant general , positive )","( Ray's Boathouse, exceeded my expectations, positive )","( dinner, exceeded my expectations, positive )","( restaurant general, positive )","( restaurant general, positive )"
Dinners have always been excellent /AS/ in terms of food quality .,"( Dinners , excellent , positive )","( food quality , positive )","( food, excellent, positive )","( Dinners, excellent, positive )","( food quality, positive )","( food quality, positive )"
Their apps are all delicious .,"( apps , delicious , positive )","( food quality , positive )","( apps, delicious, positive )","( apps, delicious, positive )","( food quality, positive )","( food quality, positive )"
Blue Ribbon lives up to it ' s fantastic reputation .,"( Blue Ribbon , fantastic , positive )","( restaurant general , positive )","( Blue Ribbon, lives up to it's fantastic reputation, positive )","( Blue Ribbon, fantastic reputation, positive )","( restaurant general, positive )","( restaurant general, positive )"
I felt ackward and next time went to the casino bathroom .,"( NULL , ackward , negative )","( restaurant miscellaneous , negative )","( casino bathroom, ackward, negative )","( casino bathroom, ackward, negative )","( ambience general, negative )","( restaurant miscellaneous, negative )"
– I decided to eat at Stack because of their price fixed pre - show dinner .,"( price fixed pre - show dinner , fixed , neutral )","( food prices , neutral )","( Stack, fixed, positive )","( Stack, price fixed, positive )","( restaurant prices, positive )","( restaurant prices, positive )"
– I took my parents here for their anniversary - very very disappointed ! ! !,"( NULL , disappointed , negative )","( restaurant general , negative )","( NULL, disappointed, negative )","( NULL, disappointed, negative )","( restaurant general, negative )","( restaurant general, negative )"
Unbeatable sushi !,"( sushi , Unbeatable , positive )","( food quality , positive )","( sushi, Unbeatable, positive )","( sushi, Unbeatable, negative )","( food quality, positive )","( food quality, positive )"
To start things off /AS/ our lovely server Brooke was quickly on hand to take my drink order .,"( Brooke , lovely , positive )","( service general , positive )","( server, lovely, positive )","( server Brooke, lovely, positive )","( service general, positive )","( service general, positive )"
Every time `` 0 - sixtynine `` is called the bartender buys everyone drinks !,"( bartender , buys everyone drinks , positive )","( service general , positive )","( bartender, buys everyone drinks, positive )","( bartender, 0 - sixtynine, positive )","( service general, positive )","( service general, negative )"
Endless fun /AS/ awesome music /AS/ great staff ! ! !,"( music , awesome , positive ) ; ( staff , great , positive ) ; ( NULL , fun , positive )","( ambience general , positive ) ; ( service general , positive ) ; ( restaurant general , positive )","( NULL, Endless fun, positive ) ; ( music, awesome, positive ) ; ( staff, great, positive )","( NULL, Endless fun, positive ) ; ( music, awesome, positive ) ; ( staff, great, positive )","( ambience general, positive ) ; ( service general, positive ) ; ( restaurant general, positive )","( ambience general, positive ) ; ( service general, positive )"
Fair menu selection .,"( menu selection , Fair , neutral )","( food style_options , neutral )","( menu selection, Fair, positive )","( menu selection, Fair, positive )","( food style_options, positive )","( food style_options, positive )"
Two rascally kids were seated near us for the first part of our dinner . . . they were replaced by a delightful preteen who pretended to gag every time seafood was mentioned at her table .,"( NULL , rascally , negative )","( restaurant miscellaneous , negative )","( preteen, delightful, negative )","( NULL, rascally, negative ) ; ( preteen, delightful, positive )","( service general, negative )","( service general, negative )"
I rejected it because in the process of attempting to fix the eggs they broke something else in the dish and I was too frustrated to continue .,"( dish , rejected , negative )","( food quality , negative )","( NULL, frustrated, negative )","( NULL, frustrated, negative )","( service general, negative )","( food quality, negative )"
had many dishes but the BEST was the lobster 3 ways .,"( lobster 3 ways , BEST , positive )","( food quality , positive )","( lobster 3 ways, BEST, positive )","( dishes, many, positive ) ; ( lobster 3 ways, BEST, positive )","( food quality, positive )","( food quality, positive )"
The appetizer was interesting /AS/ but the Creme Brulee was very savory and delicious .,"( appetizer , interesting , positive ) ; ( Creme Brulee , savory , positive ) ; ( Creme Brulee , delicious , positive )","( food quality , positive )","( appetizer, interesting, positive ) ; ( Creme Brulee, savory, positive ) ; ( Creme Brulee, delicious, positive )","( appetizer, interesting, positive ) ; ( Creme Brulee, savory, positive ) ; ( Creme Brulee, delicious, positive )","( food quality, positive )","( food style_options, mixed ) ; ( food quality, positive )"
The decor was beautiful and unique .,"( decor , beautiful , positive )","( ambience general , positive )","( decor, beautiful, positive ) ; ( decor, unique, positive )","( decor, beautiful, positive ) ; ( decor, unique, positive )","( ambience general, positive )","( ambience general, positive )"
It ' s fresh /AS/ welcoming /AS/ delicious /AS/ and relaxing .,"( NULL , fresh , positive ) ; ( NULL , delicious , positive ) ; ( NULL , welcoming , positive ) ; ( NULL , relaxing , positive )","( food quality , positive ) ; ( ambience general , positive )","( NULL, fresh, positive ) ; ( NULL, welcoming, positive ) ; ( NULL, delicious, positive ) ; ( NULL, relaxing, positive )","( NULL, fresh, positive ) ; ( NULL, welcoming, positive ) ; ( NULL, delicious, positive ) ; ( NULL, relaxing, positive )","( food quality, positive ) ; ( ambience general, positive )","( food quality, positive ) ; ( ambience general, positive )"
Addicting !,"( NULL , Addicting , positive )","( restaurant general , positive )","( NULL, Addicting, negative )","( NULL, Addicting, negative )","( restaurant general, negative )","( restaurant general, positive )"
Even the chickpeas /AS/ which I normally find too dry /AS/ were good .,"( chickpeas , good , positive )","( food quality , positive )","( chickpeas, good, positive ) ; ( chickpeas, dry, negative )","( chickpeas, dry, negative ) ; ( chickpeas, good, positive )","( food quality, positive )","( food quality, positive )"
This place rocks ! !,"( place , rocks , positive )","( restaurant general , positive )","( place, rocks, positive )","( place, rocks, positive )","( restaurant general, positive )","( restaurant general, positive )"
That ' s a huge compliment /AS/ especially in the fickled restaurant business /AS/ . . . enough already !,"( NULL , huge compliment , positive )","( restaurant general , positive )","( NULL, huge compliment, positive ) ; ( restaurant, fickled, negative )","( NULL, huge compliment, positive )","( restaurant general, positive ) ; ( restaurant miscellaneous, negative )","( restaurant miscellaneous, positive )"
After sitting there with my empty glass for over 20 minutes I left .,"( NULL , left , negative )","( service general , negative )","( NULL, left, negative )","( NULL, empty, negative )","( service general, negative )","( drinks style_options, negative )"
Be sure to try the oyster roll .,"( oyster roll , try , positive )","( food quality , positive )","( oyster roll, try, positive )","( oyster roll, try, positive )","( food quality, positive )","( food quality, positive )"
I ' m astonished that this restaurant is categorized as $ $ $ rather than $ $ $ $ .,"( restaurant , astonished , negative )","( restaurant prices , negative )","( restaurant, astonished, negative )","( restaurant, astonished, negative )","( restaurant prices, negative )","( restaurant prices, negative )"
It was decent but nothing exceptional .,"( NULL , nothing exceptional , neutral )","( food quality , neutral )","( NULL, decent, neutral ) ; ( NULL, nothing exceptional, neutral )","( NULL, decent, neutral ) ; ( NULL, nothing exceptional, neutral )","( food quality, neutral )","( restaurant general, neutral )"
Service was kind of slow /AS/ our waitress took forever to give us our check even though it was n ' t that busy .,"( Service , slow , negative ) ; ( waitress , took forever , negative )","( service general , negative )","( Service, slow, negative )","( Service, slow, negative )","( service general, negative )","( service general, negative )"
