text,target_aos,target_cs,t5_str_pred_aos,flan_t5_str_pred_aos,t5_str_pred_cs,flan_t5_str_pred_cs
I completely recommend Casa La Femme for any special occasion and to REALLY impress your date .,"( Casa La Femme , recommend , positive )","( restaurant miscellaneous , positive )","( Casa La Femme, recommend, positive )","( Casa La Femme, recommend, positive )","( restaurant general, positive )","( restaurant miscellaneous, positive )"
Which lets face it . . . . at times it ' s a good thing .,"( NULL , good , positive )","( service general , positive )","( NULL, good, positive )","( NULL, good, positive )","( restaurant general, positive )","( restaurant general, positive )"
I was visiting New York City with a friend and we discovered this really warm and inviting restaurant .,"( restaurant , inviting , positive )","( ambience general , positive )","( restaurant, warm, positive ) ; ( restaurant, inviting, positive )","( restaurant, warm, positive ) ; ( restaurant, inviting, positive )","( restaurant general, positive )","( ambience general, positive )"
THIS STAFF SHOULD BE FIRED .,"( STAFF , FIRED , negative )","( service general , negative )","( STAFF, FIRED, positive )","( staff, FIRED, negative )","( service general, negative )","( service general, negative )"
You can get a table without a reservation if you get there early I they do n ' t make you by bottles .,"( NULL , get a table without a reservation , positive )","( service general , positive )","( NULL, don't make you by bottles, negative )","( NULL, get a table without a reservation, positive )","( service general, negative )","( service general, positive )"
My quesadilla tasted like it had been made by a three - year old with no sense of proportion or flavor .,"( quesadilla , no sense of proportion or flavor , negative ) ; ( quesadilla , no sense of proportion , negative )","( food quality , negative ) ; ( food style_options , negative )","( quesadilla, no sense of proportion or flavor, negative )","( quesadilla, no sense of proportion or flavor, negative )","( food quality, negative )","( food quality, negative )"
The Four Seasons has history and it is a sort of landmark of New York City restaurants /AS/ but trust me /AS/ they will charge you through the nose just so that you can say `` I ' ve been to the four seasons restaurant `` .,"( The Four Seasons , a sort of landmark , neutral ) ; ( The Four Seasons , charge you through the nose , negative )","( restaurant miscellaneous , neutral ) ; ( restaurant prices , negative )","( Four Seasons, history, positive ) ; ( Four Seasons, charge you through the nose, negative )","( Four Seasons, history, positive ) ; ( Four Seasons, landmark, positive )","( restaurant general, positive )","( restaurant general, negative )"
Watch the talented belly dancers as you enjoy delicious baba ganoush that ' s more lemony than smoky .,"( baba ganoush , enjoy delicious , positive ) ; ( belly dancers , talented , positive )","( food quality , positive ) ; ( ambience general , positive )","( baba ganoush, delicious, positive )","( baba ganoush, enjoy, positive ) ; ( baba ganoush, lemony than smoky, positive )","( food quality, positive )","( food quality, positive )"
As BFC does n ' t take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated /AS/ which can be over an hour later !,"( BFC , wait , negative ) ; ( front of house staff , abused , negative ) ; ( NULL , over an hour later , negative )","( restaurant miscellaneous , negative ) ; ( service general , negative )","( front of house staff, abused, negative )","( front of house staff, abused, negative )","( service general, negative )","( service general, negative )"
Noodle pudding is exactly the type of service and food I enjoy .,"( service , enjoy , positive ) ; ( food , enjoy , positive )","( service general , positive ) ; ( food quality , positive )","( service, enjoy, positive ) ; ( food, enjoy, positive )","( Noodle pudding, enjoy, positive )","( service general, positive ) ; ( food quality, positive )","( food quality, positive )"
For desserts /AS/ we tried the frozen black sesame mousse /OB/ interesting but not extraordinary /CB/ and matcha /OB/ powdered green tea /CB/ and blueberry cheesecake /AS/ which was phenomenal .,"( frozen black sesame mousse , interesting , neutral ) ; ( frozen black sesame mousse , not extraordinary , neutral ) ; ( matcha /OB/ powdered green tea /CB/ and blueberry cheesecake , phenomenal , positive )","( food quality , positive )","( frozen black sesame mousse, interesting, positive ) ; ( matcha, not extraordinary, positive ) ; ( powdered green tea, positive ) ; ( blueberry cheesecake, phenomenal, positive )","( desserts, phenomenal, positive ) ; ( frozen black sesame mousse, interesting, positive ) ; ( matcha /OB/ powdered green tea /CB/, phenomenal, positive ) ; ( blueberry cheesecake, phenomenal, positive )","( food quality, positive )","( food quality, positive )"
I ' ve had my fair share of modern Japanese and this spot delivers .,"( modern Japanese , delivers , positive )","( food quality , positive )","( spot, delivers, positive )","( spot, delivers, positive )","( restaurant general, positive )","( food quality, positive )"
The hot dogs are top notch /AS/ and they ' re Slamwich is amazing !,"( hot dogs , top notch , positive ) ; ( Slamwich , amazing , positive )","( food quality , positive )","( hot dogs, top notch, positive ) ; ( Slamwich, amazing, positive )","( hot dogs, top notch, positive ) ; ( Slamwich, amazing, positive )","( food quality, positive )","( food quality, positive ) ; ( food style_options, positive )"
It ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth !,"( waiter , cute , positive )","( service general , positive )","( waiter, cute, positive )","( waiter, cute, positive )","( service general, positive )","( service general, positive )"
Inexpensive /AS/ unassuming /AS/ great time !,"( NULL , Inexpensive , positive ) ; ( NULL , unassuming , positive ) ; ( NULL , great , positive )","( restaurant prices , positive ) ; ( ambience general , positive ) ; ( restaurant general , positive )","( NULL, Inexpensive, positive ) ; ( NULL, unassuming, positive ) ; ( NULL, great time, positive )","( NULL, Inexpensive, negative ) ; ( NULL, unassuming, positive ) ; ( NULL, great time, positive )","( restaurant prices, positive ) ; ( ambience general, positive )","( restaurant prices, negative ) ; ( restaurant general, positive )"
Only complaint is the pricing - - I believe it would be more reasonable to pay a dollar less on each item listed on the menu .,"( menu , complaint , negative )","( food prices , negative )","( menu, complaint, negative ) ; ( NULL, pay a dollar less, negative )","( NULL, complaint, negative )","( food prices, negative )","( food prices, negative )"
Everything on the menu is great .,"( menu , great , positive )","( food quality , positive )","( menu, great, positive )","( menu, great, positive )","( food quality, positive )","( food quality, positive )"
The crust has a great bite and a good chew /AS/ the sauce is light with a nice acidity to it /AS/ the salt from the cheese is great /AS/ really heightens the flavor of all the other components .,"( crust , great , positive ) ; ( crust , good , positive ) ; ( sauce , light , positive ) ; ( cheese , great , positive )","( food quality , positive )","( crust, great, positive ) ; ( sauce, light, positive ) ; ( salt, great, positive ) ; ( cheese, great, positive ) ; ( flavor, heightens, positive )","( crust, great bite, positive ) ; ( sauce, good chew, positive ) ; ( salt, nice, positive ) ; ( cheese, heightens, positive )","( food quality, positive ) ; ( food style_options, positive ) ; ( food style_options, positive )","( food quality, positive )"
great food,"( food , great , positive )","( food quality , positive )","( food, great, positive )","( food, great, positive )","( food quality, positive )","( food quality, positive )"
Also /AS/ I personally was n ' t a fan of the portobello and asparagus mole .,"( portobello and asparagus mole , fan , negative )","( food quality , negative )","( portobello, wasn't a fan, negative ) ; ( asparagus mole, fan, negative )","( portobello, wasn't a fan, negative ) ; ( asparagus mole, wasn't a fan, negative )","( food quality, negative )","( food quality, negative )"
Great food /AS/ amazing service /AS/ this place is a class act .,"( food , Great , positive ) ; ( service , amazing , positive ) ; ( place , class act , positive )","( food quality , positive ) ; ( service general , positive ) ; ( restaurant general , positive )","( food, Great, positive ) ; ( service, amazing, positive ) ; ( place, class act, positive )","( food, Great, positive ) ; ( service, amazing, positive ) ; ( place, class act, positive )","( food quality, positive ) ; ( service general, positive )","( food quality, positive ) ; ( service general, positive ) ; ( restaurant general, positive )"
Not cheap but very yummy .,"( NULL , Not cheap , negative ) ; ( NULL , yummy , positive )","( food prices , negative ) ; ( food quality , positive )","( NULL, Not cheap, negative ) ; ( NULL, yummy, positive )","( NULL, Not cheap, positive ) ; ( NULL, yummy, positive )","( food quality, positive ) ; ( restaurant prices, positive )","( food quality, positive ) ; ( food prices, positive )"
Can ' t wait to go back .,"( NULL , go back , positive )","( restaurant general , positive )","( NULL, go back, positive )","( NULL, go back, positive )","( restaurant general, positive )","( restaurant general, positive )"
None was made so i hung up .,"( NULL , None was made , negative )","( service general , negative )","( NULL, hung up, negative )","( NULL, None was made, negative )","( service general, negative )","( food quality, negative )"
So /AS/ I switch with my boyfriend again to see if maybe I could stomach the meat and spinach again /AS/ but the spinach was so undercooked that I just could not bite through it .,"( spinach , undercooked , negative )","( food quality , negative )","( meat, undercooked, negative ) ; ( spinach, undercooked, negative )","( meat and spinach, undercooked, negative )","( food quality, negative )","( food quality, negative )"
The food is great and the environment is even better .,"( food , great , positive ) ; ( environment , better , positive )","( food quality , positive ) ; ( ambience general , positive )","( food, great, positive ) ; ( environment, better, positive )","( food, great, positive ) ; ( environment, better, positive )","( food quality, positive ) ; ( ambience general, positive )","( food quality, positive ) ; ( ambience general, positive )"
oh speaking of bathroom /AS/ the mens bathroom was disgusting .,"( mens bathroom , disgusting , negative )","( ambience general , negative )","( mens bathroom, disgusting, negative )","( mens bathroom, disgusting, negative )","( ambience general, negative )","( ambience general, negative )"
I ' d definitely go back again .,"( NULL , go back , positive )","( restaurant general , positive )","( NULL, go back again, positive )","( NULL, go back again, positive )","( restaurant general, positive )","( restaurant general, positive )"
Place is open till late /AS/ no dress code .,"( Place , open till late , positive )","( restaurant miscellaneous , positive )","( Place, open till late, negative )","( Place, open till late, negative )","( service general, negative )","( restaurant miscellaneous, negative )"
This guy refused to seat her and she left /AS/ followed shortly by the four of us /AS/ but not before I told him that in my 40 years of world travel /AS/ including Paris /AS/ that I had never seen such a display of bad behavior by a frontman in a restaurant .,"( frontman , bad , negative )","( service general , negative )","( frontman, bad behavior, negative )","( frontman, bad behavior, negative )","( service general, negative )","( service general, negative )"
Love it .,"( NULL , Love , positive )","( restaurant general , positive )","( NULL, Love, positive )","( NULL, Love, positive )","( restaurant general, positive )","( restaurant general, positive )"
If I could give 0 stars I would do so for this place .,"( place , 0 stars , negative )","( restaurant general , negative )","( place, 0 stars, positive )","( place, 0 stars, negative )","( restaurant general, positive )","( restaurant general, negative )"
The floor was wet /AS/ the trash can filled with hand towels n all over the floor /AS/ no soap /AS/ and no hand towels left .,"( NULL , no hand towels left , negative )","( ambience general , negative )","( floor, wet, negative ) ; ( trash can, filled with hand towels, negative ) ; ( soap, no hand towels, negative ) ; ( no hand towels, negative )","( floor, wet, negative ) ; ( trash can, filled with hand towels, negative ) ; ( no soap, no, negative ) ; ( no hand towels left, negative )","( ambience general, negative )","( floor, wet, negative ) ; ( trash can, filled with hand towels, negative ) ; ( soap, no soap, negative ) ; ( no hand towels, negative )"
Just go to Yamato and order the Red Dragon Roll .,"( Yamato , Just go , positive )","( restaurant general , positive )","( Red Dragon Roll, go to Yamato, positive )","( Red Dragon Roll, order, positive )","( food quality, positive )","( food quality, positive )"
Yamato is an excellent place to go if youre not into sashimi /AS/ or if you have friends who doesnt like sushi much .,"( Yamato , excellent , positive )","( restaurant miscellaneous , positive )","( Yamato, excellent, positive )","( Yamato, excellent, positive )","( restaurant general, positive )","( food quality, positive )"
The staff is very good .,"( staff , good , positive )","( service general , positive )","( staff, good, positive )","( staff, good, positive )","( service general, positive )","( service general, positive )"
When the main course finally arrived /OB/ another 45mins /CB/ half of our order was missing .,"( NULL , missing , negative )","( service general , negative )","( main course, missing, negative )","( main course, missing, negative )","( food style_options, negative )","( food quality, negative )"
Sometimes tables do n ' t understand his sense of humor but it ' s refreshing to have a server who has personality /AS/ professionalism /AS/ and respects the privacy of your dinner .,"( server , refreshing , positive ) ; ( server , professionalism , positive ) ; ( server , respects , positive )","( service general , positive )","( server, personality, positive ) ; ( server, professionalism, positive ) ; ( server, respects the privacy, positive )","( server, personality, positive ) ; ( server, professionalism, positive ) ; ( server, respects the privacy of your dinner, positive )","( service general, positive )","( service general, positive )"
She just nodded and walked off .,"( NULL , walked off , negative )","( service general , negative )","( NULL, nodded, negative ) ; ( NULL, walked off, negative )","( NULL, nodded, negative )","( service general, negative )","( service general, negative )"
It ' s a little out of our price range for dining there except on special occasions /AS/ but we ' ve eaten there 6 times in the last 2 years .,"( NULL , out of our price range , negative )","( restaurant prices , negative )","( NULL, out of our price range, negative )","( NULL, a little out of our price range, negative ) ; ( NULL, 6 times, positive )","( restaurant prices, negative ) ; ( restaurant general, positive )","( restaurant prices, negative ) ; ( restaurant general, positive )"
I was there for brunch recently /AS/ and we were tag teamed by a waitress and a waiter .,"( waitress , tag teamed , negative ) ; ( waiter , tag teamed , negative )","( service general , negative )","( waitress, tag teamed, positive ) ; ( waiter, tag teamed, positive )","( waitress, teamed, positive )","( service general, positive )","( service general, negative )"
The chicken lollipop is my favorite /AS/ most of the dishes /OB/ I have to agree with a previous reviewer /CB/ are quite oily and very spicy /AS/ espeically the Chilli Chicken .,"( chicken lollipop , favorite , positive ) ; ( dishes , oily , negative ) ; ( dishes , spicy , negative ) ; ( Chilli Chicken , oily , negative ) ; ( Chilli Chicken , spicy , negative )","( food quality , mixed )","( chicken lollipop, favorite, positive ) ; ( dishes, oily, negative ) ; ( dishes, spicy, negative )","( chicken lollipop, favorite, positive ) ; ( dishes, oily, negative ) ; ( dishes, spicy, positive )","( food quality, positive )","( food quality, positive )"
We asked for sides which the waiter than admitted that he forgot to put in that part of our order .,"( waiter , forgot , negative )","( service general , negative )","( waiter, forgot, negative )","( waiter, forgot, negative )","( service general, negative )","( service general, negative )"
I had fish and my husband had the filet - both of which exceeded our expectations .,"( fish , exceeded our expectations , positive ) ; ( filet , exceeded our expectations , positive )","( food quality , positive )","( fish, exceeded our expectations, positive ) ; ( filet, exceeded our expectations, positive )","( fish, exceeded our expectations, positive ) ; ( filet, exceeded our expectations, positive )","( food quality, positive )","( food quality, positive )"
Delivery guy sometimes get upset if you do n ' t tip more than 10 % .,"( Delivery guy , upset , negative )","( service general , negative )","( Delivery guy, upset, negative )","( Delivery guy, upset, negative )","( service general, negative )","( service general, negative )"
The wife had the risotto which was amazing .,"( risotto , amazing , positive )","( food quality , positive )","( risotto, amazing, positive )","( risotto, amazing, positive )","( food quality, positive )","( food quality, positive )"
The stuff tilapia was horrid . . . tasted like cardboard .,"( stuff tilapia , horrid , negative )","( food quality , negative )","( stuff tilapia, horrid, negative ) ; ( stuff tilapia, tasted like cardboard, negative )","( stuff tilapia, horrid, negative ) ; ( stuff tilapia, cardboard, negative )","( food quality, negative )","( food quality, negative )"
i love their chicken pasta cant remember the name but is sooo good,"( chicken pasta , love , positive )","( food quality , positive )","( chicken pasta, love, positive ) ; ( chicken pasta, good, positive )","( chicken pasta, love, positive ) ; ( chicken pasta, good, positive )","( food quality, positive )","( food quality, positive )"
Our waitress was n ' t mean /AS/ but not especially warm or attentive either .,"( waitress , was n ' t mean , neutral )","( service general , neutral )","( waitress, not particularly warm, negative ) ; ( waitress, attentive, negative )","( waitress, not especially warm, negative ) ; ( waitress, not especially attentive, negative )","( service general, negative )","( service general, negative )"
Wretched and retching,"( NULL , Wretched , negative ) ; ( NULL , retching , negative )","( restaurant general , negative )","( NULL, Wretched, negative ) ; ( NULL, retching, negative )","( NULL, Wretched, negative ) ; ( NULL, retching, negative )","( food quality, negative )","( food quality, negative )"
Regardless /AS/ we ' ll be back and can ' t wait to visit in the summer to take advantage of the patio .,"( NULL , be back , positive )","( restaurant general , positive )","( patio, take advantage, positive )","( patio, take advantage, positive )","( ambience general, positive )","( ambience general, positive )"
I ordered the vitello alla marsala and I was pretty impressed .,"( vitello alla marsala , impressed , positive )","( food quality , positive )","( vitello alla marsala, impressed, positive )","( vitello alla marsala, impressed, positive )","( food quality, positive )","( food quality, positive )"
Great food !,"( food , Great , positive )","( food quality , positive )","( food, Great, positive )","( food, Great, positive )","( food quality, positive )","( food quality, positive )"
The food they serve is not comforting /AS/ not appetizing and uncooked .,"( food , not comforting , negative ) ; ( food , not appetizing , negative )","( food quality , negative )","( food, not comforting, negative ) ; ( food, not appetizing, negative ) ; ( food, uncooked, negative )","( food, not comforting, negative ) ; ( food, not appetizing, negative ) ; ( food, uncooked, negative )","( food quality, negative )","( food quality, negative )"
But for the Shabu Shabu /AS/ you won ' t find much better in NY .,"( Shabu Shabu , won ' t find much better , positive )","( food quality , positive )","( Shabu Shabu, won't find much better, positive )","( Shabu Shabu, won't find much better, negative )","( food quality, positive )","( restaurant general, negative )"
I ' m a friendly person /AS/ so I wouldn ' t mind had she not been so nasty and gotten so personal .,"( NULL , nasty , negative )","( service general , negative )","( NULL, friendly, positive )","( person, friendly, positive )","( service general, positive )","( service general, positive )"
The manager was rude and handled the situation extremely poorly .,"( manager , rude , negative )","( service general , negative )","( manager, rude, negative ) ; ( manager, poorly, negative )","( manager, rude, negative ) ; ( manager, handled the situation extremely poorly, negative )","( service general, negative )","( service general, negative )"
As to my comment about the food /AS/ no apology or acknowledgment was made .,"( NULL , no apology or acknowledgment , negative )","( service general , negative )","( food, no apology or acknowledgment was made, negative )","( food, no apology or acknowledgment, negative )","( food quality, negative )","( food quality, negative )"
Good Food,"( Food , Good , positive )","( food quality , positive )","( Food, Good, positive )","( Food, Good, positive )","( food quality, positive )","( food quality, positive )"
Its dark /AS/ and cozy . . there is always jazz music playing when we go .,"( NULL , cozy , positive )","( ambience general , positive )","( NULL, dark, positive ) ; ( NULL, cozy, positive ) ; ( jazz music, playing, positive )","( NULL, dark, positive ) ; ( NULL, cozy, positive )","( ambience general, positive )","( ambience general, positive )"
It is so romantic .,"( NULL , romantic , positive )","( ambience general , positive )","( NULL, romantic, positive )","( NULL, romantic, positive )","( ambience general, positive )","( ambience general, positive )"
amazing fresh dogs but best of all endless toppings ! ! !,"( dogs , amazing fresh , positive ) ; ( toppings , best , positive ) ; ( toppings , endless , positive )","( food quality , positive ) ; ( food style_options , positive )","( dogs, amazing fresh, positive ) ; ( toppings, endless, positive )","( dogs, fresh, positive ) ; ( toppings, endless, positive )","( food quality, positive ) ; ( food style_options, positive )","( food quality, positive ) ; ( food style_options, positive )"
We have gone for dinner only a few times but the same great quality and service is given .,"( service , great , positive ) ; ( dinner , great quality , positive )","( service general , positive ) ; ( food quality , positive )","( quality, positive ) ; ( service, great, positive )","( quality, great, positive ) ; ( service, great, positive )","( food quality, positive ) ; ( service general, positive )","( food quality, positive ) ; ( service general, positive )"
My party had the BBE $ 29 fixe prix menu /AS/ which was such a wonderful deal since it also came with a flight of sake !,"( BBE $ 29 fixe prix menu , wonderful , positive ) ; ( BBE $ 29 fixe prix menu , a flight of sake , positive )","( food prices , positive ) ; ( food style_options , positive )","( BBE $ 29 fixe prix menu, wonderful, positive )","( BBE $ 29 fixe prix menu, wonderful, positive )","( food quality, positive )","( food quality, positive ) ; ( drinks style_options, positive )"
my favorite place lol,"( place , favorite , positive )","( restaurant general , positive )","( place, favorite, positive )","( place, favorite, positive )","( restaurant general, positive )","( restaurant general, positive )"
This place has totally weird decor /AS/ stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional . . .,"( decor , weird , negative ) ; ( mirrored walls , dizzy , negative ) ; ( mirrored walls , delusional , negative )","( ambience general , negative )","( decor, weird, negative )","( decor, weird, negative ) ; ( stairs, weird, negative )","( ambience general, negative )","( ambience general, positive )"
Servers are all different /AS/ Greg is my favorite .,"( Greg , favorite , positive )","( service general , positive )","( Servers, different, positive )","( Servers, all different, positive ) ; ( Greg, favorite, positive )","( service general, mixed )","( service general, positive )"
Paul /AS/ the maitre /AS/ was totally professional and always on top of things .,"( Paul , professional , positive )","( service general , positive )","( maitre, professional, positive ) ; ( maitre, always on top, positive )","( maitre, professional, positive ) ; ( maitre, on top of things, positive )","( service general, positive )","( service general, positive )"
They honored reservation on Sunday afternoon very well .,"( NULL , very well , positive )","( service general , positive )","( NULL, well, positive )","( NULL, honored reservation, positive )","( service general, positive )","( service general, positive )"
The manager finally said he would comp the two glasses of wine /OB/ which cost less than the food /CB/ /AS/ and made it seem like a big concession .,"( manager , seem like a big concession , negative )","( service general , negative )","( two glasses of wine, comp, negative ) ; ( food, cheaper, positive )","( manager, comp, positive ) ; ( food, less than the food, positive )","( drinks prices, negative ) ; ( drinks style_options, negative )","( drinks prices, positive ) ; ( service general, positive )"
The food is very good /AS/ but not outstanding .,"( food , good , neutral )","( food quality , neutral )","( food, good, positive ) ; ( food, not outstanding, negative )","( food, good, positive ) ; ( food, not outstanding, negative )","( food quality, neutral ) ; ( food style_options, negative )","( food quality, neutral )"
MMMMMMMMMmmmmmm so delicious,"( NULL , delicious , positive )","( food quality , positive )","( NULL, delicious, positive )","( NULL, delicious, positive )","( food quality, positive )","( food quality, positive )"
For a restaurant with such a good reputation and that is usually so packed /AS/ there was no reason for such a lack of intelligent customer service .,"( restaurant , good reputation , positive ) ; ( customer service , intelligent , negative )","( restaurant miscellaneous , positive ) ; ( service general , negative )","( customer service, intelligent, positive ) ; ( restaurant, good reputation, positive )","( customer service, intelligent, positive )","( service general, positive )","( service general, positive )"
Easily the worst stir - fried squid I ' ve ever tasted .,"( stir - fried squid , worst , negative )","( food quality , negative )","( stir - fried squid, worst, negative )","( stir - fried squid, worst, negative )","( food quality, negative )","( food quality, negative )"
It doesn ' t look appetizing as it ' s covered in squid ink and it turns your lips and teeth black /AS/ but the taste was phenomenal .,"( NULL , doesn ' t look appetizing , negative ) ; ( NULL , phenomenal , positive )","( food style_options , negative ) ; ( food quality , positive )","( NULL, doesn't look appetizing, negative ) ; ( NULL, turns your lips, negative ) ; ( NULL, phenomenal, positive )","( NULL, doesn't look appetizing, negative ) ; ( NULL, covered in squid ink, negative ) ; ( NULL, phenomenal, positive )","( food quality, mixed )","( food quality, positive )"
I highly recommend the fish tacos /AS/ everything else was ok .,"( fish tacos , recommend , positive ) ; ( NULL , ok , neutral )","( food quality , positive )","( fish tacos, recommend, positive ) ; ( NULL, ok, neutral )","( fish tacos, recommend, positive ) ; ( NULL, ok, neutral )","( food quality, positive )","( food quality, neutral )"
It was totally overpriced - fish and chips was about $ 15 . . .,"( NULL , overpriced , negative ) ; ( fish and chips , about $ 15 , negative )","( food prices , negative )","( NULL, overpriced, negative )","( fish and chips, overpriced, negative )","( food prices, negative ) ; ( food quality, negative )","( food prices, negative )"
I had the Thai style Fried Sea Bass . . . which was very good .,"( Thai style Fried Sea Bass , good , positive )","( food quality , positive )","( Thai style Fried Sea Bass, good, positive )","( Thai style Fried Sea Bass, good, positive )","( food quality, positive )","( food quality, positive )"
I don ’ t usually visit the same establishment more than once /AS/ what more twice /AS/ but I ’ ll come to Zenkichi anytime for a quiet /AS/ unhurried and memorable dinner .,"( Zenkichi , come to Zenkichi anytime , positive ) ; ( Zenkichi , quiet , positive ) ; ( Zenkichi , unhurried , positive ) ; ( Zenkichi , memorable , positive )","( restaurant general , positive ) ; ( ambience general , positive )","( Zenkichi, quiet, positive ) ; ( Zenkichi, memorable, positive )","( Zenkichi, quiet, positive ) ; ( Zenkichi, unhurried, positive ) ; ( Zenkichi, memorable, positive )","( restaurant general, positive )","( ambience general, positive )"
Red Dragon Roll - my favorite thing to eat /AS/ of any food group - hands down,"( Red Dragon Roll , favorite , positive )","( food quality , positive )","( Red Dragon Roll, favorite, positive )","( Red Dragon Roll, favorite, positive )","( food quality, positive )","( food quality, positive )"
There was no tap beer that evening /AS/ which was a disappointment .,"( beer , disappointment , negative )","( drinks style_options , negative )","( tap beer, disappointment, negative )","( tap beer, no tap beer, disappointment, negative )","( drinks quality, negative )","( drinks quality, negative )"
I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot .,"( four course prix fix menu , enjoyed , positive ) ; ( white organza tent , gorgeous , positive )","( food quality , positive ) ; ( ambience general , positive )","( white organza tent, gorgeous, positive ) ; ( four course prix fix menu, enjoyed, positive )","( white organza tent, gorgeous, positive ) ; ( four course prix fix menu, enjoyed, positive )","( ambience general, positive )","( food quality, positive ) ; ( ambience general, positive )"
Great Indian food,"( Indian food , Great , positive )","( food quality , positive )","( Indian food, Great, positive )","( Indian food, Great, positive )","( food quality, positive )","( food quality, positive )"
Love Al Di La,"( Al Di La , Love , positive )","( restaurant general , positive )","( Al Di La, Love, positive )","( Al Di La, Love, positive )","( restaurant general, positive )","( restaurant general, positive )"
You would think they would make up for it with service /AS/ sadly /AS/ no .,"( service , sadly , negative )","( service general , negative )","( service, make up for it, negative )","( service, make up for it, negative )","( service general, negative )","( service general, negative )"
We ' ve tried before but it always packed and doesn ' t take reservations .,"( NULL , always packed , neutral )","( restaurant miscellaneous , neutral )","( NULL, packed, negative ) ; ( NULL, doesn't take reservations, negative )","( NULL, packed, neutral )","( restaurant miscellaneous, negative )","( restaurant miscellaneous, negative )"
Everyone must come here at least once .,"( NULL , come here at least once , positive )","( restaurant general , positive )","( NULL, come here at least once, positive )","( NULL, Everyone, positive )","( restaurant miscellaneous, positive )","( restaurant miscellaneous, positive )"
Even though the place is not beautiful /AS/ the food speaks for itself .,"( place , not beautiful , negative ) ; ( food , speaks for itself , positive )","( ambience general , negative ) ; ( food quality , positive )","( food, speaks for itself, positive ) ; ( place, not beautiful, negative )","( place, not beautiful, negative ) ; ( food, speaks for itself, positive )","( ambience general, negative ) ; ( food quality, positive )","( food quality, positive )"
It was well worth the wait .,"( NULL , worth , positive )","( restaurant general , positive )","( wait, worth, positive )","( NULL, well worth, positive )","( restaurant general, positive )","( restaurant general, positive )"
And $ 11 for a plate of bland guacamole ?,"( guacamole , bland , negative )","( food quality , negative ) ; ( food prices , negative )","( guacamole, bland, negative )","( guacamole, bland, negative )","( food quality, negative ) ; ( food prices, negative )","( food quality, negative ) ; ( food prices, negative )"
