input,output,se_order,paradigm
"However , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> great <extra_id_1> food <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> great <extra_id_5> food <extra_id_6> positive <extra_id_7> food prices,oasc,extraction
Indoor was very cozy and cute .| aspect : <extra_id_0>,<extra_id_0> Indoor ; <extra_id_1> Indoor,a,extraction
"Not only is the cuisine the best around , the service has always been attentive and charming .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> best <extra_id_1> cuisine <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> attentive <extra_id_5> service <extra_id_6> positive <extra_id_7> service general ; <extra_id_8> charming <extra_id_9> service <extra_id_10> positive <extra_id_11> service general,oasc,extraction
"We could have made a meal of the yummy dumplings from the dumpling menu .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> yummy <extra_id_1> dumplings <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
This is one of the best comfort food places in the city .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
"Most of the servers are very attentive , friendly and quite attractive .| opinion : <extra_id_0>",<extra_id_0> attentive ; <extra_id_1> friendly ; <extra_id_2> attractive,o,extraction
The food looked very appetizing and delicious since it came on a variety of fancy plates .| category : <extra_id_0>,<extra_id_0> food style_options ; <extra_id_1> food style_options,c,extraction
I started out with a Bombay beer which was big enough for two .| opinion : <extra_id_0>,<extra_id_0> big,o,extraction
The food is so cheap and the waiters are nice .| aspect : <extra_id_0>,<extra_id_0> food ; <extra_id_1> waiters,a,extraction
"Best Pastrami I ever had and great portion without being ridiculous .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> Best <extra_id_1> Pastrami <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> great <extra_id_5> portion <extra_id_6> positive <extra_id_7> food style_options,oasc,extraction
"The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> perfected <extra_id_1> servers <extra_id_2> negative <extra_id_3> service general,oasc,extraction
This place is worth an one - hour drive .| category : <extra_id_0>,<extra_id_0> restaurant general,c,extraction
My son and his girlfriend both wanted cheeseburgers and they were huge !| opinion : <extra_id_0>,<extra_id_0> huge,o,extraction
"Dessert is a joke . . . dont bother| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> joke <extra_id_1> Dessert <extra_id_2> negative <extra_id_3> food quality,oasc,extraction
"Their calzones are horrific , bad , vomit - inducing , YUCK .| aspect : <extra_id_0>",<extra_id_0> calzones ; <extra_id_1> calzones ; <extra_id_2> calzones ; <extra_id_3> calzones,a,extraction
I think the pizza is so overrated and was under cooked .| category : <extra_id_0>,<extra_id_0> food quality,c,extraction
But that was n ' t the icing on the cake : a tiramisu that resembled nothing I have ever had .| category : <extra_id_0>,<extra_id_0> food quality,c,extraction
The wine list is interesting and has many good values .| opinion : <extra_id_0>,<extra_id_0> interesting ; <extra_id_1> good values,o,extraction
"The fish was really , really fresh .| opinion : <extra_id_0>",<extra_id_0> fresh,o,extraction
The dining room is quietly elegant with no music to shout over - - how refreshing !| opinion : <extra_id_0>,<extra_id_0> elegant ; <extra_id_1> refreshing,o,extraction
"It ' s one of our favorite places to eat in NY .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> favorite <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
"Overall I would recommend it and go back again .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> recommend <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
They have a huge selection of different cream cheeses and all of their salads are great .| aspect : <extra_id_0>,<extra_id_0> salads ; <extra_id_1> cream cheeses ; <extra_id_2> cream cheeses,a,extraction
"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .| category : <extra_id_0>",<extra_id_0> food quality ; <extra_id_1> food quality ; <extra_id_2> food quality ; <extra_id_3> food quality,c,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> best <extra_id_1> late night atmosphere <extra_id_2> positive <extra_id_3> ambience general,oasc,extraction
I was almost amused by the fact that she was turning away customers at 9pm on a Friday night because she `` had a BBQ to go to `` that night - WTF ? ?| opinion : <extra_id_0>,<extra_id_0> WTF,o,extraction
"Also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .| opinion : <extra_id_0>",<extra_id_0> push,o,extraction
"The lunch buffet is expensive but is deff worth it .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> expensive <extra_id_1> lunch buffet <extra_id_2> negative <extra_id_3> food prices ; <extra_id_4> worth <extra_id_5> lunch buffet <extra_id_6> positive <extra_id_7> food quality,oasc,extraction
Food is excellent .| opinion : <extra_id_0>,<extra_id_0> excellent,o,extraction
"The pasta penne was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne . . . got a little moody afterwards cause was stuffed . . . lol| aspect : <extra_id_0>",<extra_id_0> pasta penne ; <extra_id_1> pasta penne,a,extraction
I have been to Casimir over 5 times and I have always had a great time there .| opinion : <extra_id_0>,<extra_id_0> great time,o,extraction
"When we threatened to leave , we were offered a meager discount even though half the order was missing .| opinion : <extra_id_0>",<extra_id_0> missing,o,extraction
"The high prices you ' re going to pay is for the view not for the food .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> high <extra_id_1> NULL <extra_id_2> negative <extra_id_3> restaurant prices,oasc,extraction
Amazing food .| category : <extra_id_0>,<extra_id_0> food quality,c,extraction
We will go back every time we are in the City .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
Try the lobster teriyaki and the rose special roll .| aspect : <extra_id_0>,<extra_id_0> lobster teriyaki ; <extra_id_1> rose special roll,a,extraction
"the all - u - can - eat sushi is definitely in very poor quality .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> poor quality <extra_id_1> all - u - can - eat sushi <extra_id_2> negative <extra_id_3> food quality,oasc,extraction
It looked like shredded cheese partly done - still in strips .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
"My husbands was perfect , my was well done and dry .| category : <extra_id_0>",<extra_id_0> food quality ; <extra_id_1> food quality ; <extra_id_2> food quality,c,extraction
"The lamb was tender so full of flavor , the dessert was divine ! !| category : <extra_id_0>",<extra_id_0> food quality ; <extra_id_1> food quality,c,extraction
Wretched and retching| category : <extra_id_0>,<extra_id_0> restaurant general ; <extra_id_1> restaurant general,c,extraction
We had the scallops as an appetizer and they were delicious and the sauce was wonderful .| aspect : <extra_id_0>,<extra_id_0> scallops ; <extra_id_1> sauce,a,extraction
Less than three minutes passed before I found myself doubled over the toilet .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
I would highly recommand requesting a table by the window .| opinion : <extra_id_0>,<extra_id_0> recommand,o,extraction
Warning : You may find it difficult to dine at other Japanese restaurants after a visit to Mizu !| category : <extra_id_0>,<extra_id_0> restaurant general,c,extraction
"Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie .| category : <extra_id_0>",<extra_id_0> restaurant general ; <extra_id_1> restaurant prices,c,extraction
Lucky Strike is a great casual place to just grab a bite to eat .| aspect : <extra_id_0>,<extra_id_0> Lucky Strike,a,extraction
The location is perfect .| opinion : <extra_id_0>,<extra_id_0> perfect,o,extraction
"I also ordered the Change Mojito , which was out of this world .| category : <extra_id_0>",<extra_id_0> drinks quality,c,extraction
Service was slow had to wait to order and get food although not crowded .| opinion : <extra_id_0>,<extra_id_0> slow,o,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .| aspect : <extra_id_0>",<extra_id_0> late night atmosphere,a,extraction
The entertainment was great they have shows that go on through out the dinner .| aspect : <extra_id_0>,<extra_id_0> entertainment,a,extraction
This place blew me away . . . by far my new favorite restaurant on the uppereast side .| aspect : <extra_id_0>,<extra_id_0> place,a,extraction
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side .| opinion : <extra_id_0>,<extra_id_0> disappointed ; <extra_id_1> pricey ; <extra_id_2> overated,o,extraction
Excellent food for great prices| aspect : <extra_id_0>,<extra_id_0> food ; <extra_id_1> food,a,extraction
"The anti - pasta was excellent , especially the calamari , as were the filling pasta mains .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> excellent <extra_id_1> anti - pasta <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> excellent <extra_id_5> calamari <extra_id_6> positive <extra_id_7> food quality ; <extra_id_8> excellent <extra_id_9> pasta mains <extra_id_10> positive <extra_id_11> food quality ; <extra_id_12> excellent <extra_id_13> pasta mains <extra_id_14> positive <extra_id_15> food style_options,oasc,extraction
I do n ' t think I would go again .| category : <extra_id_0>,<extra_id_0> restaurant general,c,extraction
"The entree was bland and small , dessert was not inspired .| opinion : <extra_id_0>",<extra_id_0> bland ; <extra_id_1> small ; <extra_id_2> not inspired,o,extraction
"People are always friendly .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> friendly <extra_id_1> People <extra_id_2> positive <extra_id_3> service general,oasc,extraction
"Yamato is an excellent place to go if youre not into sashimi , or if you have friends who doesnt like sushi much .| aspect : <extra_id_0>",<extra_id_0> Yamato,a,extraction
"In the evening , this place attracted a well dressed , with it , NY crowd .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> attracted <extra_id_1> crowd <extra_id_2> positive <extra_id_3> restaurant miscellaneous,oasc,extraction
"Paul , the maitre d ' , was totally professional and always on top of things .| opinion : <extra_id_0>",<extra_id_0> professional,o,extraction
"Ambience is delightful , service impeccable .| aspect : <extra_id_0>",<extra_id_0> Ambience ; <extra_id_1> service,a,extraction
"I ' ve never had bad service and the fish is fresh and delicious .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> never had bad <extra_id_1> service <extra_id_2> positive <extra_id_3> service general ; <extra_id_4> fresh <extra_id_5> fish <extra_id_6> positive <extra_id_7> food quality ; <extra_id_8> delicious <extra_id_9> fish <extra_id_10> positive <extra_id_11> food quality,oasc,extraction
This place has the best Chinese style BBQ ribs in the city .| aspect : <extra_id_0>,<extra_id_0> BBQ ribs ; <extra_id_1> BBQ ribs,a,extraction
Ca n ' t wait to go back .| category : <extra_id_0>,<extra_id_0> restaurant general,c,extraction
"It ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .| aspect : <extra_id_0>",<extra_id_0> NULL ; <extra_id_1> sushi ; <extra_id_2> tuna ; <extra_id_3> rolls,a,extraction
I have been going back again and again .| opinion : <extra_id_0>,<extra_id_0> going back again and again,o,extraction
"The sushi is amazing ! ! !| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> amazing <extra_id_1> sushi <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
Guaranteed to be a tasty experience ! )| category : <extra_id_0>,<extra_id_0> drinks quality,c,extraction
The best !| opinion : <extra_id_0>,<extra_id_0> best,o,extraction
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> tasteless <extra_id_1> porcini mushroom pasta special <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> tasteless <extra_id_5> seafood tagliatelle <extra_id_6> negative <extra_id_7> food quality,oasc,extraction
The food ' s as good as ever .| category : <extra_id_0>,<extra_id_0> food quality,c,extraction
"Over all the looks of the place exceeds the actual meals .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> exceeds <extra_id_1> looks <extra_id_2> positive <extra_id_3> ambience general,oasc,extraction
Will absolutely visit again .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
"I did n ' t complain , I liked the atmosphere so much .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> liked <extra_id_1> atmosphere <extra_id_2> positive <extra_id_3> ambience general,oasc,extraction
Problem is nothing at Prune is particularly memorable .| category : <extra_id_0>,<extra_id_0> restaurant general,c,extraction
"The food was excellent as well as service , however , I left The Four Seasons very dissappointed .| opinion : <extra_id_0>",<extra_id_0> excellent ; <extra_id_1> excellent ; <extra_id_2> dissappointed,o,extraction
"The view is spectacular , and the food is great .| opinion : <extra_id_0>",<extra_id_0> spectacular ; <extra_id_1> great,o,extraction
Go there once and oh yes . . . you will go back . . . you will . . .| opinion : <extra_id_0>,<extra_id_0> go back,o,extraction
Gorgeous place ideal for a romantic dinner| category : <extra_id_0>,<extra_id_0> ambience general ; <extra_id_1> restaurant miscellaneous,c,extraction
Not what I would expect for the price and prestige of this location .| category : <extra_id_0>,<extra_id_0> restaurant prices ; <extra_id_1> restaurant miscellaneous,c,extraction
"While the ambiance and atmosphere were great , the food and service could have been a lot better .| category : <extra_id_0>",<extra_id_0> ambience general ; <extra_id_1> ambience general ; <extra_id_2> food quality ; <extra_id_3> service general,c,extraction
"The freshest , best variety , and the fastest delivery .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> freshest <extra_id_1> NULL <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> best variety <extra_id_5> NULL <extra_id_6> positive <extra_id_7> food style_options ; <extra_id_8> fastest <extra_id_9> delivery <extra_id_10> positive <extra_id_11> service general,oasc,extraction
This place is so much fun .| aspect : <extra_id_0>,<extra_id_0> place,a,extraction
Have been dozens of times and never failed to enjoy the experience .| aspect : <extra_id_0>,<extra_id_0> NULL,a,extraction
"Price is high but the food is good , so I would come back again .| opinion : <extra_id_0>",<extra_id_0> good ; <extra_id_1> high ; <extra_id_2> come back,o,extraction
"It was n ' t as if this restaurant had any major bragging points before hand , but now it ' s simply repulsive .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> repulsive <extra_id_1> restaurant <extra_id_2> negative <extra_id_3> restaurant general,oasc,extraction
"With so many good restaurants on the UWS , I do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .| category : <extra_id_0>",<extra_id_0> food prices ; <extra_id_1> service general ; <extra_id_2> service general ; <extra_id_3> service general,c,extraction
"A restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> great <extra_id_1> food <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> great <extra_id_5> service <extra_id_6> positive <extra_id_7> service general ; <extra_id_8> pleasant <extra_id_9> atmosphere <extra_id_10> positive <extra_id_11> ambience general,oasc,extraction
Pizza was a little soggy .| category : <extra_id_0>,<extra_id_0> food quality,c,extraction
"Food was okay , nothing great .| aspect : <extra_id_0>",<extra_id_0> Food ; <extra_id_1> Food,a,extraction
"Love the scene first off - the place has a character and nice light to it . . very fortunate , location wise .| opinion : <extra_id_0>",<extra_id_0> Love ; <extra_id_1> nice ; <extra_id_2> fortunate,o,extraction
I ' ve never had bad service and the fish is fresh and delicious .| aspect : <extra_id_0>,<extra_id_0> service ; <extra_id_1> fish ; <extra_id_2> fish,a,extraction
Great food !| category : <extra_id_0>,<extra_id_0> food quality,c,extraction
Big Wong gets big Ups for a fine establishment .| aspect : <extra_id_0>,<extra_id_0> Big Wong ; <extra_id_1> Big Wong,a,extraction
Fantastic place .| aspect : <extra_id_0>,<extra_id_0> place,a,extraction
"My quesadilla tasted like it had been made by a three - year old with no sense of proportion or flavor .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> no sense of proportion or flavor <extra_id_1> quesadilla <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> no sense of proportion <extra_id_5> quesadilla <extra_id_6> negative <extra_id_7> food style_options,oasc,extraction
The sashimi is always fresh and the rolls are innovative and delicious .| aspect : <extra_id_0>,<extra_id_0> sashimi ; <extra_id_1> rolls ; <extra_id_2> rolls,a,extraction
"The portion sizes here are huge , and the sushi is good .| aspect : <extra_id_0>",<extra_id_0> portion sizes ; <extra_id_1> sushi,a,extraction
"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> nothing special <extra_id_1> atmosphere <extra_id_2> positive <extra_id_3> ambience general,oasc,extraction
"Also , specify if you like your food spicy - its rather bland if you do n ' t .| category : <extra_id_0>",<extra_id_0> food quality,c,extraction
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .| category : <extra_id_0>",<extra_id_0> service general ; <extra_id_1> restaurant general,c,extraction
Worth the trip from Manhattan .| opinion : <extra_id_0>,<extra_id_0> Worth,o,extraction
I generally like this place .| aspect : <extra_id_0>,<extra_id_0> place,a,extraction
"Also , because it is so thin , it gets cold very quickly and its not that filling .| opinion : <extra_id_0>",<extra_id_0> gets cold very quickly ; <extra_id_1> not that filling,o,extraction
"Every time I have a special occasion with my boyfriend I have a hard time going anywhere else .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> have a hard time going anywhere else <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant miscellaneous,oasc,extraction
"But the service is HORRID !| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> HORRID <extra_id_1> service <extra_id_2> negative <extra_id_3> service general,oasc,extraction
love the food .| aspect : <extra_id_0>,<extra_id_0> food,a,extraction
"If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you ' ll love it here .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> love <extra_id_1> bottle <extra_id_2> negative <extra_id_3> drinks prices ; <extra_id_4> like <extra_id_5> music <extra_id_6> negative <extra_id_7> ambience general,oasc,extraction
This place is not inviting and the food is totally weird .| category : <extra_id_0>,<extra_id_0> ambience general ; <extra_id_1> food quality,c,extraction
"Terrible , terrible management - deserves to be shut - down .| aspect : <extra_id_0>",<extra_id_0> management ; <extra_id_1> management ; <extra_id_2> NULL,a,extraction
"If you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) .| category : <extra_id_0>",<extra_id_0> ambience general,c,extraction
The scallion pancakes and fried dumplings were nothing out of the ordinary .| opinion : <extra_id_0>,<extra_id_0> ordinary ; <extra_id_1> ordinary,o,extraction
"I was so stunned , and I left the dinner hungry and majorly disappointing .| aspect : <extra_id_0>",<extra_id_0> NULL,a,extraction
The scallion pancakes and fried dumplings were nothing out of the ordinary .| aspect : <extra_id_0>,<extra_id_0> scallion pancakes ; <extra_id_1> fried dumplings,a,extraction
