text,prompt,target,prediction,string_preds
"Antara lain pengembangan kawasan Cirebon , Patimban dan Kertajati , termasuk pengembangan Jabar Selatan Wilayah Jabar Selatan dengan jumlah penduduk 3.771.154 dan luas wilayah 10.059 kilometer persegi ( 28,36 % dari total luas wilayah Jabar ) memang butuh sentuhan pembangunan Pada kawasan ini akan dibangun segmen Jalur Tengah Selatan ( JTS ) yang meliputi daerah Bagbagan , Kiaradua , Lengkong , Sagaranten , Tanggeung , Ciwidey , Pangalengan , Cikajang , Bantar Kalong , dan Kerta Rahayu .",,[],[],NONE
Aliran gas dari Rusia saat ini cukup stabil .,,"[{'aspect': 'Aliran gas dari Rusia', 'opinion': 'cukup stabil', 'sentiment': 'positive'}]","[{'aspect': 'Aliran gas dari Rusia', 'opinion': 'cukup stabil', 'sentiment': 'positive'}]","( Aliran gas dari Rusia, cukup stabil, positive )"
"Akibat nya , 2AM harus menunda konser yang dijadwalkan berlangsung pada Sabtu ( 12 / 2 ) dan Minggu ( 13 / 2 ) .",,"[{'aspect': '2AM', 'opinion': 'menunda konser', 'sentiment': 'negative'}]","[{'aspect': '2AM', 'opinion': 'menunda konser', 'sentiment': 'negative'}]","( 2AM, menunda konser, negative )"
"Dari pasokan gas alam cair untuk domestik tersebut , pasokan untuk sektor kelistrikan menjadi yang paling tinggi .",,"[{'aspect': 'pasokan untuk sektor kelistrikan', 'opinion': 'paling tinggi', 'sentiment': 'positive'}]","[{'aspect': 'pasokan untuk domestik', 'opinion': 'paling tinggi', 'sentiment': 'negative'}]","( pasokan untuk domestik, paling tinggi, negative )"
"Dari kejadian tersebut , menurut BNPB , banjir menjadi bencana yang sering terjadi .",,"[{'aspect': 'banjir', 'opinion': 'sering terjadi', 'sentiment': 'negative'}]","[{'aspect': 'banjir', 'opinion': 'menjadi bencana yang sering terjadi', 'sentiment': 'negative'}]","( banjir, menjadi bencana yang sering terjadi, negative )"
""" Kami sampaikan bahwa , Hammersonic Festival diundur menjadi tanggal 18 Maret 2023 , "" bunyi pengumuman dari akun Instagram resmi Hammersonic , Kamis ( 10 / 3 / 2022 ) .",,"[{'aspect': 'Hammersonic Festival', 'opinion': 'diundur', 'sentiment': 'negative'}]",[],NONE
""" Semua tiket akan dikembalikan sepenuh nya tanpa biaya pengembalian uang , "" kata penyelenggara .",,"[{'aspect': 'tiket', 'opinion': 'akan dikembalikan sepenuh nya', 'sentiment': 'positive'}]","[{'aspect': 'tiket', 'opinion': 'dikembalikan sepenuh nya tanpa biaya pengembalian uang', 'sentiment': 'positive'}]","( tiket, dikembalikan sepenuh nya tanpa biaya pengembalian uang, positive )"
"Turut mendampingi Jokowi dalam penerbangan menuju Provinsi Sumatera Selatan yaitu Menteri Energi dan Sumber Daya Mineral Arifin Tasrif , Menteri Badan Usaha Milik Negara Erick Thohir , Menteri Investasi / Kepala BKPM Bahlil Lahadalia , dan Sekretaris Kabinet Pramono Anung .",,[],[],NONE
"Meski negatif , ia memilih rehat sejenak dari kegiatan musik sampai kondisi nya pulih . Sejumlah penggemar Adele disebut protes akibat pembatalan konser di Las Vegas .",,"[{'aspect': 'penggemar Adele', 'opinion': 'protes', 'sentiment': 'negative'}, {'aspect': 'konser', 'opinion': 'pembatalan', 'sentiment': 'negative'}]","[{'aspect': 'Adele', 'opinion': 'negatif', 'sentiment': 'negative'}, {'aspect': 'Adele', 'opinion': 'protes', 'sentiment': 'negative'}]","( Adele, negatif, negative ) ; ( Adele, protes, negative )"
"Sebelumnya , BTS dijadwalkan untuk menghadiri Grammy Awards ke-64 di Los Angeles .",,[],[],NONE
"Namun mengutip Investing.com , CROFR adalah pusat regulasi pasar keuangan Rusia dan tidak bisa dilacak kebenaran klaim itu .",,"[{'aspect': 'klaim', 'opinion': 'tidak bisa dilacak kebenaran', 'sentiment': 'negative'}]","[{'aspect': 'CROFR', 'opinion': 'tidak bisa dilacak kebenaran klaim', 'sentiment': 'negative'}]","( CROFR, tidak bisa dilacak kebenaran klaim, negative )"
""" Healing boleh juga , "" imbuh nya .",,[],[],NONE
Pengguna platform hanya bisa memprediksi gerak harga aset dan membuat tebakan apakah nilai nya akan naik atau turun dalam jangka waktu tertentu .,,"[{'aspect': 'Pengguna platform', 'opinion': 'hanya bisa memprediksi gerak harga aset', 'sentiment': 'negative'}]",[],NONE
"Dari petinju profesional hingga pengusaha berusia tujuh tahun , YouTuber dengan bayaran tertinggi ini telah membangun kerajaan sendiri di platform media sosial .",,[],"[{'aspect': 'YouTuber', 'opinion': 'bayaran tertinggi', 'sentiment': 'positive'}]","( YouTuber, bayaran tertinggi, positive )"
"Serta juga ada berbagai cabang di beragam negara di seluruh dunia , dikutip dari Euronomics , Jumat ( 4 / 2 / 2022 ) .",,[],[],NONE
Ibrahim belum membeberkan kapan pemeriksaan dilakukan .,,[],[],NONE
""" Perlu ada jadwal pasti bagi acara di Mandalika , misal dalam 3 - 5 tahun ke depan , jadi orang akan lebih berani berinvestasi di segala sektor properti , "" ujar nya .",,[],"[{'aspect': 'berinvestasi', 'opinion': 'lebih berani', 'sentiment': 'positive'}]","( berinvestasi, lebih berani, positive )"
Juga anggaran belanja barang dialokasikan untuk membayar biaya perawatan pasien Covid - 19 di rumah sakit .,,[],[],NONE
Ini adalah rekor tertinggi kenaikan mingguan setidaknya sejak 2008 .,,[],"[{'aspect': 'kenaikan mingguan', 'opinion': 'tertinggi', 'sentiment': 'positive'}]","( kenaikan mingguan, tertinggi, positive )"
"Setiba nya kembali di Bandara Internasional Sultan Mahmud Badaruddin II , Kota Palembang , Jokowi akan melanjutkan perjalanan menuju Kota Tanjung Pinang , Provinsi Kepulauan Riau , dengan menggunakan Pesawat Kepresidenan Indonesia - 1 .",,[],[],NONE
) Will Smith ( King Richard ) - WINNER !,,[],[],NONE
""" Ini berlaku untuk semua orang , seperti yang dilihat masyarakat akhir-akhir ini . Tidak peduli siapa Anda , itu adalah aturan nya . Ikuti aturan nya , Anda bisa datang . Jika Anda tidak mengikuti aturan , Anda tidak bisa datang ( ke Australia ) , "" tutur nya lagi .",,[],[],NONE
"Sebagai bagian dari indikator , Dampak Stres Respons Covid - 19 juga dipertimbangkan , dengan Tokyo memiliki respons terbaik yang menyebabkan stres paling sedikit bagi warga nya .",,"[{'aspect': 'Tokyo', 'opinion': 'respons terbaik', 'sentiment': 'positive'}, {'aspect': 'Tokyo', 'opinion': 'menyebabkan stres paling sedikit', 'sentiment': 'positive'}]","[{'aspect': 'respons', 'opinion': 'terbaik', 'sentiment': 'positive'}, {'aspect': 'respons', 'opinion': 'menyebabkan stres paling sedikit', 'sentiment': 'positive'}]","( respons, terbaik, positive ) ; ( respons, menyebabkan stres paling sedikit, positive )"
""" Ada enggak seneng nya karena kita bakal ada yang macet , yang tadi saya bilang ada demo gitu-gitu , "" ujar Syifa seperti dikutip YouTube Sekretariat Presiden , Sabtu ( 19 / 3 ) .",,[],[],NONE
Proyek itu telah melahirkan dua album yang dirilis Juli 2018 dan Oktober 2019 .,,[],[],NONE
"Kabupaten Pangandaran Kota Surabaya , Kota Mojokerto , Kabupaten Tuban , Kabupaten Mojokerto , Kabupaten Lamongan Direktur Jenderal Bina Administrasi Kewilayahan Kementerian Dalam Negeri Safrizal menjelaskan secara rinci aturan lengkap bagi wilayah Jawa - Bali yang menerapkan PPKM level 1 .",,[],[],NONE
6 .,,[],[],NONE
""" Ikuti aturan , Anda bisa datang . Anda tidak mengikuti aturan , Anda tidak bisa datang , "" ujar Morrison seperti dilansir Channel News Asia , Minggu ( 30 / 1 / 2022 ) .",,[],[],NONE
"Jika sudah menjalani vaksin dan booster , Luhut mempersilahkan masyarakat yang ingin bepergian dengan tetap menerapkan protokol kesehatan "" Kalau memang dia sudah divaksin , sudah 2x , sudah booster , ya jalan-jalan aja gak ada yang perlu dikhawatirkan berlebih , "" kata Luhut .",,[],[],NONE
"Saat itu , volume gas alam cair domestik masih sebesar 14 kargo .",,[],[],NONE
"Namun terdapat 162 konsesi tambang , kehutanan , perkebunan sawit , dan PLTU batu bara di atas wilayah total kawasan IKN seluas 180.000 hektar .",,[],[],NONE
"Nah , itu dia 5 rekomendasi vila yang bisa Anda jadikan pilihan saat staycation di Bali .",,[],[],NONE
""" Iya jadi , besok jam 10.00 , "" kata Gaus saat dihubungi CNNIndonesia.com , Sabtu ( 15 / 1 ) .",,[],[],NONE
"Kota Bandung sendiri saat ini masih menerapkan PPKM level 3 , di mana sesuai aturan kegiatan musik masih perlu pemantau khusus .",,"[{'aspect': 'Kota Bandung', 'opinion': 'masih menerapkan PPKM level 3', 'sentiment': 'negative'}, {'aspect': 'Kota Bandung', 'opinion': 'masih perlu pemantau khusus', 'sentiment': 'negative'}]",[],NONE
"Kemungkinan ada , sebab Ming Chi Ku o telah menyatakan akan ada iPhone SE lebih besar beberapa waktu terakhir .",,[],"[{'aspect': 'iPhone SE', 'opinion': 'lebih besar', 'sentiment': 'positive'}]","( iPhone SE, lebih besar, positive )"
"Desain nya akan mirip dengan model sebelumnya , ungkap Ming Chi Ku o .",,[],"[{'aspect': 'Desain', 'opinion': 'akan mirip', 'sentiment': 'positive'}]","( Desain, akan mirip, positive )"
Di sini Anda akan bisa bersantai di kamar yang terawat bersih serta menikmati kegiatan apapun yang ingin dilakukan tanpa gangguan rutinitas .,,"[{'aspect': 'kamar', 'opinion': 'terawat bersih', 'sentiment': 'positive'}]","[{'aspect': 'kamar', 'opinion': 'terawat bersih', 'sentiment': 'positive'}, {'aspect': 'kamar', 'opinion': 'menikmati kegiatan apapun yang ingin dilakukan tanpa gangguan rutinitas', 'sentiment': 'positive'}]","( kamar, terawat bersih, positive ) ; ( kamar, menikmati kegiatan apapun yang ingin dilakukan tanpa gangguan rutinitas, positive )"
""" Sedangkan pada sektor kritikal , supermarket dan hypermarket sudah dapat beroperasi 100 %, "" Masih dalam koridor Level 1 , untuk kegiatan makan minum ditempat umum diizinkan buka sampai dengan pukul 22.00 dengan kapasitas 100 % .",,"[{'aspect': 'supermarket dan hypermarket', 'opinion': 'dapat beroperasi 100 %,', 'sentiment': 'positive'}]","[{'aspect': 'supermarket', 'opinion': 'sudah dapat beroperasi 100 %', 'sentiment': 'positive'}]","( supermarket, sudah dapat beroperasi 100 %, positive )"
"Selepas itu , Jokowi akan menuju Pasar Baru Tanjung Enim , Kabupaten Muara Enim , untuk menyerahkan bantuan langsung tunai bagi para pedagang .",,[],[],NONE
"Kemudian album kedua diisi penampil di album pertama dan sejumlah musisi yang menyusul bergabung di 88rising , seperti Jackson Wang , August 08 , serta Stephanie Poetri . BTS kembali menyapa ARMY dalam konser Permission to Dance on Stage - Seoul yang berlangsung selama tiga hari .",,[],[],NONE
"Karenanya , perlu ada kepastian jadwal penyelenggaraan acara beberapa waktu ke depan .",,[],[],NONE
""" Jadi tanah kosong yang dia beli kemudian ada pembangunan , "" kata Karta kepada wartawan di lokasi .",,[],"[{'aspect': 'tanah kosong', 'opinion': 'ada pembangunan', 'sentiment': 'negative'}]","( tanah kosong, ada pembangunan, negative )"
"Bank ANZ memprediksi di akhir 2022 , rupiah bakal semakin dekat dengan Rp 14.000 / US$ .",,"[{'aspect': 'rupiah', 'opinion': 'bakal semakin dekat dengan Rp 14.000 / US$', 'sentiment': 'negative'}]",[],NONE
"Dengan situasi tersebut , Dino menyebut peluang untuk perubahan jadwal acara hingga pembatalan sudah mesti dipersiapkan baik oleh promotor pelaksana konser maupun calon penonton .",,[],[],NONE
"Dunia Metaverse populer lainnya adalah Sandbox , tempat perusahaan pengembang real estate virtual Junine Yorio bernama Republic Realm menghabiskan US$ 4,3 juta untuk sebidang lahan virtual .",,[],[],NONE
"Dale Fisher , kepala kelompok kedokteran di Sistem Kesehatan Universitas Nasional Singapura mengatakan risiko keparahan akibat terpapar Covid - 19 bagi mereka yang sudah divaksin pun tidak akan turun .",,"[{'aspect': 'risiko keparahan', 'opinion': 'tidak akan turun', 'sentiment': 'negative'}]","[{'aspect': 'risiko keparahan', 'opinion': 'tidak akan turun', 'sentiment': 'positive'}]","( risiko keparahan, tidak akan turun, positive )"
Masalah nya ketergantungan Eropa terhadap pasokan gas dari Rusia sangat tinggi .,,"[{'aspect': 'ketergantungan Eropa', 'opinion': 'sangat tinggi', 'sentiment': 'negative'}]","[{'aspect': 'ketergantungan Eropa terhadap pasokan gas dari Rusia', 'opinion': 'sangat tinggi', 'sentiment': 'negative'}]","( ketergantungan Eropa terhadap pasokan gas dari Rusia, sangat tinggi, negative )"
"Waketum Partai Golkar itu menyampaikan , pemerintah juga mengusulkan supaya pihak nya ikut mempunyai bayangan terhadap kota yang mau dibangun .",,[],[],NONE
""" Untuk keluar kota memang diizinkan untuk keperluan keluarga kemudian berobat , kemudian alasan bekerja itu diperbolehkan untuk saat ini , "" kata Ricky .",,"[{'aspect': 'keluar kota', 'opinion': 'memang diizinkan', 'sentiment': 'positive'}]",[],NONE
Anda harus berlangganan paket yang telah disediakan lebih dulu untuk live streaming MotoGP di Vision+ dan laman resmi MotoGP ( MotoGP Video Pass ) .,,[],[],NONE
"Pabrik baru akan dianggap sebagai investasi berkelanjutan hingga tahun 2045 dan harus menjalani peningkatan keselamatan selama masa pakai nya untuk memastikan "" standar keselamatan tertinggi dapat dicapai , "" menurut rancangan tersebut .",,[],[],NONE
""" Kedua , promotor dan penonton komitmen untuk menjalankan prokes agar tidak terjadi klaster , "" lanjut nya .",,[],[],NONE
Boom !,,[],[],NONE
