input,output,se_order,paradigm
This is by far my favorite place in the neighborhood .,"6,6,restaurant general,5,5,POS",acos,extraction
The service was friendly and the atmosphere was casual .,"1,1,service general,3,3,POS,6,6,ambience general,8,8,NEU",acos,extraction
"for 7 years they have put out the most tasty , most delicious food and kept it that way . . .","13,13,food quality,9,9,POS",acos,extraction
"The waitress , seems to be more concerned of looking good than actually waitressing .","1,1,service general,6,10,NEG",acos,extraction
I will go back to Suan soon !,"5,5,restaurant general,2,3,POS",acos,extraction
I ' d be horrified if my staff were turning away customers so early and so rudely !,"7,7,service general,4,4,NEG",acos,extraction
"Always a nice crowd , but never loud .","3,3,restaurant miscellaneous,2,2,POS,-1,-1,ambience general,6,7,POS",acos,extraction
The lunch buffet is expensive but is deff worth it .,"1,2,food prices,4,4,NEG,1,2,food quality,8,8,POS",acos,extraction
"The service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .","1,1,service general,3,3,POS,1,1,service general,5,5,POS",acos,extraction
"My husbands was perfect , my was well done and dry .","-1,-1,food quality,3,3,POS,-1,-1,food quality,7,8,NEG,-1,-1,food quality,10,10,NEG",acos,extraction
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,"6,6,ambience general,5,5,POS,10,10,service general,9,9,POS",acos,extraction
"Paul , the maitre d ' , was totally professional and always on top of things .","0,0,service general,9,9,POS",acos,extraction
The food was average or above including some surprising tasty dishes .,"1,1,food quality,3,5,POS,10,10,food quality,9,9,POS",acos,extraction
The place is so cool and the service is prompt and curtious .,"7,7,service general,9,9,POS,7,7,service general,11,11,POS,1,1,ambience general,4,4,POS",acos,extraction
This place is always very crowded and popular .,"1,1,restaurant miscellaneous,5,5,POS,1,1,restaurant miscellaneous,7,7,POS",acos,extraction
They have authentic Indian at amazin prices .,"3,3,food quality,2,2,POS,3,3,food prices,2,2,POS",acos,extraction
"Its location is good and the fact that Hutner College is near and their prices are very reasonable , makes students go back to Suan again and again .","1,1,location general,3,3,POS,24,24,restaurant prices,17,17,POS",acos,extraction
"Food was amazing - I love Indian food and eat it quite regularly , but I can say this is one of the best I ' ve had .","0,0,food quality,2,2,POS",acos,extraction
Remind me of home .,"-1,-1,restaurant miscellaneous,3,3,POS",acos,extraction
I expected quite a bit more from such an expensive menu .,"10,10,food prices,9,9,NEG,10,10,food quality,9,9,NEG",acos,extraction
My friend devoured her chicken and mashed potatos .,"4,7,food quality,2,2,POS",acos,extraction
"This is one of my favorite spot , very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .","-1,-1,restaurant general,5,5,POS,-1,-1,ambience general,9,9,POS,11,11,food quality,13,13,POS,-1,-1,restaurant miscellaneous,29,30,POS",acos,extraction
"I picked the Grilled Black Cod as my entree , which I absolutely devoured while someone commented that the Grilled Salmon dish was better .","3,5,food quality,13,13,POS,19,21,food quality,23,23,POS",acos,extraction
Great Indian food and the service is incredible .,"1,2,food quality,0,0,POS,5,5,service general,7,7,POS",acos,extraction
"The place is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .","16,16,service general,18,18,POS,1,1,ambience general,12,12,NEG,1,1,restaurant miscellaneous,3,3,POS,1,1,restaurant miscellaneous,5,5,POS",acos,extraction
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .","21,21,food quality,24,24,NEU,21,21,food quality,26,27,NEG,5,6,food quality,2,2,NEG",acos,extraction
"In the evening , this place attracted a well dressed , with it , NY crowd .","15,15,restaurant miscellaneous,6,6,POS",acos,extraction
I would say that all was fine and tasty but the heaviness on my stomach someting that i ca n ' t not mention or undermine .,"-1,-1,food quality,10,25,NEG",acos,extraction
I have to say I have never had a disapointing meal here .,"10,10,food quality,6,9,POS",acos,extraction
"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .","1,1,food quality,3,3,POS,7,8,food quality,7,7,POS",acos,extraction
Atmosphere is nice and relaxed too . . .,"0,0,ambience general,2,2,POS,0,0,ambience general,4,4,POS",acos,extraction
I recommend this place to everyone .,"3,3,restaurant general,1,1,POS",acos,extraction
This place is always packed .,"1,1,ambience general,4,4,NEU",acos,extraction
"I read reviews that called the restaurant too expensive and I thought to myself , but may be it is worth it .","6,6,restaurant prices,8,8,NEG,6,6,restaurant general,8,8,NEG",acos,extraction
"Great food , great decor , great service .","1,1,food quality,0,0,POS,4,4,ambience general,3,3,POS,7,7,service general,3,3,POS",acos,extraction
"My girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that I was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .","24,24,food quality,12,12,NEG,-1,-1,service general,51,51,NEG",acos,extraction
Great survice,"1,1,service general,0,0,POS",acos,extraction
I was visiting New York City with a friend and we discovered this really warm and inviting restaurant .,"17,17,ambience general,16,16,POS",acos,extraction
The service is awful .,"1,1,service general,3,3,NEG",acos,extraction
Fresh ingredients and everything is made to order .,"1,1,food quality,0,0,POS",acos,extraction
"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .","0,0,food quality,4,4,POS,13,17,food quality,9,11,NEG",acos,extraction
This is the best sushi in new york city - hands down .,"4,4,food quality,3,3,POS",acos,extraction
Okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .,"-1,-1,food quality,9,9,NEG,-1,-1,food quality,24,24,NEG",acos,extraction
The service was the only thing good about this restaurant .,"1,1,service general,6,6,POS",acos,extraction
The shrimp scampi was excellent and the antipasti were plentiful .,"1,2,food quality,4,4,POS,7,7,food style_options,9,9,POS",acos,extraction
"First of all , this place is *not* romantic , as claimed by Citysearch ' s editorial review .","5,5,ambience general,7,8,NEG",acos,extraction
The setting is casual and romantic .,"1,1,ambience general,3,3,POS,1,1,ambience general,5,5,POS",acos,extraction
Highly recommended .,"-1,-1,restaurant general,0,1,POS",acos,extraction
How do you rate home ?,"-1,-1,restaurant miscellaneous,4,4,POS",acos,extraction
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED !,"10,11,restaurant general,20,22,POS",acos,extraction
Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,"14,14,food quality,18,18,NEG,-1,-1,food quality,7,7,POS",acos,extraction
I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE . . . ),"13,13,restaurant general,11,11,POS",acos,extraction
"The food they serve is not comforting , not appetizing and uncooked .","1,1,food quality,5,6,NEG,1,1,food quality,8,9,NEG",acos,extraction
It is expensive but well worth the money .,"-1,-1,restaurant prices,2,2,NEG,-1,-1,restaurant general,4,5,POS",acos,extraction
"Fabulous decor - makes you feel like you ' re in a trendy Manhattan restaurant , very very good food , cheaply - priced , generally friendly staff , and if you ' re a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home . . . . . very Soho / Village / Upper West Side minus the expensive prices and pretentious clientele . . . . . all on Roosevelt Avenue !","1,1,ambience general,0,0,POS,19,19,food quality,18,18,POS,19,19,food prices,21,23,POS,27,27,service general,26,26,POS,46,47,ambience general,51,53,POS,46,47,location general,59,66,POS,46,47,restaurant prices,67,70,POS",acos,extraction
"Guess what , I waited for TWENTY minutes before she came over and when she finally did , she says , `` oh well , I wish you would have said something earlier `` No apology , nothing .","-1,-1,service general,34,35,NEG",acos,extraction
"The pasta penne was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne . . . got a little moody afterwards cause was stuffed . . . lol","1,2,food quality,5,6,NEG,1,2,food style_options,46,46,NEG",acos,extraction
"If you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) .","27,28,ambience general,25,25,POS",acos,extraction
"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .","-1,-1,food quality,8,9,POS,-1,-1,food quality,11,13,POS,-1,-1,food quality,15,15,POS,-1,-1,food quality,19,19,POS",acos,extraction
Excellent spot for holiday get togethers with co - workers or friends that you have n ' t seen in a while .,"1,1,restaurant miscellaneous,0,0,POS",acos,extraction
"Indo Chinese food , pretty good . . .","0,2,food quality,5,5,POS",acos,extraction
This dish is my favorite and I always get it when I go there and never get tired of it .,"1,1,food quality,4,4,POS",acos,extraction
They were served warm and had a soft fluffy interior .,"-1,-1,food quality,3,3,POS,-1,-1,food quality,6,9,POS",acos,extraction
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice .,"-1,-1,service general,3,3,NEG",acos,extraction
A guaranteeed delight !,"-1,-1,restaurant general,2,2,POS",acos,extraction
"Also , because it is so thin , it gets cold very quickly and its not that filling .","-1,-1,food quality,9,12,NEG,-1,-1,food style_options,15,17,NEG",acos,extraction
The wine list is also really nice .,"1,2,drinks style_options,6,6,POS",acos,extraction
The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .,"1,1,service general,8,8,NEG",acos,extraction
I can not imagine a friendlier staff working in a restaurant .,"6,6,service general,5,5,POS",acos,extraction
If I could give 0 stars I would do so for this place .,"12,12,restaurant general,4,5,NEG",acos,extraction
And it was quick which is very important .,"-1,-1,service general,3,3,POS",acos,extraction
The omlette for brunch is great . . .,"1,3,food quality,5,5,POS",acos,extraction
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna .,"17,17,service general,11,11,POS,21,21,service general,20,20,POS",acos,extraction
The place is a lot of fun .,"1,1,ambience general,6,6,POS",acos,extraction
"Rude service , medicore food . . . there are tons of restaurants in NY . . . stay away from this one","1,1,service general,0,0,NEG,4,4,food quality,3,3,NEU,-1,-1,restaurant general,18,19,NEG",acos,extraction
Food awesome .,"0,0,food quality,1,1,POS",acos,extraction
I have NEVER been disappointed in the Red Eye .,"7,8,restaurant general,2,4,POS",acos,extraction
"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .","-1,-1,food style_options,23,23,POS,-1,-1,food quality,7,10,POS",acos,extraction
I had a huge group for my birthday and we were well taken care of .,"-1,-1,service general,11,14,POS",acos,extraction
this place had ALL the trimmings and i mean all .,"5,5,food style_options,3,3,POS",acos,extraction
"We did tip , I guess the model / waitress just wanted more and complained to the manager .","9,9,service general,14,14,NEG",acos,extraction
"The first time the sushi was outstanding , the second time it was a little bland .","4,4,food quality,6,6,POS,4,4,food quality,15,15,NEG",acos,extraction
MY husbands birthday and my sons was not as it was intended . . . and we drove two hours to spend too much money to be treated terribly !,"-1,-1,restaurant prices,22,24,NEG,-1,-1,service general,27,28,NEG",acos,extraction
The food is all shared so we get to order together and eat together .,"1,1,food style_options,4,4,POS",acos,extraction
"However , go for the ambience , and consider the food just a companion for a trip across the world !","10,10,food quality,12,19,NEU",acos,extraction
Quick and friendly service .,"3,3,service general,0,0,POS,3,3,service general,2,2,POS",acos,extraction
Unique apppetizers .,"1,1,food quality,0,0,POS",acos,extraction
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,"-1,-1,restaurant general,22,22,POS",acos,extraction
The food was authentic .,"1,1,food quality,3,3,POS",acos,extraction
Overall I would recommend it and go back again .,"-1,-1,restaurant general,3,3,POS",acos,extraction
We all felt it was worth it .,"-1,-1,restaurant general,5,5,POS",acos,extraction
This quaint and romantic trattoria is at the top of my Manhattan restaurant list .,"4,4,ambience general,1,1,POS,4,4,restaurant general,3,3,POS",acos,extraction
The wait staff is very courteous and accomodating .,"1,2,service general,5,5,POS",acos,extraction
Helpful service and average price per dish $ 10 .,"1,1,service general,0,0,POS,6,6,food prices,7,8,NEU",acos,extraction
I ' ve had my fair share of modern Japanese and this spot delivers .,"8,9,food quality,13,13,POS",acos,extraction
"However , it is jus too good to not praise it .","-1,-1,restaurant general,6,6,POS,-1,-1,restaurant general,9,9,POS",acos,extraction
"We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .","5,6,food quality,17,19,NEG",acos,extraction
Wonderful strawberry daiquiries as well !,"1,2,drinks quality,0,0,POS",acos,extraction
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .","11,12,food quality,10,10,NEG,24,24,food quality,21,23,NEG",acos,extraction
"We have been to this place many times , and always have great food , wine , and service .","13,13,food quality,12,12,POS,15,15,drinks quality,12,12,POS,18,18,service general,12,12,POS",acos,extraction
The wine list is extensive and can easily hike up an otherwise reasonably priced meal .,"1,2,drinks style_options,4,4,POS,14,14,food prices,12,13,POS",acos,extraction
"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .","5,5,service general,6,6,NEU",acos,extraction
Stepping into Casa La Femme last night was a true experience unlike any other in New York !,"2,4,restaurant general,9,9,POS",acos,extraction
But the staff was so horrible to us .,"2,2,service general,5,5,NEG",acos,extraction
It ' s a rather cramped and busy restaurant and it closes early .,"8,8,restaurant miscellaneous,11,12,NEG,8,8,ambience general,5,5,NEG,8,8,ambience general,7,7,NEG",acos,extraction
I think that it is absolutely brilliant and well runned business operation .,"-1,-1,restaurant general,6,6,POS",acos,extraction
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,"12,12,food quality,9,11,POS,15,15,service general,14,14,POS",acos,extraction
Was surprisingly disappointed .,"-1,-1,food quality,1,2,NEG",acos,extraction
"An awesome organic dog , and a conscious eco friendly establishment .","3,3,food quality,2,2,POS,10,10,restaurant miscellaneous,8,9,POS",acos,extraction
We took advanatage of the half price sushi deal on saturday so it was well worth it .,"5,8,food quality,15,15,POS",acos,extraction
The high prices you ' re going to pay is for the view not for the food .,"-1,-1,restaurant prices,1,1,NEG",acos,extraction
Save yourself the time and trouble and skip this one !,"-1,-1,restaurant general,7,7,NEG",acos,extraction
but overall i give it a 10,"-1,-1,restaurant general,3,6,POS",acos,extraction
"Still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .","-1,-1,restaurant prices,3,3,NEU,18,20,drinks style_options,13,17,POS,18,20,drinks style_options,23,23,POS",acos,extraction
its alright,"-1,-1,restaurant general,1,1,NEU",acos,extraction
"They ' re rude at times , and not very friendly .","-1,-1,service general,3,3,NEG",acos,extraction
It ' s great to go for a quick lunch either alone or with a friend .,"-1,-1,restaurant miscellaneous,3,3,POS",acos,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .","8,10,ambience general,2,2,POS",acos,extraction
I go twice a month !,"-1,-1,restaurant general,2,4,POS",acos,extraction
The only fallback on this restaurant is the prices .,"5,5,restaurant prices,2,2,NEG",acos,extraction
We were then shooed inside .,"-1,-1,service general,3,3,NEG",acos,extraction
"What really makes it shine is the food , which is aggressively seasoned with Cyrpriot spices , and all made in - house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected .","7,7,food quality,4,4,POS,26,27,food quality,20,22,POS,29,29,food quality,20,22,POS,38,38,food quality,36,37,POS",acos,extraction
With the theater 2 blocks away we had a delicious meal in a beautiful room .,"10,10,food quality,9,9,POS,14,14,ambience general,13,13,POS,-1,-1,location general,3,5,POS",acos,extraction
After really enjoying ourselves at the bar we sat down at a table and had dinner .,"6,6,restaurant miscellaneous,2,2,POS",acos,extraction
"The sandwiches are dry , tasteless and way overpriced .","1,1,food quality,3,3,NEG,1,1,food quality,5,5,NEG,1,1,food prices,8,8,NEG",acos,extraction
"But , they were too big for the bun .","-1,-1,food style_options,4,5,NEG",acos,extraction
"By far , the best pizza in Manhattan .","5,5,food quality,4,4,POS",acos,extraction
I was there on sat . for my birthday and we had an excellent time .,"-1,-1,restaurant general,13,13,POS",acos,extraction
Give it a try and enjoy .,"-1,-1,restaurant general,5,5,POS",acos,extraction
Pizza here is consistently good .,"0,0,food quality,4,4,POS",acos,extraction
"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .","2,2,ambience general,1,1,POS,8,8,food quality,11,11,POS,14,14,service general,16,16,POS,14,14,service general,18,18,POS,14,14,service general,20,20,POS",acos,extraction
"Not only is the cuisine the best around , the service has always been attentive and charming .","4,4,food quality,6,6,POS,10,10,service general,14,14,POS,10,10,service general,16,16,POS",acos,extraction
But the pizza is way to expensive .,"2,2,food prices,6,6,NEG",acos,extraction
Love Pizza 33 . . .,"1,2,restaurant general,0,0,POS",acos,extraction
"The food was good , the place was clean and affordable .","1,1,food quality,3,3,POS,6,6,ambience general,8,8,POS,6,6,restaurant prices,10,10,POS",acos,extraction
"The food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .","1,1,food quality,3,3,POS,7,7,service general,9,9,POS,7,7,service general,11,11,POS,7,7,service general,14,19,POS",acos,extraction
Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all .,"-1,-1,food style_options,2,8,NEG,-1,-1,food quality,14,15,NEG",acos,extraction
"The freshest , best variety , and the fastest delivery .","-1,-1,food quality,1,1,POS,-1,-1,food style_options,3,4,POS,9,9,service general,8,8,POS",acos,extraction
We were greeted promptly by the waiter who was very nice and cordial .,"6,6,service general,10,10,POS,6,6,service general,12,12,POS",acos,extraction
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded .,"14,15,restaurant miscellaneous,18,18,POS",acos,extraction
Surprisingly nothing could be further from the truth .,"-1,-1,restaurant miscellaneous,3,7,POS",acos,extraction
It ' s one of our favorite places to eat in NY .,"-1,-1,restaurant general,6,6,POS",acos,extraction
A little pricey but it really hits the spot on a Sunday morning !,"-1,-1,restaurant prices,2,2,NEG,-1,-1,restaurant general,6,8,POS",acos,extraction
"Of course , it is crowded but who cares .","-1,-1,ambience general,5,8,NEU",acos,extraction
Which lets face it . . . . at times it ' s a good thing .,"-1,-1,service general,14,14,POS",acos,extraction
But the best pork souvlaki I ever had is the main thing .,"3,4,food quality,2,2,POS",acos,extraction
Stay away,"-1,-1,restaurant general,0,1,NEG",acos,extraction
"never swaying , never a bad meal , never bad service . . .","-1,-1,restaurant general,0,1,POS,6,6,food quality,3,5,POS,10,10,service general,8,9,POS",acos,extraction
This was my frist time at Cafe St . Bart ' s and I must say how delicious the food and the service was .,"19,19,food quality,17,17,POS",acos,extraction
The mussels were fantastic and so was the dessert . . . definitely going to be back very soon .,"1,1,food quality,3,3,POS,8,8,food quality,3,3,POS,-1,-1,restaurant general,13,16,POS",acos,extraction
And even with it ' s Pub atmosphere they were great to my kids too !,"-1,-1,service general,10,10,POS",acos,extraction
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,"10,10,service general,15,18,NEG",acos,extraction
I got hair in my food 2 times of then !,"5,5,food quality,1,5,NEG",acos,extraction
"I LOOOVE their eggplant pizza , as well as their pastas !","3,4,food quality,1,1,POS,10,10,food quality,1,1,POS",acos,extraction
The rice was poor quality and was cooked so badly it was hard .,"1,1,food quality,3,4,NEG,1,1,food quality,7,9,NEG,1,1,food quality,12,12,NEG",acos,extraction
"Most of the servers are very attentive , friendly and quite attractive .","3,3,service general,6,6,POS,3,3,service general,8,8,POS,3,3,service general,11,11,POS",acos,extraction
My wife had barely touched that mess of a dish .,"9,9,food quality,6,6,NEG",acos,extraction
"When family came in he gave them apps to test their palets , and then ordered for them .","-1,-1,service general,15,17,POS",acos,extraction
I was pleasantly suprised .,"-1,-1,restaurant general,2,3,POS",acos,extraction
"Also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .","2,2,service general,5,5,NEG",acos,extraction
Yakitori ( bbq meats ) is tasty too .,"0,4,food quality,6,6,POS",acos,extraction
Favorite Sushi in NYC,"1,1,food quality,0,0,POS",acos,extraction
Warning : You may find it difficult to dine at other Japanese restaurants after a visit to Mizu !,"17,17,restaurant general,6,6,POS",acos,extraction
"the pad se ew chicken was delicious , however the pad thai was far too oily .","1,4,food quality,6,6,POS,10,11,food quality,15,15,NEG",acos,extraction
It is very overpriced and not very tasty .,"-1,-1,food quality,5,7,NEG,-1,-1,food prices,3,3,NEG",acos,extraction
This is one of my favorite restaurants and it is not to be missed .,"-1,-1,restaurant general,5,5,POS",acos,extraction
This was a repeat visit and we ' ll definitely be back again .,"-1,-1,restaurant general,10,12,POS",acos,extraction
"Overall , decent food at a good price , with friendly people .","3,3,food quality,2,2,POS,3,3,food prices,6,6,POS,11,11,service general,10,10,POS",acos,extraction
"however , it ' s the service that leaves a bad taste in my mouth .","6,6,service general,10,11,NEG",acos,extraction
"Try the Pad Thai , it ' s fabulous and their prices are so cheap !","2,3,food quality,0,0,POS,2,3,food quality,8,8,POS,-1,-1,restaurant prices,14,14,POS",acos,extraction
"With so many good restaurants on the UWS , I do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .","16,16,food prices,15,15,NEG,20,22,service general,19,19,NEG,37,37,service general,36,36,NEG,40,40,service general,42,46,NEG",acos,extraction
would NOT go back .,"-1,-1,restaurant general,1,3,NEG",acos,extraction
"The service leaves much to be desired , from feeling like you are rushed the place your order , to being ignored the rest of the night .","1,1,service general,2,6,NEG",acos,extraction
We wo n ' t go to this place again for a good meal .,"13,13,food quality,12,12,NEG",acos,extraction
You will not be disapointed at all .,"-1,-1,restaurant general,1,4,POS",acos,extraction
Salads are a delicious way to begin the meal .,"0,0,food quality,3,3,POS",acos,extraction
I pray it stays open forever .,"-1,-1,restaurant general,3,5,POS",acos,extraction
Go there to relax and feel like your somewhere else .,"-1,-1,ambience general,3,3,POS",acos,extraction
