input,output,se_order,paradigm
Extract with format >> aspect : <extra_id_0> | Haru on Park S is simply disgusting .,<extra_id_0> Haru on Park S,a,extraction
"Extract with format >> category : <extra_id_0> | My mom originally introduced me to this place , but even she ( being Indian ) feels the food can be somewhat over the top spicy and far too oily .",<extra_id_0> food quality,c,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | Texaco has purchased an oil-producing company in Texas for $ 476.5 million .","<extra_id_0> Texaco <extra_id_1> proper noun, singular ; <extra_id_2> has <extra_id_3> verb, 3rd person singular present ; <extra_id_4> purchased <extra_id_5> verb, past participle ; <extra_id_6> an <extra_id_7> determiner ; <extra_id_8> oil-producing <extra_id_9> adjective ; <extra_id_10> company <extra_id_11> noun, singular or mass ; <extra_id_12> in <extra_id_13> preposition or subordinating conjunction ; <extra_id_14> Texas <extra_id_15> proper noun, singular ; <extra_id_16> for <extra_id_17> preposition or subordinating conjunction ; <extra_id_18> $ <extra_id_19> dollar sign ; <extra_id_20> 476.5 <extra_id_21> cardinal number ; <extra_id_22> million <extra_id_23> cardinal number ; <extra_id_24> . <extra_id_25> period",non_absa,
"Extract with format >> category : <extra_id_0> | My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary , and to our surprise it was fantastic .",<extra_id_0> restaurant general ; <extra_id_1> restaurant general,c,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | my favorite place lol",<extra_id_0> place <extra_id_1> restaurant general <extra_id_2> favorite <extra_id_3> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | You can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .",<extra_id_0> martini <extra_id_1> drinks quality <extra_id_2> delish <extra_id_3> positive ; <extra_id_4> martini <extra_id_5> drinks style_options <extra_id_6> delish <extra_id_7> positive ; <extra_id_8> martini <extra_id_9> drinks prices <extra_id_10> delish <extra_id_11> positive ; <extra_id_12> Vanilla Shanty <extra_id_13> drinks quality <extra_id_14> recommend <extra_id_15> positive ; <extra_id_16> setting <extra_id_17> ambience general <extra_id_18> homey <extra_id_19> positive ; <extra_id_20> music <extra_id_21> ambience general <extra_id_22> great <extra_id_23> positive,acos,extraction
Extract with format >> aspect : <extra_id_0> | The manager was rude and handled the situation extremely poorly .,<extra_id_0> manager,a,extraction
"Extract with format >> aspect : <extra_id_0> | If you venture off the island of Manhattan and ca n ' t seem to find a great Italian restaurant , drive to Corona .",<extra_id_0> Corona,a,extraction
"Extract with format >> aspect : <extra_id_0> | As BFC does n ' t take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated , which can be over an hour later !",<extra_id_0> BFC ; <extra_id_1> front of house staff ; <extra_id_2> NULL,a,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | We paid and left because we didn ' t feel like arguing any more .",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | At Tokyo , the Nikkei index of 225 selected issues was up 112.16 points to 35486.38 .","<extra_id_0> At <extra_id_1> preposition or subordinating conjunction ; <extra_id_2> Tokyo <extra_id_3> proper noun, singular ; <extra_id_4> , <extra_id_5> comma ; <extra_id_6> the <extra_id_7> determiner ; <extra_id_8> Nikkei <extra_id_9> proper noun, singular ; <extra_id_10> index <extra_id_11> noun, singular or mass ; <extra_id_12> of <extra_id_13> preposition or subordinating conjunction ; <extra_id_14> 225 <extra_id_15> cardinal number ; <extra_id_16> selected <extra_id_17> verb, past participle ; <extra_id_18> issues <extra_id_19> noun, plural ; <extra_id_20> was <extra_id_21> verb, past tense ; <extra_id_22> up <extra_id_23> preposition or subordinating conjunction ; <extra_id_24> 112.16 <extra_id_25> cardinal number ; <extra_id_26> points <extra_id_27> noun, plural ; <extra_id_28> to <extra_id_29> to ; <extra_id_30> 35486.38 <extra_id_31> cardinal number ; <extra_id_32> . <extra_id_33> period",non_absa,
Extract with format >> aspect : <extra_id_0> | This place has got to be the best japanese restaurant in the new york area .,<extra_id_0> place,a,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | But some question how long a COO could last given Musk 's famously micromanaging style and hard-driving , sleeping-on-the-factory-floor tendencies .",<extra_id_0> Musk <extra_id_1> person,non_absa,
Extract with format >> aspect : <extra_id_0> | Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,<extra_id_0> service ; <extra_id_1> food ; <extra_id_2> food,a,extraction
Extract with format >> aspect : <extra_id_0> | A beautifully designed dreamy Egyptian restaurant that gets sceney at night .,<extra_id_0> Egyptian restaurant,a,extraction
"Extract with format >> aspect : <extra_id_0> | They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !",<extra_id_0> NULL,a,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Sometimes tables do n ' t understand his sense of humor but it ' s refreshing to have a server who has personality , professionalism , and respects the privacy of your dinner .",<extra_id_0> service general <extra_id_1> positive ; <extra_id_2> service general <extra_id_3> positive ; <extra_id_4> service general <extra_id_5> positive,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | `` Inflation could be a real surprise , '' said Samuel D. Kahan , chief financial economist at Kleinwort Benson Government Securities Inc. , in Chicago .","<extra_id_0> `` <extra_id_1> opening quotation mark ; <extra_id_2> Inflation <extra_id_3> noun, singular or mass ; <extra_id_4> could <extra_id_5> modal ; <extra_id_6> be <extra_id_7> verb, base form ; <extra_id_8> a <extra_id_9> determiner ; <extra_id_10> real <extra_id_11> adjective ; <extra_id_12> surprise <extra_id_13> noun, singular or mass ; <extra_id_14> , <extra_id_15> comma ; <extra_id_16> '' <extra_id_17> closing quotation mark ; <extra_id_18> said <extra_id_19> verb, past tense ; <extra_id_20> Samuel <extra_id_21> proper noun, singular ; <extra_id_22> D. <extra_id_23> proper noun, singular ; <extra_id_24> Kahan <extra_id_25> proper noun, singular ; <extra_id_26> , <extra_id_27> comma ; <extra_id_28> chief <extra_id_29> adjective ; <extra_id_30> financial <extra_id_31> adjective ; <extra_id_32> economist <extra_id_33> noun, singular or mass ; <extra_id_34> at <extra_id_35> preposition or subordinating conjunction ; <extra_id_36> Kleinwort <extra_id_37> proper noun, singular ; <extra_id_38> Benson <extra_id_39> proper noun, singular ; <extra_id_40> Government <extra_id_41> proper noun, singular ; <extra_id_42> Securities <extra_id_43> proper noun, singular ; <extra_id_44> Inc. <extra_id_45> proper noun, singular ; <extra_id_46> , <extra_id_47> comma ; <extra_id_48> in <extra_id_49> preposition or subordinating conjunction ; <extra_id_50> Chicago <extra_id_51> proper noun, singular ; <extra_id_52> . <extra_id_53> period",non_absa,
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | Prices too high for this cramped and unappealing resturant .",<extra_id_0> resturant <extra_id_1> high ; <extra_id_2> resturant <extra_id_3> cramped ; <extra_id_4> resturant <extra_id_5> unappealing,ao,extraction
"Extract with format >> category : <extra_id_0> | Do not get the Go Go Hamburgers , no matter what the reviews say .",<extra_id_0> food quality,c,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The food was lousy - too sweet or too salty and the portions tiny .",<extra_id_0> food <extra_id_1> lousy ; <extra_id_2> food <extra_id_3> too sweet ; <extra_id_4> food <extra_id_5> too salty ; <extra_id_6> portions <extra_id_7> tiny,ao,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | They have it all - - great price , food , and service .",<extra_id_0> restaurant prices <extra_id_1> positive ; <extra_id_2> food quality <extra_id_3> positive ; <extra_id_4> service general <extra_id_5> positive,cs,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | The food was bland oily .",<extra_id_0> food <extra_id_1> food quality <extra_id_2> bland oily <extra_id_3> negative,acos,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Wolf moon is a Native American name for the first full moon of the year .",<extra_id_0> American <extra_id_1> miscellaneous,non_absa,
"Extract with format >> aspect : <extra_id_0> | i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",<extra_id_0> waiter,a,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Yes , the prices are high , but I felt it was worth it .",<extra_id_0> NULL <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive,as,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Capt. Randy McAlister : Stephen moves from being a & grieving spouse of Amy , to the suspect in her murder .",<extra_id_0> Randy McAlister <extra_id_1> person ; <extra_id_2> Stephen <extra_id_3> person ; <extra_id_4> Amy <extra_id_5> person,non_absa,
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | I am actually offended to have spent so much money on such a bad experience .",<extra_id_0> NULL <extra_id_1> restaurant general <extra_id_2> bad <extra_id_3> negative ; <extra_id_4> NULL <extra_id_5> restaurant prices <extra_id_6> so much money <extra_id_7> negative,acos,extraction
"Extract with format >> aspect : <extra_id_0> | I found the food , service and value exceptional everytime I have been there .",<extra_id_0> food ; <extra_id_1> service ; <extra_id_2> value,a,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | I do n ' t appreciate places or people that try to drive up the bill without the patron ' s knowledge so that was a huge turnoff ( more than the price ) .",<extra_id_0> NULL <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> negative,as,extraction
"Extract with format >> aspect : <extra_id_0> | It is nearly impossible to get a table , so if you ever have the chance to go here for dinner , DO NOT pass it up .",<extra_id_0> NULL,a,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal",<extra_id_0> meal <extra_id_1> enjoy ; <extra_id_2> meal <extra_id_3> great ; <extra_id_4> restaurant <extra_id_5> noisy,ao,extraction
Extract with format >> aspect : <extra_id_0> | The waiter was attentive .,<extra_id_0> waiter,a,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The service was the only thing good about this restaurant .",<extra_id_0> service <extra_id_1> good,ao,extraction
Extract with format >> category : <extra_id_0> | Highly recommended .,<extra_id_0> restaurant general,c,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | The food was mediocre at best but it was the horrible service that made me vow never to go back .",<extra_id_0> food <extra_id_1> food quality <extra_id_2> mediocre <extra_id_3> negative ; <extra_id_4> service <extra_id_5> service general <extra_id_6> horrible <extra_id_7> negative,acos,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | Rates for The Asian Wall Street Journal Weekly , published in New York for North American readers , will rise 6 % .","<extra_id_0> Rates <extra_id_1> noun, plural ; <extra_id_2> for <extra_id_3> preposition or subordinating conjunction ; <extra_id_4> The <extra_id_5> determiner ; <extra_id_6> Asian <extra_id_7> proper noun, singular ; <extra_id_8> Wall <extra_id_9> proper noun, singular ; <extra_id_10> Street <extra_id_11> proper noun, singular ; <extra_id_12> Journal <extra_id_13> proper noun, singular ; <extra_id_14> Weekly <extra_id_15> proper noun, singular ; <extra_id_16> , <extra_id_17> comma ; <extra_id_18> published <extra_id_19> verb, past participle ; <extra_id_20> in <extra_id_21> preposition or subordinating conjunction ; <extra_id_22> New <extra_id_23> proper noun, singular ; <extra_id_24> York <extra_id_25> proper noun, singular ; <extra_id_26> for <extra_id_27> preposition or subordinating conjunction ; <extra_id_28> North <extra_id_29> proper noun, singular ; <extra_id_30> American <extra_id_31> adjective ; <extra_id_32> readers <extra_id_33> noun, plural ; <extra_id_34> , <extra_id_35> comma ; <extra_id_36> will <extra_id_37> modal ; <extra_id_38> rise <extra_id_39> verb, base form ; <extra_id_40> 6 <extra_id_41> cardinal number ; <extra_id_42> % <extra_id_43> noun, singular or mass ; <extra_id_44> . <extra_id_45> period",non_absa,
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | We never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating .",<extra_id_0> service general <extra_id_1> negative,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | Here are four key steps :","<extra_id_0> Here <extra_id_1> adverb ; <extra_id_2> are <extra_id_3> verb, non-3rd person singular present ; <extra_id_4> four <extra_id_5> cardinal number ; <extra_id_6> key <extra_id_7> adjective ; <extra_id_8> steps <extra_id_9> noun, plural ; <extra_id_10> : <extra_id_11> colon",non_absa,
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | Worth the trip from Manhattan .",<extra_id_0> NULL <extra_id_1> Worth,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | The omlette for brunch is great . . .",<extra_id_0> omlette for brunch <extra_id_1> food quality <extra_id_2> great <extra_id_3> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | I wish they would change back to what it was before .",<extra_id_0> NULL <extra_id_1> change back,ao,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | The appetizers are also delicious !",<extra_id_0> food quality <extra_id_1> positive,cs,extraction
"Extract with format >> opinion : <extra_id_0> | never swaying , never a bad meal , never bad service . . .",<extra_id_0> never swaying ; <extra_id_1> never a bad ; <extra_id_2> never bad,o,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | All of the pizzas are terrific and the price is even better !",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> restaurant prices <extra_id_3> positive,cs,extraction
Extract with format >> category : <extra_id_0> | Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all .,<extra_id_0> food style_options ; <extra_id_1> food quality,c,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | I found it on a cold night , the perfect spot to warm up .",<extra_id_0> spot <extra_id_1> perfect,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | fresh restaurant was amazing . . . . . . . . food was delicious and of course fresh .",<extra_id_0> fresh restaurant <extra_id_1> restaurant general <extra_id_2> fresh <extra_id_3> positive ; <extra_id_4> fresh restaurant <extra_id_5> restaurant general <extra_id_6> amazing <extra_id_7> positive ; <extra_id_8> food <extra_id_9> food quality <extra_id_10> delicious <extra_id_11> positive ; <extra_id_12> food <extra_id_13> food quality <extra_id_14> fresh <extra_id_15> positive,acos,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Capt. Randy McAlister : They installed & a video surveillance system . And they purchased a pistol . So they had taken steps .",<extra_id_0> Randy McAlister <extra_id_1> person,non_absa,
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | The dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest I ' ve ever had ) .",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> food quality <extra_id_3> positive ; <extra_id_4> food quality <extra_id_5> positive ; <extra_id_6> food quality <extra_id_7> positive,cs,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | She just nodded and walked off .",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Extract with format >> opinion : <extra_id_0> | The Steak Tartare is a great bet , they fix it for you at the table .",<extra_id_0> great,o,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Great Atmosphere",<extra_id_0> Atmosphere <extra_id_1> positive,as,extraction
Extract with format >> opinion : <extra_id_0> | You ca n ' t go wrong here .,<extra_id_0> ca n ' t go wrong,o,extraction
Extract with format >> category : <extra_id_0> | I took one look at the chicken and I was appalled .,<extra_id_0> food style_options,c,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | A few tips : skip the turnip cake , roast pork buns and egg custards .",<extra_id_0> food quality <extra_id_1> negative ; <extra_id_2> food quality <extra_id_3> negative ; <extra_id_4> food quality <extra_id_5> negative,cs,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | More than half of all industrial robots sold last year were made in the country .",NULL,non_absa,
Extract with format >> aspect : <extra_id_0> | We were less than impressed .,<extra_id_0> NULL,a,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | too large for just two people but nothing was left .",<extra_id_0> NULL <extra_id_1> too large ; <extra_id_2> NULL <extra_id_3> nothing was left,ao,extraction
Extract with format >> category : <extra_id_0> | I will definetly be going back .,<extra_id_0> restaurant general,c,extraction
"Extract with format >> aspect : <extra_id_0> | Guess what , I waited for TWENTY minutes before she came over and when she finally did , she says , `` oh well , I wish you would have said something earlier `` No apology , nothing .",<extra_id_0> NULL,a,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The wait staff is very courteous and accomodating .",<extra_id_0> wait staff <extra_id_1> courteous,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The Yellowtail was particularly good as well .",<extra_id_0> Yellowtail <extra_id_1> good,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | JUST AWSOME .",<extra_id_0> NULL <extra_id_1> AWSOME,ao,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> food style_options <extra_id_3> negative ; <extra_id_4> service general <extra_id_5> positive,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | Neither of the two chemists whose Utah experiments triggered the cold fusion uproar , Martin Fleischmann and B. Stanley Pons , were at the meeting .","<extra_id_0> Neither <extra_id_1> coordinating conjunction ; <extra_id_2> of <extra_id_3> preposition or subordinating conjunction ; <extra_id_4> the <extra_id_5> determiner ; <extra_id_6> two <extra_id_7> cardinal number ; <extra_id_8> chemists <extra_id_9> noun, plural ; <extra_id_10> whose <extra_id_11> possessive wh-pronoun ; <extra_id_12> Utah <extra_id_13> proper noun, singular ; <extra_id_14> experiments <extra_id_15> noun, plural ; <extra_id_16> triggered <extra_id_17> verb, past tense ; <extra_id_18> the <extra_id_19> determiner ; <extra_id_20> cold <extra_id_21> adjective ; <extra_id_22> fusion <extra_id_23> noun, singular or mass ; <extra_id_24> uproar <extra_id_25> noun, singular or mass ; <extra_id_26> , <extra_id_27> comma ; <extra_id_28> Martin <extra_id_29> proper noun, singular ; <extra_id_30> Fleischmann <extra_id_31> proper noun, singular ; <extra_id_32> and <extra_id_33> coordinating conjunction ; <extra_id_34> B. <extra_id_35> proper noun, singular ; <extra_id_36> Stanley <extra_id_37> proper noun, singular ; <extra_id_38> Pons <extra_id_39> proper noun, singular ; <extra_id_40> , <extra_id_41> comma ; <extra_id_42> were <extra_id_43> verb, past tense ; <extra_id_44> at <extra_id_45> preposition or subordinating conjunction ; <extra_id_46> the <extra_id_47> determiner ; <extra_id_48> meeting <extra_id_49> noun, singular or mass ; <extra_id_50> . <extra_id_51> period",non_absa,
"Extract with format >> category : <extra_id_0> | Of course , it is crowded but who cares .",<extra_id_0> ambience general,c,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | lobster was good , nothing spectacular .",<extra_id_0> lobster <extra_id_1> food quality <extra_id_2> good <extra_id_3> neutral,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | Spreads and toppings are great - though a bit pricey .",<extra_id_0> Spreads <extra_id_1> great ; <extra_id_2> toppings <extra_id_3> great ; <extra_id_4> Spreads <extra_id_5> pricey ; <extra_id_6> toppings <extra_id_7> pricey,ao,extraction
"Extract with format >> opinion : <extra_id_0> | I paid just about $ 60 for a good meal , though : )",<extra_id_0> good ; <extra_id_1> good,o,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | Salads were fantastic .",<extra_id_0> Salads <extra_id_1> food quality <extra_id_2> fantastic <extra_id_3> positive,acos,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | We could have made a meal of the yummy dumplings from the dumpling menu .",<extra_id_0> food quality <extra_id_1> positive,cs,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Terrible , terrible management - deserves to be shut - down .",<extra_id_0> management <extra_id_1> negative ; <extra_id_2> management <extra_id_3> negative ; <extra_id_4> NULL <extra_id_5> negative,as,extraction
