text,prompt,target,raw_prediction,editdistance_prediction,cut_predictions,remove_predictions,string_preds
"Food was decent , but not great .",extract uabsa duplet :,"[{'aspect': 'Food', 'sentiment': 'positive'}]","[{'aspect': 'Food', 'sentiment': 'neutral'}]","[{'aspect': 'Food', 'sentiment': 'neutral'}]","[{'aspect': 'Food', 'sentiment': 'neutral'}]","[{'aspect': 'Food', 'sentiment': 'neutral'}]","( Food, neutral )"
"Although small , it has beautiful ambience , excellent food ( the catfish is delicious - if ya do n't mind it a lil salty ) and attentive service .",extract aspect :,"[{'aspect': 'ambience'}, {'aspect': 'food'}, {'aspect': 'catfish'}, {'aspect': 'service'}]","[{'aspect': 'food'}, {'aspect': 'ambience'}, {'aspect': 'service'}, {'aspect': 'catfish'}]","[{'aspect': 'food'}, {'aspect': 'ambience'}, {'aspect': 'service'}, {'aspect': 'catfish'}]","[{'aspect': 'food'}, {'aspect': 'ambience'}, {'aspect': 'service'}, {'aspect': 'catfish'}]","[{'aspect': 'food'}, {'aspect': 'ambience'}, {'aspect': 'service'}, {'aspect': 'catfish'}]",( ambience ) ; ( food ) ; ( catfish ) ; ( service )
The main draw of this place is the price .,extract aspect :,[{'aspect': 'price'}],[{'aspect': 'price'}],[{'aspect': 'price'}],[{'aspect': 'price'}],[{'aspect': 'price'}],( price )
The food really is n't very good and the service is terrible .,extract aope duplet :,"[{'aspect': 'food', 'opinion': ""is n't very good""}, {'aspect': 'service', 'opinion': 'terrible'}]","[{'aspect': 'food', 'opinion': ""isn't very good""}, {'aspect': 'service', 'opinion': 'terrible'}]","[{'aspect': 'food', 'opinion': ""n't very good""}, {'aspect': 'service', 'opinion': 'terrible'}]","[{'aspect': 'food', 'opinion': 'very good'}, {'aspect': 'service', 'opinion': 'terrible'}]","[{'aspect': 'service', 'opinion': 'terrible'}]","( food, isn't very good ) ; ( service, terrible )"
"The guac is fresh , yet lacking flavor , we like to add our fresh salsa into it .",extract aste triplet :,"[{'aspect': 'flavor', 'opinion': 'lacking', 'sentiment': 'negative'}]","[{'aspect': 'salsa', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'guac', 'opinion': 'lacking', 'sentiment': 'negative'}, {'aspect': 'guac', 'opinion': 'fresh', 'sentiment': 'positive'}]","[{'aspect': 'salsa', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'guac', 'opinion': 'lacking', 'sentiment': 'negative'}, {'aspect': 'guac', 'opinion': 'fresh', 'sentiment': 'positive'}]","[{'aspect': 'salsa', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'guac', 'opinion': 'lacking', 'sentiment': 'negative'}, {'aspect': 'guac', 'opinion': 'fresh', 'sentiment': 'positive'}]","[{'aspect': 'salsa', 'opinion': 'fresh', 'sentiment': 'positive'}, {'aspect': 'guac', 'opinion': 'lacking', 'sentiment': 'negative'}, {'aspect': 'guac', 'opinion': 'fresh', 'sentiment': 'positive'}]","( guac, fresh, positive ) ; ( guac, lacking, negative ) ; ( salsa, fresh, positive )"
Cool atmosphere but such a let down .,extract aspect :,[{'aspect': 'atmosphere'}],[{'aspect': 'atmosphere'}],[{'aspect': 'atmosphere'}],[{'aspect': 'atmosphere'}],[{'aspect': 'atmosphere'}],( atmosphere )
Service was good and so was the atmosphere .,extract aspect :,"[{'aspect': 'Service'}, {'aspect': 'atmosphere'}]","[{'aspect': 'atmosphere'}, {'aspect': 'Service'}]","[{'aspect': 'atmosphere'}, {'aspect': 'Service'}]","[{'aspect': 'atmosphere'}, {'aspect': 'Service'}]","[{'aspect': 'atmosphere'}, {'aspect': 'Service'}]",( Service ) ; ( atmosphere )
"There restaurant is very casual , but perfect for lunch , and their delivery service is always very fast .",extract aste triplet :,"[{'aspect': 'lunch', 'opinion': 'perfect', 'sentiment': 'neutral'}, {'aspect': 'delivery service', 'opinion': 'fast', 'sentiment': 'positive'}]","[{'aspect': 'delivery service', 'opinion': 'fast', 'sentiment': 'positive'}]","[{'aspect': 'delivery service', 'opinion': 'fast', 'sentiment': 'positive'}]","[{'aspect': 'delivery service', 'opinion': 'fast', 'sentiment': 'positive'}]","[{'aspect': 'delivery service', 'opinion': 'fast', 'sentiment': 'positive'}]","( delivery service, fast, positive ) ; ( casual, neutral ) ; ( perfect, neutral )"
Simple healthy unglamorous food cheap .,extract uabsa duplet :,"[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","( food, positive )"
The service is pretty good .,extract aspect :,[{'aspect': 'service'}],[{'aspect': 'service'}],[{'aspect': 'service'}],[{'aspect': 'service'}],[{'aspect': 'service'}],( service )
Really Lovely dining experience in the midst of buzzing midtown area .,extract uabsa duplet :,"[{'aspect': 'dining experience', 'sentiment': 'positive'}]","[{'aspect': 'dining', 'sentiment': 'positive'}]","[{'aspect': 'dining', 'sentiment': 'positive'}]","[{'aspect': 'dining', 'sentiment': 'positive'}]","[{'aspect': 'dining', 'sentiment': 'positive'}]","( dining, positive )"
The traditional Italian items are great - cheap and served in a cozy setting .,extract aste triplet :,"[{'aspect': 'traditional Italian items', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'traditional Italian items', 'opinion': 'cheap', 'sentiment': 'positive'}, {'aspect': 'setting', 'opinion': 'cozy', 'sentiment': 'positive'}]","[{'aspect': 'served', 'opinion': 'cozy', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'cheap', 'sentiment': 'positive'}]","[{'aspect': 'served', 'opinion': 'cozy', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'cheap', 'sentiment': 'positive'}]","[{'aspect': 'served', 'opinion': 'cozy', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'cheap', 'sentiment': 'positive'}]","[{'aspect': 'served', 'opinion': 'cozy', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'great', 'sentiment': 'positive'}, {'aspect': 'Italian items', 'opinion': 'cheap', 'sentiment': 'positive'}]","( Italian items, great, positive ) ; ( Italian items, cheap, positive ) ; ( served, cozy, positive )"
Had dinner here on a Friday and the food was great .,extract aspect :,[{'aspect': 'food'}],[{'aspect': 'food'}],[{'aspect': 'food'}],[{'aspect': 'food'}],[{'aspect': 'food'}],( food )
their dinner specials are fantastic .,extract aste triplet :,"[{'aspect': 'dinner specials', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'dinner specials', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'dinner specials', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'dinner specials', 'opinion': 'fantastic', 'sentiment': 'positive'}]","[{'aspect': 'dinner specials', 'opinion': 'fantastic', 'sentiment': 'positive'}]","( dinner specials, fantastic, positive )"
"The service is great ( maybe even borderline nagging but at least you get attention ) , the desserts are excellent and the coffee is so very good ...",extract aope duplet :,"[{'aspect': 'desserts', 'opinion': 'excellent'}, {'aspect': 'coffee', 'opinion': 'good'}]","[{'aspect': 'service', 'opinion': 'great'}, {'aspect': 'desserts', 'opinion': 'excellent'}, {'aspect': 'coffee', 'opinion': 'good'}]","[{'aspect': 'service', 'opinion': 'great'}, {'aspect': 'desserts', 'opinion': 'excellent'}, {'aspect': 'coffee', 'opinion': 'good'}]","[{'aspect': 'service', 'opinion': 'great'}, {'aspect': 'desserts', 'opinion': 'excellent'}, {'aspect': 'coffee', 'opinion': 'good'}]","[{'aspect': 'service', 'opinion': 'great'}, {'aspect': 'desserts', 'opinion': 'excellent'}, {'aspect': 'coffee', 'opinion': 'good'}]","( desserts, excellent ) ; ( coffee, good ) ; ( service, great )"
the food is delicious and highly recommended .,extract uabsa duplet :,"[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}]","( food, positive )"
"In addition to great hot dogs , DOTP has wonderful breakfast sandwiches that feature , in addition to great things like tator tots and English muffins , a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham .",extract opinion :,"[{'opinion': 'great'}, {'opinion': 'wonderful'}, {'opinion': 'delicious'}]","[{'opinion': 'great'}, {'opinion': 'delicious'}, {'opinion': 'wonderful'}]","[{'opinion': 'great'}, {'opinion': 'delicious'}, {'opinion': 'wonderful'}]","[{'opinion': 'great'}, {'opinion': 'delicious'}, {'opinion': 'wonderful'}]","[{'opinion': 'great'}, {'opinion': 'delicious'}, {'opinion': 'wonderful'}]",( great ) ; ( wonderful ) ; ( great ) ; ( delicious )
"Definitely try the calamari , any pasta , or even the Sliced steak entree .",extract aope duplet :,"[{'aspect': 'calamari', 'opinion': 'try'}, {'aspect': 'pasta', 'opinion': 'try'}, {'aspect': 'Sliced steak entree', 'opinion': 'try'}]","[{'aspect': 'pasta', 'opinion': 'try'}, {'aspect': 'Sliced steak entree', 'opinion': 'try'}, {'aspect': 'calamari', 'opinion': 'try'}]","[{'aspect': 'pasta', 'opinion': 'try'}, {'aspect': 'Sliced steak entree', 'opinion': 'try'}, {'aspect': 'calamari', 'opinion': 'try'}]","[{'aspect': 'pasta', 'opinion': 'try'}, {'aspect': 'Sliced steak entree', 'opinion': 'try'}, {'aspect': 'calamari', 'opinion': 'try'}]","[{'aspect': 'pasta', 'opinion': 'try'}, {'aspect': 'Sliced steak entree', 'opinion': 'try'}, {'aspect': 'calamari', 'opinion': 'try'}]","( calamari, try ) ; ( pasta, try ) ; ( Sliced steak entree, try )"
We had a birthday party here recently and the food and service was amazing .,extract opinion :,[{'opinion': 'amazing'}],[{'opinion': 'amazing'}],[{'opinion': 'amazing'}],[{'opinion': 'amazing'}],[{'opinion': 'amazing'}],( amazing )
"The room is a gorgeous , bi-level space and the long bar perfect for a drink .",extract aspect :,"[{'aspect': 'room'}, {'aspect': 'bi-level space'}, {'aspect': 'long bar'}]","[{'aspect': 'space'}, {'aspect': 'bar'}, {'aspect': 'room'}]","[{'aspect': 'space'}, {'aspect': 'bar'}, {'aspect': 'room'}]","[{'aspect': 'space'}, {'aspect': 'bar'}, {'aspect': 'room'}]","[{'aspect': 'space'}, {'aspect': 'bar'}, {'aspect': 'room'}]",( room ) ; ( space ) ; ( bar )
"Once we sailed , the top-notch food and live entertainment sold us on a unforgettable evening .",extract uabsa duplet :,"[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'live entertainment', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'live entertainment', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'live entertainment', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'live entertainment', 'sentiment': 'positive'}]","[{'aspect': 'food', 'sentiment': 'positive'}, {'aspect': 'live entertainment', 'sentiment': 'positive'}]","( food, positive ) ; ( live entertainment, positive )"
"The menu is great , with a good selection , and everything that I have tried is absolutely delicious .",extract opinion :,"[{'opinion': 'great'}, {'opinion': 'good'}]","[{'opinion': 'great'}, {'opinion': 'good'}]","[{'opinion': 'great'}, {'opinion': 'good'}]","[{'opinion': 'great'}, {'opinion': 'good'}]","[{'opinion': 'great'}, {'opinion': 'good'}]",( great ) ; ( good )
"This bar has it all - great drinks , cool atmosphere , excellent service and delicious food .",extract opinion :,"[{'opinion': 'great'}, {'opinion': 'cool'}, {'opinion': 'excellent'}, {'opinion': 'delicious'}]","[{'opinion': 'cool'}, {'opinion': 'excellent'}, {'opinion': 'great'}, {'opinion': 'delicious'}]","[{'opinion': 'cool'}, {'opinion': 'excellent'}, {'opinion': 'great'}, {'opinion': 'delicious'}]","[{'opinion': 'cool'}, {'opinion': 'excellent'}, {'opinion': 'great'}, {'opinion': 'delicious'}]","[{'opinion': 'cool'}, {'opinion': 'excellent'}, {'opinion': 'great'}, {'opinion': 'delicious'}]",( great ) ; ( cool ) ; ( excellent ) ; ( delicious )
Can be a bit busy around peak times because of the size .,extract aope duplet :,"[{'aspect': 'size', 'opinion': 'busy'}]","[{'aspect': 'size', 'opinion': 'busy'}]","[{'aspect': 'size', 'opinion': 'busy'}]","[{'aspect': 'size', 'opinion': 'busy'}]","[{'aspect': 'size', 'opinion': 'busy'}]","( size, busy )"
Definitely try the taglierini with truffles - it was incredible .,extract aste triplet :,"[{'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}, {'aspect': 'taglierini with truffles', 'opinion': 'incredible', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'incredible', 'sentiment': 'positive'}, {'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'incredible', 'sentiment': 'positive'}, {'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'incredible', 'sentiment': 'positive'}, {'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","[{'aspect': 'taglierini with truffles', 'opinion': 'incredible', 'sentiment': 'positive'}, {'aspect': 'taglierini with truffles', 'opinion': 'try', 'sentiment': 'positive'}]","( taglierini with truffles, try, positive ) ; ( taglierini with truffles, incredible, positive )"
They have homemade pastas of all kinds -- I recommend the gnocchi -- yum !,extract aste triplet :,"[{'aspect': 'gnocchi', 'opinion': 'recommend', 'sentiment': 'positive'}, {'aspect': 'gnocchi', 'opinion': 'yum', 'sentiment': 'positive'}]","[{'aspect': 'gnocchi', 'opinion': 'recommend', 'sentiment': 'positive'}, {'aspect': 'homemade pastas', 'opinion': 'homemade', 'sentiment': 'positive'}]","[{'aspect': 'gnocchi', 'opinion': 'recommend', 'sentiment': 'positive'}, {'aspect': 'homemade pastas', 'opinion': 'homemade', 'sentiment': 'positive'}]","[{'aspect': 'gnocchi', 'opinion': 'recommend', 'sentiment': 'positive'}, {'aspect': 'homemade pastas', 'opinion': 'homemade', 'sentiment': 'positive'}]","[{'aspect': 'gnocchi', 'opinion': 'recommend', 'sentiment': 'positive'}, {'aspect': 'homemade pastas', 'opinion': 'homemade', 'sentiment': 'positive'}]","( homemade pastas, homemade, positive ) ; ( gnocchi, recommend, positive )"
The design is very intimate and romantic .,extract aspect :,[{'aspect': 'design'}],[{'aspect': 'design'}],[{'aspect': 'design'}],[{'aspect': 'design'}],[{'aspect': 'design'}],( design )
"It 's just good food , nothing more and that 's all we want !",extract aste triplet :,"[{'aspect': 'food', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'food', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'food', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'food', 'opinion': 'good', 'sentiment': 'positive'}]","[{'aspect': 'food', 'opinion': 'good', 'sentiment': 'positive'}]","( food, good, positive )"
"And these are not small , wimpy fast food type burgers - these are real , full sized patties .",extract aspect :,"[{'aspect': 'burgers'}, {'aspect': 'patties'}]","[{'aspect': 'patties'}, {'aspect': 'burgers'}]","[{'aspect': 'patties'}, {'aspect': 'burgers'}]","[{'aspect': 'patties'}, {'aspect': 'burgers'}]","[{'aspect': 'patties'}, {'aspect': 'burgers'}]",( burgers ) ; ( patties )
Can be a bit busy around peak times because of the size .,extract aste triplet :,"[{'aspect': 'size', 'opinion': 'busy', 'sentiment': 'negative'}]","[{'aspect': 'size', 'opinion': 'busy', 'sentiment': 'negative'}]","[{'aspect': 'size', 'opinion': 'busy', 'sentiment': 'negative'}]","[{'aspect': 'size', 'opinion': 'busy', 'sentiment': 'negative'}]","[{'aspect': 'size', 'opinion': 'busy', 'sentiment': 'negative'}]","( size, busy, negative )"
"Casablanca servces delicious falafel , tabouleh , humus and other Mediterranean delights , which are all very inexpensive .",extract aope duplet :,"[{'aspect': 'falafel', 'opinion': 'delicious'}, {'aspect': 'tabouleh', 'opinion': 'delicious'}, {'aspect': 'humus', 'opinion': 'delicious'}, {'aspect': 'Mediterranean delights', 'opinion': 'delicious'}, {'aspect': 'Mediterranean delights', 'opinion': 'inexpensive'}]","[{'aspect': 'tabouleh', 'opinion': 'delicious'}, {'aspect': 'falafel', 'opinion': 'delicious'}, {'aspect': 'Mediterranean delights', 'opinion': 'delicious'}, {'aspect': 'humus', 'opinion': 'inexpensive'}]","[{'aspect': 'tabouleh', 'opinion': 'delicious'}, {'aspect': 'falafel', 'opinion': 'delicious'}, {'aspect': 'Mediterranean delights', 'opinion': 'delicious'}, {'aspect': 'humus', 'opinion': 'inexpensive'}]","[{'aspect': 'tabouleh', 'opinion': 'delicious'}, {'aspect': 'falafel', 'opinion': 'delicious'}, {'aspect': 'Mediterranean delights', 'opinion': 'delicious'}, {'aspect': 'humus', 'opinion': 'inexpensive'}]","[{'aspect': 'tabouleh', 'opinion': 'delicious'}, {'aspect': 'falafel', 'opinion': 'delicious'}, {'aspect': 'Mediterranean delights', 'opinion': 'delicious'}, {'aspect': 'humus', 'opinion': 'inexpensive'}]","( falafel, delicious ) ; ( tabouleh, delicious ) ; ( humus, inexpensive ) ; ( Mediterranean delights, delicious )"
At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered .,extract aope duplet :,"[{'aspect': 'atmoshere', 'opinion': 'changes'}]","[{'aspect': 'atmoshere', 'opinion': 'hidden'}]","[{'aspect': 'atmoshere', 'opinion': 'hidden'}]","[{'aspect': 'atmoshere', 'opinion': 'hidden'}]","[{'aspect': 'atmoshere', 'opinion': 'hidden'}]","( atmoshere, hidden )"
