prompt,text,output
Extract all the Location entity in the text,any cheap places on middleboro,middleboro
Extract all the Hours entity in the text,any cheap restaurants open before 8 a m,open before 8 a m
Extract all the Cuisine entity in the text,any cheap spanish places,spanish
Extract all the Location entity in the text,any crowd pleasing restaurants around here,around here
Extract all the Cuisine entity in the text,any deli with catering services,deli
Extract all the Location entity in the text,any family restaurant nearby,nearby
Extract all the Location entity in the text,any fast food nearby,nearby
Extract all the Cuisine entity in the text,any fast food places open this late,fast food
Extract all the Location entity in the text,any fast food restaurants nearby,nearby
Extract all the Location entity in the text,any fastfood nearby,nearby
Extract all the Cuisine entity in the text,any food low fat food resteraunt,low fat
Extract all the Location entity in the text,any food within 5 miles,within 5 miles
Extract all the Cuisine entity in the text,any german cuisine diners around with no smoking permitted,"german , diners"
Extract all the Location entity in the text,any good ice cream places around,around
Extract all the Location entity in the text,any good steak houses around me,around
Extract all the Location entity in the text,any ihops around,around
Extract all the Location entity in the text,any inernational brownies around here,around here
Extract all the Location entity in the text,any kid friendly restaurants around here,around here
Extract all the Cuisine entity in the text,any late night diners featuring sake,diners
Extract all the Location entity in the text,any nice dine in restaurants next to here,next to here
Extract all the Location entity in the text,any nicely priced places in harvard with nice toppings,in harvard
Extract all the Amenity entity in the text,any of the landrys restaurants offer carry out until at least 9 pm,carry out
Extract all the Cuisine entity in the text,any pho hoa restaurants with late night dining,hoa
Extract all the Location entity in the text,any place around that serves sandwichs on their lunch menu,around
Extract all the Cuisine entity in the text,any place around that serves vegan food options,vegan
Extract all the Location entity in the text,any place good to eat nearby,nearby
Extract all the Location entity in the text,any place to eat nearby that takes travelers checks,nearby
Extract all the Location entity in the text,any places along this road serve chips,along this road
Extract all the Location entity in the text,any places in harvard square where i can get potato pie and see some celebrities,harvard square
Extract all the Cuisine entity in the text,any reasonable priced chowder restaurants offering group dining,chowder
Extract all the Location entity in the text,any restaurant close by that serves vegan dish and its affordable,close by
Extract all the Hours entity in the text,any restaurant that opens 24 hours,opens 24 hours
Extract all the Location entity in the text,any restaurants around featuring brunch on hovendon avenue,hovendon avenue
Extract all the Location entity in the text,any restaurants around four miles from here with private rooms,around four miles from here
Extract all the Location entity in the text,any restaurants around government center with great prices,government center
Extract all the Location entity in the text,any restaurants around sacramento with fireplace and great atmosphere,around sacramento
Extract all the Location entity in the text,any restaurants around that serve organic foods,around
Extract all the Location entity in the text,any restaurants take checks,take checks
Extract all the Location entity in the text,any restaurants that serve french fries and have a patio nearby,nearby
Extract all the Location entity in the text,any southwestern cuisine restaurants featuring romantic dining nearby,nearby
Extract all the Location entity in the text,any spanish restaurants in jamaica plain open in the morning,jamaica plain
Extract all the Rating entity in the text,any suggestions on what to eat,suggestions
Extract all the Cuisine entity in the text,any tapas places with drink specials,tapas
Extract all the Cuisine entity in the text,any unique foods here,unique
Extract all the Location entity in the text,anybody serve boardwalk fries around here,around here
Extract all the Location entity in the text,anyplace i can get some good pita bread thats not more than 4 miles out,not more than 4 miles
Extract all the Location entity in the text,anything good to eat within 10 miles,within 10 miles
Extract all the Amenity entity in the text,anything with group seating,group seating
Extract all the Dish entity in the text,anywhere i can get a tasty and cheap noodle dish,noodle dish
Extract all the Amenity entity in the text,anywhere thats not crowded before the game where i can get a bite,not crowded
Extract all the Location entity in the text,apple bs resturant in town,in town
Extract all the Location entity in the text,arabic cuisine near me,near me
Extract all the Cuisine entity in the text,are any doughnut shops open right now,doughnut
Extract all the Location entity in the text,are any vegetarian restaurants within 5 blocks of here,within 5 blocks
Extract all the Amenity entity in the text,are children allowed in mi piacis,children allowed
Extract all the Restaurant Name entity in the text,are rivertown coffee co or aromas coffee bar expensive,"rivertown coffee co , aromas coffee bar"
Extract all the Amenity entity in the text,are sebastians restaurants portions big,portions big
Extract all the Location entity in the text,are than any sushi restaurants on the north side of town and i need to know their phone number and directions,north side of town
Extract all the Location entity in the text,are the any vegetarian restaurants in cleveland park,cleveland park
Extract all the Restaurant Name entity in the text,are the proportions big or small,NONE
Extract all the Location entity in the text,are the reviews good for chichis in gona,gona
Extract all the Restaurant Name entity in the text,are the reviews good for donovans rooftop grill,donovans rooftop grill
Extract all the Amenity entity in the text,are the servers attractive,servers attractive
Extract all the Location entity in the text,are their any places to eat near my location,"places , location"
Extract all the Location entity in the text,are there affordable restaurants in kingston open until 11 pm,kingston
Extract all the Location entity in the text,are there any 24 hour diners around here,here
Extract all the Location entity in the text,are there any 24 hour diners near by,near by
Extract all the Location entity in the text,are there any 24 hour restaurants nearby,nearby
Extract all the Location entity in the text,are there any 4 star seafood restaurants within 10 miles,within 10 miles
Extract all the Location entity in the text,are there any 5 star restaurants near,near
Extract all the Location entity in the text,are there any affordable meat serving venues within five miles of here,within five miles of here
Extract all the Price entity in the text,are there any affordable steak places in littleton,affordable
Extract all the Location entity in the text,are there any all you can eat sushi buffets in westbury,westbury
Extract all the Location entity in the text,are there any american restaurants in area,in area
Extract all the Cuisine entity in the text,are there any american restaurants that are also carry out,american
Extract all the Location entity in the text,are there any arbys in this area,in this area
Extract all the Location entity in the text,are there any arbys with in ten miles of here,with in ten miles of here
Extract all the Location entity in the text,are there any asian restaurants close by,close by
Extract all the Location entity in the text,are there any authentic greek restaurants that serve gyros around here,around here
Extract all the Location entity in the text,are there any authentic vietnamese restaurants in the area that specialize in regional dishes,in the area
Extract all the Amenity entity in the text,are there any bob evans restaurants around this late at night that can wait on us quickly,wait on us quickly
Extract all the Location entity in the text,are there any breakfast places that serve steak near elm park,near elm park
Extract all the Location entity in the text,are there any brewery in the area,in the area
Extract all the Location entity in the text,are there any brewpubs on our route,our route
Extract all the Location entity in the text,are there any buffets in town with a smoking section,in town
Extract all the Location entity in the text,are there any buffets within 2 miles of here,within 2 miles of here
Extract all the Location entity in the text,are there any burger joints in atlanta that are open after midnight,atlanta
Extract all the Location entity in the text,are there any burger joints in the area,in the area
Extract all the Location entity in the text,are there any burger king restaurants on my route,my route
Extract all the Location entity in the text,are there any burger kings near by,near by
Extract all the Location entity in the text,are there any burger kings nearby,nearby
Extract all the Location entity in the text,are there any burger kings within 5 miles,within 5 miles
Extract all the Location entity in the text,are there any burger kings within 5 miles of here,within 5 miles
Extract all the Location entity in the text,are there any burgers and cupcakes locations outside of manhattan,outside of manhattan
Extract all the Location entity in the text,are there any byob joints on chester st,chester st
Extract all the Cuisine entity in the text,are there any cafes open past 11 pm which have internet access,cafes
Extract all the Location entity in the text,are there any casual patio type dining places nearby,nearby
Extract all the Location entity in the text,are there any celebrity hangouts that serve german food near here,near here
Extract all the Location entity in the text,are there any chain restaurants nearby where kids eat free,nearby
Extract all the Location entity in the text,are there any charming non smoking ice cream parlors nearby,nearby
Extract all the Location entity in the text,are there any cheap 4 star restaurants near here,near here
Extract all the Location entity in the text,are there any cheap burger places in this neighborhood,in this neighborhood
Extract all the Location entity in the text,are there any cheap cafes near here,near here
Extract all the Location entity in the text,are there any cheap colombian restaurants around 3 rd street,around 3 rd street
Extract all the Location entity in the text,are there any cheap cuban joints along terminal road,terminal road
Extract all the Location entity in the text,are there any cheap cuban restaurants nearby,nearby
Extract all the Location entity in the text,are there any cheap family style restaurants open after 12 pm nearby,nearby
Extract all the Location entity in the text,are there any cheap halal places around here with good views,places around here
Extract all the Location entity in the text,are there any cheap places to eat nearby,nearby
Extract all the Location entity in the text,are there any cheap restaurants near canton,near canton
Extract all the Location entity in the text,are there any chilean restaurants with live music on the south side,south side
Extract all the Location entity in the text,are there any chilis in my area,in my area
Extract all the Location entity in the text,are there any chinese restaurant within 10 miles,within 10 miles
Extract all the Location entity in the text,are there any chinese restaurants around here,around here
Extract all the Location entity in the text,are there any chinese restaurants nearby,nearby
Extract all the Location entity in the text,are there any chinese restaurants nearby with a historical design,nearby
Extract all the Location entity in the text,are there any chinese restaurants on east 86th street in manhattan where i can get takeout lunch specials,east 86th street in manhattan
Extract all the Location entity in the text,are there any chinese restaurants that serve carry out in this city,in this city
Extract all the Restaurant Name entity in the text,are there any cicis pizza near the hotel,cicis pizza
Extract all the Location entity in the text,are there any completely vegan restaurants around here,around here
Extract all the Location entity in the text,are there any cuban restaurants in this city,this city
Extract all the Location entity in the text,are there any cuban restaurants near milford,near milford
Extract all the Location entity in the text,are there any cuban restaurants open at 2 pm for a late lunch in miami,miami
Extract all the Location entity in the text,are there any delis along my route,along my route
Extract all the Location entity in the text,are there any delis near by,near by
Extract all the Location entity in the text,are there any delis nearby,nearby
Extract all the Location entity in the text,are there any denneys restaurants in this town,in this town
Extract all the Location entity in the text,are there any dennys within 5 miles,within 5 miles
Extract all the Location entity in the text,are there any dessert bars in san francisco,san francisco
Extract all the Location entity in the text,are there any diners along my route,along my route
Extract all the Location entity in the text,are there any diners in the area,area
Extract all the Location entity in the text,are there any diners near my current location,near my current location
Extract all the Location entity in the text,are there any diners nearby,nearby
Extract all the Amenity entity in the text,are there any diners open before 5 am that allow smoking,allow smoking
Extract all the Location entity in the text,are there any diners that serve breakfast all day in town,town
Extract all the Location entity in the text,are there any diners within 5 miles,within 5 miles
Extract all the Location entity in the text,are there any donut shops around here,around here
Extract all the Location entity in the text,are there any drive throughs nearby,nearby
Extract all the Location entity in the text,are there any eateries nearby that where can dine at the bar after 2 am,nearby
Extract all the Amenity entity in the text,are there any elegant dress restaurants that serve messy hot wings after midnight,elegant dress
Extract all the Location entity in the text,are there any ethiopian restaurants in town,in town
Extract all the Location entity in the text,are there any ethiopian restaurants on the waterfront,waterfront
Extract all the Location entity in the text,are there any expensive great restaurants in my town,in my town
Extract all the Location entity in the text,are there any expensive restaurants nearby that allow children,nearby
Extract all the Amenity entity in the text,are there any fairly inexpensive restaurants with valet parking,valet parking
Extract all the Location entity in the text,are there any family dining restaurants close by with great prices,close by
Extract all the Location entity in the text,are there any family friendly sit down restaurants in this mall,in this mall
Extract all the Cuisine entity in the text,are there any family restaurants open at 4 am on weekdays,family
Extract all the Location entity in the text,are there any family style steakhouses within a mile of here,within a mile of here
Extract all the Location entity in the text,are there any famous or historical restaurants in the area,area
Extract all the Cuisine entity in the text,are there any fast food places open,fast food
Extract all the Location entity in the text,are there any fast food places within a mile of me,within a mile
Extract all the Location entity in the text,are there any fast food restaurants along my route,along my route
Extract all the Location entity in the text,are there any fast food restaurants close by,close by
Extract all the Location entity in the text,are there any fast food restaurants in the area,in the area
Extract all the Cuisine entity in the text,are there any fast food restaurants offering valet parking,fast food
Extract all the Cuisine entity in the text,are there any fast food restaurants open now,fast food
Extract all the Cuisine entity in the text,are there any fast food restaurants still open,fast food
Extract all the Location entity in the text,are there any fast food restaurants with a parking deck nearby,nearby
Extract all the Location entity in the text,are there any fine dining restaurants nearby that accept paypal as payment,nearby
Extract all the Location entity in the text,are there any fine dining restaurants that allow me to eat my elegant meal in my car within 10 miles of here,within 10 miles of here
Extract all the Amenity entity in the text,are there any fine dining restaurants that i can take a date to without a reservation,"fine dining , without a reservation"
Extract all the Location entity in the text,are there any fine dining restaurants thats arent downtown,arent downtown
Extract all the Location entity in the text,are there any first rate indian restaurant that serves curry in the governement center,governement center
Extract all the Location entity in the text,are there any first rate restaurant on the waterfront,waterfront
Extract all the Location entity in the text,are there any five star restaurants in this area,this area
Extract all the Location entity in the text,are there any food trucks in the downtown area,downtown area
Extract all the Location entity in the text,are there any free standing cinnabon restaurants in washington dc,washington dc
Extract all the Location entity in the text,are there any french restaurants around here,around here
Extract all the Location entity in the text,are there any full service restaurants open after midnight around here,around here
Extract all the Location entity in the text,are there any german food restaurants within 4 miles,within 4 miles
Extract all the Location entity in the text,are there any german restaurants nearby,nearby
Extract all the Location entity in the text,are there any german restaurants nearby that celebs hangout at,nearby
Extract all the Location entity in the text,are there any german restaurants that are open all day in ashland,ashland
Extract all the Location entity in the text,are there any good burger joints around here,around here
Extract all the Location entity in the text,are there any good delis in little china,little china
Extract all the Location entity in the text,are there any good mexican restaurants near tuscon,near tuscon
Extract all the Location entity in the text,are there any good pizza places around here,around here
Extract all the Cuisine entity in the text,are there any good places to drink nearby i need a bar thats still open at this hour if you dont know the hours of operation give me a phone number so i can check,"drink , bar"
Extract all the Location entity in the text,are there any good places to eat in the area,in the area
Extract all the Dish entity in the text,are there any good places with fresh seafood around here,fresh seafood
Extract all the Location entity in the text,are there any good potato places near north quincy,near north quincy
Extract all the Amenity entity in the text,are there any good restaurants having happy hour now,happy hour
Extract all the Location entity in the text,are there any good restaurants in the area,in the area
Extract all the Location entity in the text,are there any good restaurants near by that have a good deal going on right now,near by
Extract all the Restaurant Name entity in the text,are there any good reviews for hals pie restaurant,hals pie restaurant
Extract all the Location entity in the text,are there any good seafood restaurants nearby,nearby
Extract all the Location entity in the text,are there any greek restaurants in memphis,memphis
Extract all the Location entity in the text,are there any greek style pizza parlors near by,near by
Extract all the Location entity in the text,are there any halal restaurants in natick open around 8 pm,natick
Extract all the Location entity in the text,are there any halal restaurants within ten minutes of here that are open before seven am,within ten minutes
Extract all the Amenity entity in the text,are there any handicapped accessible restaurants around,handicapped accessible
Extract all the Location entity in the text,are there any high priced irish restaurants on forest street,forest street
Extract all the Location entity in the text,are there any high rated chinese restaurants in florence,florence
Extract all the Location entity in the text,are there any high rated pancake places in this town,in this town
Extract all the Location entity in the text,are there any highly rated restaurants nearby that do not require a reservation,nearby
Extract all the Location entity in the text,are there any highly rated steak houses nearby,nearby
Extract all the Cuisine entity in the text,are there any highly rated tapas bars with karaoke night,tapas bars
Extract all the Location entity in the text,are there any hip tea places nearby upscale would be nice,nearby
Extract all the Location entity in the text,are there any historic restaurants in the nearby area that have lobster on the menu,nearby area
Extract all the Location entity in the text,are there any historic restaurants nearby,nearby
Extract all the Location entity in the text,are there any hotel restraunts in the area,in the area
Extract all the Amenity entity in the text,are there any hotels that serve dough,hotels
Extract all the Location entity in the text,are there any hotels within ten miles that serve food,within ten miles
Extract all the Location entity in the text,are there any ice cream stores along the way,along the way
Extract all the Location entity in the text,are there any ihops nearby,nearby
Extract all the Location entity in the text,are there any ihops within 5 miles,within 5 miles
Extract all the Location entity in the text,are there any indian restaurants near me,near me
Extract all the Location entity in the text,are there any indian restaurants nearby,nearby
Extract all the Cuisine entity in the text,are there any indian restaurants that offer outdoor dining,indian
Extract all the Location entity in the text,are there any indian restaurants with good ratings in this town,this town
Extract all the Location entity in the text,are there any italian places nearby where celebrities hang out,nearby
Extract all the Location entity in the text,are there any italian restaurants in the area,in the area
Extract all the Location entity in the text,are there any italian restaurants near me that are open till 11 pm,near me
Extract all the Location entity in the text,are there any italian restaurants nearby,nearby
Extract all the Cuisine entity in the text,are there any italian restaurants open before 7 am,italian
Extract all the Location entity in the text,are there any italian restaurants within 3 miles that have great service,within 3 miles
Extract all the Cuisine entity in the text,are there any jamaican restaurants that are open 24 7,jamaican
Extract all the Location entity in the text,are there any japanese restaurants down town that offer traditional seating arrangements,down town
Extract all the Location entity in the text,are there any japanese steakhouses in los angeles,los angeles
Extract all the Location entity in the text,are there any jazz supper clubs by the beach,by the beach
Extract all the Location entity in the text,are there any karaoke bars nearby,nearby
Extract all the Location entity in the text,are there any kfc restaurants along my route,along my route
Extract all the Location entity in the text,are there any kid friendly chinese restaurants around here,around here
Extract all the Location entity in the text,are there any kid friendly restaurants around here,around here
Extract all the Location entity in the text,are there any kid friendly restaurants near the park,near the park
Extract all the Location entity in the text,are there any kid friendly restaurants nearby that serve sake,nearby
Extract all the Amenity entity in the text,are there any kid friendly restaurants that also contain a smoking area,"kid friendly , smoking area"
Extract all the Location entity in the text,are there any kid friendly restaurants that require an elegant dress code nearby,nearby
Extract all the Location entity in the text,are there any kid friendly pizza parlors around here,around here
Extract all the Location entity in the text,are there any korean restaurants in town,in town
Extract all the Location entity in the text,are there any kosher bars in wichita,wichita
Extract all the Location entity in the text,are there any kosher delis on this street,this street
Extract all the Location entity in the text,are there any kosher places nearby,nearby
Extract all the Location entity in the text,are there any local bars that allow smoking in the restaurant,local
Extract all the Location entity in the text,are there any local secret restaurants serving filet mignon nearby,nearby
Extract all the Location entity in the text,are there any locations serving small portions of pastry nearby,nearby
Extract all the Cuisine entity in the text,are there any low cost cuban restaurants,cuban
Extract all the Location entity in the text,are there any malaysian places around roxbury crossing,around roxbury crossing
Extract all the Location entity in the text,are there any mcdonalds close by,close by
Extract all the Location entity in the text,are there any mcdonalds in the vicinity,in the vicinity
Extract all the Location entity in the text,are there any mcdonalds within 1 mile of my job,within 1 mile of my job
Extract all the Location entity in the text,are there any mcdonalds within 5 miles of here,within 5 miles
Extract all the Location entity in the text,are there any mcdonalds within 5 minutes of here,within 5 minutes
Extract all the Location entity in the text,are there any mexican places with high zagat ratings near me,near me
Extract all the Location entity in the text,are there any mexican restaurant in five miles,in five miles
Extract all the Location entity in the text,are there any mexican restaurants around,around
Extract all the Location entity in the text,are there any mexican restaurants in my area,in my area
Extract all the Location entity in the text,are there any mexican restaurants near port washington new york,near port washington new york
Extract all the Location entity in the text,are there any michelin starred fine dining restaurant around,around
Extract all the Location entity in the text,are there any mid priced vegan restaurants in north quincy,north quincy
Extract all the Location entity in the text,are there any moderately priced steakhouses nearby,nearby
Extract all the Location entity in the text,are there any mongolian eatery in the tri state area,tri state area
Extract all the Location entity in the text,are there any mystery dinner theaters in chattanooga,chattanooga
Extract all the Location entity in the text,are there any non smoking bars on this road,this road
Extract all the Location entity in the text,are there any non smoking restaurants in the area,in the area
Extract all the Location entity in the text,are there any notable pad thai restaurants around with great prices,around
Extract all the Location entity in the text,are there any olive gardens on my route,my route
Extract all the Location entity in the text,are there any organic restaurants nearby,nearby
Extract all the Location entity in the text,are there any outbacks along the route,along the route
Extract all the Location entity in the text,are there any outdoor eatery on battery march,battery march
Extract all the Location entity in the text,are there any outdoor kosher restaurants nearby that are open until midnight,nearby
Extract all the Location entity in the text,are there any papa johns in glen head long island,glen head long island
Extract all the Location entity in the text,are there any pet friendly restaurants in my area,in my area
Extract all the Location entity in the text,are there any pizza parlors in indiana,indiana
Extract all the Location entity in the text,are there any pizza places 5 miles away,5 miles away
Extract all the Location entity in the text,are there any pizza places on the way home im looking for big portions so i can bring some home to the family,way home
Extract all the Location entity in the text,are there any pizza places open around here,around here
Extract all the Location entity in the text,are there any pizza places that are still open after midnight less than 10 minutes from here,less than 10 minutes from here
Extract all the Location entity in the text,are there any pizza places with chicago style pizza in the area,in the area
Extract all the Location entity in the text,are there any pizzerias on long island that 1 slices of pizza,long island
Extract all the Location entity in the text,are there any place nearby with fantastic prices and online reservations,nearby
Extract all the Hours entity in the text,are there any place open for breakfast before 5 am,breakfast before 5 am
Extract all the Amenity entity in the text,are there any place that caters to families with kids,"caters , families with kids"
Extract all the Hours entity in the text,are there any place that is open after 12 p,open after 12 p
Extract all the Location entity in the text,are there any places near by with carhops,near by
Extract all the Location entity in the text,are there any places near here that kids would want to eat,near here
Extract all the Location entity in the text,are there any places nearby that serve ice cream,nearby
Extract all the Location entity in the text,are there any places nearby to get a caesar salad,nearby
Extract all the Location entity in the text,are there any places nearby with a variety of diabetic friendly entree choices,nearby
Extract all the Location entity in the text,are there any places on this side of town that serve mussels at a wonderful price and allow you to bring your own beverages,this side of town
Extract all the Amenity entity in the text,are there any places open for an early business breakfast other than nu way cafe,business
Extract all the Location entity in the text,are there any places that deliver nearby,nearby
Extract all the Location entity in the text,are there any places that have happy hour and serve soup around here,around here
Extract all the Amenity entity in the text,are there any places that have special prices if two meals are ordered,special prices if two meals are ordered
Extract all the Amenity entity in the text,are there any places that promote use of locally grown produce,promote use of locally grown produce
Extract all the Cuisine entity in the text,are there any places that serve asian food where i can take my date,asian
Extract all the Location entity in the text,are there any places that serve bagels and have beer along this route,along this route
Extract all the Amenity entity in the text,are there any places that serve chocolate for dessert and you can taste free samples,free samples
Extract all the Location entity in the text,are there any places that serve halal nearby,nearby
Extract all the Location entity in the text,are there any places that specialize in milkshakes near here,near here
Extract all the Location entity in the text,are there any places to eat around here with a drive thru,around here
Extract all the Location entity in the text,are there any places to eat within five minutes of here try some place with amazing prices,within five minutes
Extract all the Cuisine entity in the text,are there any places to get desert,desert
Extract all the Dish entity in the text,are there any places where i could catch a hot dog,hot dog
Extract all the Amenity entity in the text,are there any places with early bird specials,early bird specials
Extract all the Location entity in the text,are there any places with fixed menus that sell cookies near by,near by
Extract all the Location entity in the text,are there any places within 4 miles that plays nice music and suitable for a group of people,within 4 miles
Extract all the Location entity in the text,are there any places within 5 miles that serve a dish this town is known for,within 5 miles
Extract all the Location entity in the text,are there any popeyes within 5 miles of here,within 5 miles of here
Extract all the Location entity in the text,are there any raw vegan restaurants in the long beach long island area,long beach long island area
Extract all the Location entity in the text,are there any really cheap restaurants around that are open 7 days a week,around
Extract all the Cuisine entity in the text,are there any reasonably priced mexican spots,mexican
Extract all the Hours entity in the text,are there any reasonably priced restaurant that opens before 8 am,opens before 8 am
Extract all the Location entity in the text,are there any reasonably priced restaurants nearby,nearby
Extract all the Amenity entity in the text,are there any restarurants that have bands playing,bands playing
Extract all the Location entity in the text,are there any restaurant in the area that will allow me to bring my dog,in the area
Extract all the Cuisine entity in the text,are there any restaurants around featuring enchiladas or mexican food,mexican
Extract all the Amenity entity in the text,are there any restaurants around featuring lunch specials,specials
Extract all the Location entity in the text,are there any restaurants around here that allow dogs,around here
Extract all the Location entity in the text,are there any restaurants around here that give senor discounts,around here
Extract all the Location entity in the text,are there any restaurants between here and work,between here and work
Extract all the Location entity in the text,are there any restaurants by the hospital,by the hospital
Extract all the Location entity in the text,are there any restaurants currently serving brunch within three miles of here,within three miles of here
Extract all the Location entity in the text,are there any restaurants in inman square thats open after 9 pm 7 days a week,inman square
Extract all the Location entity in the text,are there any restaurants in new paris that i can get some lunch that arent real expensive,new paris
Extract all the Location entity in the text,are there any restaurants in the area that i can pay with travelers checks,area
Extract all the Location entity in the text,are there any restaurants in the theatre district located on beaumont street,"theatre district , beaumont street"
Extract all the Location entity in the text,are there any restaurants in this area that have outdoor dining available,this area
Extract all the Location entity in the text,are there any restaurants in this city with a dining room that have a great view of the night skyline,in this city
Extract all the Location entity in the text,are there any restaurants in town that also have a happy hour,in town
Extract all the Location entity in the text,are there any restaurants near by,near by
Extract all the Location entity in the text,are there any restaurants near the theater close by offering cocktails,near the theater close by
Extract all the Location entity in the text,are there any restaurants nearby,nearby
Extract all the Location entity in the text,are there any restaurants nearby that are open late,nearby
Extract all the Location entity in the text,are there any restaurants nearby that have outside dining,nearby
Extract all the Location entity in the text,are there any restaurants nearby that serve shrimp,nearby
Extract all the Location entity in the text,are there any restaurants nearby where i can get beer and bratwurst,nearby
Extract all the Location entity in the text,are there any restaurants on kerry place featuring fireplace dining,kerry place
Extract all the Location entity in the text,are there any restaurants on long island with a smoking section,long island
Extract all the Location entity in the text,are there any restaurants on oak street that serve sushi,oak street
Extract all the Dish entity in the text,are there any restaurants open on thanksgiving day that serve turkey,turkey
Extract all the Location entity in the text,are there any restaurants open that have a buffet nearby,nearby
Extract all the Location entity in the text,are there any restaurants open this early nearby,nearby
Extract all the Location entity in the text,are there any restaurants serving french fries before nine am within four miles of here,within four miles of here
Extract all the Location entity in the text,are there any restaurants serving moderately priced margaritas nearby,nearby
Extract all the Location entity in the text,are there any restaurants specializing in english food within a 5 mile radius,within a 5 mile radius
Extract all the Dish entity in the text,are there any restaurants that are serving beans at 2 am,beans
Extract all the Amenity entity in the text,are there any restaurants that have discounts for college kids,discounts for college kids
Extract all the Dish entity in the text,are there any restaurants that have good reviews for their milkshakes that are open at 7 am,milkshakes
Extract all the Price entity in the text,are there any restaurants that have two for 1 deals,two for 1 deals
Extract all the Amenity entity in the text,are there any restaurants that offer outdoor live music and outdoor dining,"outdoor live music , outdoor dining"
Extract all the Hours entity in the text,are there any restaurants that opens before lunch and is cheap,before lunch
Extract all the Cuisine entity in the text,are there any restaurants that serve mediterranean food,mediterranean
Extract all the Location entity in the text,are there any restaurants that serves southwestern cuisine and is located with 5 miles,located with 5 miles
Extract all the Location entity in the text,are there any restaurants that stay open past midnight in arlington,arlington
Extract all the Cuisine entity in the text,are there any restaurants thats serve breakfast all day,breakfast
Extract all the Amenity entity in the text,are there any restaurants where kids can eat for free,kids can eat
Extract all the Location entity in the text,are there any restaurants with a play area for kids near here,near here
Extract all the Amenity entity in the text,are there any restaurants with fast service that are open before 11 am,fast service
Extract all the Location entity in the text,are there any restaurants with free parking around here,around here
Extract all the Amenity entity in the text,are there any restaurants with games or a play area that take kids birthday party reservations,"games , play area , kids birthday party reservations"
Extract all the Location entity in the text,are there any restaurants within 1 mile of my hotel that are opened 24 hours,within 1 mile of my hotel
Extract all the Location entity in the text,are there any restaurants within 10 miles where kids eat free,within 10 miles
Extract all the Location entity in the text,are there any restaurants within 15 miles that are smoke free what type of restaurants are they,within 15 miles
Extract all the Location entity in the text,are there any restaurants within a mile of here,within a mile
Extract all the Location entity in the text,are there any restaurants within walking distance that has valet parking,within walking distance
Extract all the Amenity entity in the text,are there any restuarants open till midnight that serve perfectly portioned meals,perfectly portioned meals
Extract all the Location entity in the text,are there any restuarants within 10 miles that are open until 2am that have a full service menu and serve alcohol,within 10 miles
Extract all the Restaurant Name entity in the text,are there any reviews about mcdills,mcdills
Extract all the Cuisine entity in the text,are there any romantic vegan restaurants,vegan
Extract all the Location entity in the text,are there any sandwich shops in california,california
Extract all the Location entity in the text,are there any scandanavian places around,around
Extract all the Location entity in the text,are there any seafood buffet places around here,around here
