input,output,se_order,paradigm
"This place is incredibly tiny .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> tiny <extra_id_1> place,oa,extraction
"Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Traditional French decour <extra_id_1> positive ; <extra_id_2> hall <extra_id_3> negative,as,extraction
"We thought that this place is using too much of MSG cooking in the foods .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> using too much of MSG <extra_id_1> foods,oa,extraction
"My fav was the sassy lassi . . .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> sassy lassi <extra_id_1> positive,as,extraction
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> restaurant general,sc,extraction
"Nice atmosphere , the service was very pleasant and the desert was good .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> service general ; <extra_id_4> positive <extra_id_5> food quality,sc,extraction
"cirspy crust margherita pizza| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> margherita pizza <extra_id_1> positive,as,extraction
"This tiny Williamsburg spot is always pleasantly surprising .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> surprising <extra_id_1> Williamsburg spot,oa,extraction
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> staff <extra_id_1> positive ; <extra_id_2> staff <extra_id_3> positive ; <extra_id_4> staff <extra_id_5> positive ; <extra_id_6> staff <extra_id_7> positive,as,extraction
"I stumbled upon this great pizzeria as I explored my new neighborhood .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> pizzeria,oa,extraction
"Their sake list was extensive , but we were looking for Purple Haze , which was n ' t listed but made for us upon request !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> sake list <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as,extraction
"Not enough wines by the glass either .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> drinks style_options,sc,extraction
"The server was really cool and served us our food and drinks with a smile .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> cool <extra_id_1> server,oa,extraction
"When you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> does n ' t seem worth it <extra_id_1> NULL,oa,extraction
"its a little out of the way if you do n ' t live in the neighborhood , but definitely worth the trip from wherever you are .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> a little out of the way <extra_id_1> NULL ; <extra_id_2> worth <extra_id_3> NULL,oa,extraction
"These are overpriced and you can get better just around the corner :| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food prices ; <extra_id_2> negative <extra_id_3> food quality,sc,extraction
"Ess - A - Bagel ( either by Sty - town or midtown ) is by far the best bagel in NY .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> out of this world <extra_id_1> crabmeat lasagna,oa,extraction
"JUST AWSOME .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"They tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> enjoy <extra_id_1> NULL,oa,extraction
"The hostess is rude to the point of being offensive .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> hostess <extra_id_1> negative ; <extra_id_2> hostess <extra_id_3> negative,as,extraction
"With so many poor experiences to be had in the theater district , is truly an excellent find !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"The frizzy retro girl ( with winged / Dame Edna glasses ) will yell at you if you try to order a drink .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"The food here was mediocre at best .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"We will definitely go back .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"It ' s a small cute restaurant .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Awsome Pizza especially the Margheritta slice .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"I had a huge group for my birthday and we were well taken care of .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> well taken care of <extra_id_1> NULL,oa,extraction
"The hot dogs are top notch , and they ' re Slamwich is amazing !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"The pizza was great .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> pizza <extra_id_1> positive,as,extraction
"Quite simply it ' s like stepping out of Manhattan and into a haven of tranquility .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> a haven of tranquility <extra_id_1> NULL,oa,extraction
"Was surprisingly disappointed .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"This is one of my favorite spot , very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive ; <extra_id_4> food <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> positive,as,extraction
"I would go back .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Best of all is the warm vibe , the owner is super friendly and service is fast .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> vibe <extra_id_1> positive ; <extra_id_2> owner <extra_id_3> positive ; <extra_id_4> service <extra_id_5> positive,as,extraction
"it ' s the only place you can get yummy authentic japanese comfort food .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Beef noodle soup is good as well .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Wonderful at holiday time .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Not a great place for family or general dining .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant miscellaneous,sc,extraction
"Salads were fantastic .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> fantastic <extra_id_1> Salads,oa,extraction
"It doesn ' t look appetizing as it ' s covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive,as,extraction
"Service was also very good .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> Service,oa,extraction
"This is one of the best comfort food places in the city .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Service was good and food is wonderful .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"The food ' s as good as ever .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive,as,extraction
"They ' re rude at times , and not very friendly .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> rude <extra_id_1> NULL,oa,extraction
"An awesome organic dog , and a conscious eco friendly establishment .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> organic <extra_id_1> dog ; <extra_id_2> eco friendly <extra_id_3> establishment,oa,extraction
"This is the BEST Shabu - Shabu Restaurant in the Try - State Area .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Shabu - Shabu Restaurant <extra_id_1> positive,as,extraction
"The blond wood decor is very soothing , the premium sake is excellent and the service is great .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> blond wood decor <extra_id_1> positive ; <extra_id_2> premium sake <extra_id_3> positive ; <extra_id_4> service <extra_id_5> positive,as,extraction
"A classic !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"After all that , they complained to me about the small tip .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> complained <extra_id_1> NULL,oa,extraction
"What a great place !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Loved it !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"The food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> amazing <extra_id_1> food ; <extra_id_2> prompt <extra_id_3> service ; <extra_id_4> helpful <extra_id_5> service ; <extra_id_6> not over - bearing or rushed <extra_id_7> service,oa,extraction
"Best Italian food I ever had ( and being Italian , that means alot ) .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"I would definitely recommend SEA if you like thai cuisine !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> thai cuisine <extra_id_1> positive,as,extraction
"La Rosa waltzes in , and I think they are doing it the best .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Very cozy and warm inside . . .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as,extraction
"but overall i give it a 10| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> give it a 10 <extra_id_1> NULL,oa,extraction
"Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> limited <extra_id_1> menu ; <extra_id_2> ultra fresh <extra_id_3> NULL ; <extra_id_4> a work of food art <extra_id_5> NULL,oa,extraction
"The pizza was great .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"( Always ask the bartender for the SEASONAL beer ! ! !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Always ask <extra_id_1> SEASONAL beer,oa,extraction
"Atmosphere is nice and relaxed too . . .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general,sc,extraction
"We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> all dark meat and on the bone <extra_id_1> chicken casserole ; <extra_id_2> small <extra_id_3> chicken casserole,oa,extraction
"The food was excellent as well as service , however , I left The Four Seasons very dissappointed .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> excellent <extra_id_1> food ; <extra_id_2> excellent <extra_id_3> service ; <extra_id_4> dissappointed <extra_id_5> The Four Seasons,oa,extraction
"The lava cake dessert was incredible and I recommend it .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> incredible <extra_id_1> lava cake dessert ; <extra_id_2> recommend <extra_id_3> lava cake dessert,oa,extraction
"limited menu , no - so - fresh ingredients , thinly - sliced fish , fall - apart rice .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> menu <extra_id_1> negative ; <extra_id_2> ingredients <extra_id_3> negative ; <extra_id_4> fish <extra_id_5> negative ; <extra_id_6> rice <extra_id_7> negative,as,extraction
"This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> ambience <extra_id_1> positive ; <extra_id_2> staff <extra_id_3> positive,as,extraction
"However , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive,as,extraction
"Suan is a great place that I often take my friends ( classmates ) too .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> Suan,oa,extraction
"I thought the restaurant was nice and clean .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general ; <extra_id_2> positive <extra_id_3> ambience general,sc,extraction
"The only thing that my friend left out is that when we sat down at the bar the bartender disappeared .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> disappeared <extra_id_1> bartender,oa,extraction
"Everyone must come here at least once .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> come here at least once <extra_id_1> NULL,oa,extraction
"the food is decent .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> neutral,as,extraction
"Drinks way over priced .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> over priced <extra_id_1> Drinks,oa,extraction
"It hits the spot every time| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> hits the spot <extra_id_1> NULL,oa,extraction
"I really liked this place .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"The duck confit is always amazing and the foie gras terrine with figs was out of this world .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> foie gras terrine with figs <extra_id_1> positive ; <extra_id_2> duck confit <extra_id_3> positive,as,extraction
"Good food : my favorite is the seafood spaghetti .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Good <extra_id_1> food ; <extra_id_2> favorite <extra_id_3> seafood spaghetti,oa,extraction
"Never got an explanation as to what was going on .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Never got an explanation <extra_id_1> NULL,oa,extraction
"The kitchen however , is almost always slow .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> kitchen <extra_id_1> negative,as,extraction
"Great food and the prices are very reasonable .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Great <extra_id_1> food ; <extra_id_2> reasonable <extra_id_3> NULL,oa,extraction
"An excellent service| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> excellent <extra_id_1> service,oa,extraction
"The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> garbage <extra_id_1> waiter,oa,extraction
"the food is decent .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> food quality,sc,extraction
"The design and atmosphere is just as good .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> design ; <extra_id_2> good <extra_id_3> atmosphere,oa,extraction
"I felt as though I were eating in Paris .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> eating in Paris <extra_id_1> NULL,oa,extraction
"Very cozy and warm inside . . .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general,sc,extraction
"The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> noisy <extra_id_1> atmosphere ; <extra_id_2> fast <extra_id_3> waiters,oa,extraction
"Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> positive <extra_id_5> food prices,sc,extraction
"Try the lobster teriyaki and the rose special roll .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> lobster teriyaki <extra_id_1> positive ; <extra_id_2> rose special roll <extra_id_3> positive,as,extraction
"The food looked very appetizing and delicious since it came on a variety of fancy plates .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive,as,extraction
"However , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> food ; <extra_id_2> great <extra_id_3> food,oa,extraction
"bottles of wine are cheap and good .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> cheap <extra_id_1> bottles of wine ; <extra_id_2> good <extra_id_3> bottles of wine,oa,extraction
"The menu is limited but almost all of the dishes are excellent .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> limited <extra_id_1> menu ; <extra_id_2> excellent <extra_id_3> dishes,oa,extraction
"Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general ; <extra_id_2> positive <extra_id_3> restaurant prices,sc,extraction
"Over the years the host , Vittorio , and his crew , have always treated me as family - - although with all the business this not - so - little gem does , it amazing he ' s even able to remember a consistent but not - so - frequent visitor .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> service general,sc,extraction
"The waitress was not attentive at all .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> not attentive <extra_id_1> waitress,oa,extraction
"Considering you will spend at least $ 60 a head , I expect better service .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> service <extra_id_1> negative,as,extraction
"I loved this place ! !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> loved <extra_id_1> place,oa,extraction
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> decent <extra_id_1> food ; <extra_id_2> not great <extra_id_3> food ; <extra_id_4> exception <extra_id_5> lemon salad,oa,extraction
"HIGHLY RECOMMENDED ! ! ! ! !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Service was slow had to wait to order and get food although not crowded .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Service <extra_id_1> negative,as,extraction
"For the price , you can not eat this well in Manhattan .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"We left , never to return .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant general,sc,extraction
"This is an amazing place to try some roti rolls .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> roti rolls <extra_id_1> positive,as,extraction
"This place is always packed .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> ambience general,sc,extraction
"they were dry and disgusting , i did n ' t even finish my first piece .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> dry <extra_id_1> NULL ; <extra_id_2> disgusting <extra_id_3> NULL,oa,extraction
"The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> negative ; <extra_id_2> prixe fixe tasting menu <extra_id_3> positive ; <extra_id_4> prixe fixe tasting menu <extra_id_5> positive,as,extraction
"The portions are HUGE , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> HUGE <extra_id_1> portions,oa,extraction
"Over all it was a very nice romantic place .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> positive ; <extra_id_2> place <extra_id_3> positive,as,extraction
"The mussles were the fishiest things I ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . It was disgusting .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> fishiest <extra_id_1> mussles ; <extra_id_2> bland <extra_id_3> seabass ; <extra_id_4> missing <extra_id_5> goat cheese salad ; <extra_id_6> disgusting <extra_id_7> penne w / chicken,oa,extraction
"those rolls were big , but not good and sashimi was n ' t fresh .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food style_options ; <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> negative <extra_id_5> food quality,sc,extraction
"Food is great and inexpensive .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> Food ; <extra_id_2> inexpensive <extra_id_3> Food,oa,extraction
"service is friendly , and never had a problem walking in and getting a table .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> friendly <extra_id_1> service,oa,extraction
"I have been to Roth ' s twice and both times were very disappointing .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Roth ' s <extra_id_1> negative,as,extraction
"We all felt it was worth it .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> worth <extra_id_1> NULL,oa,extraction
"Ravioli was good . . . but I have to say that I found everything a bit overpriced .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Ravioli <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> negative,as,extraction
"The restaurant is cute but not upscale .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> restaurant general ; <extra_id_2> neutral <extra_id_3> restaurant general,sc,extraction
"The food was lousy - too sweet or too salty and the portions tiny .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> negative <extra_id_5> food quality ; <extra_id_6> negative <extra_id_7> food style_options,sc,extraction
"Baluchi ' s has solid food and a nice decor at reasonable prices .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> solid <extra_id_1> food ; <extra_id_2> nice <extra_id_3> decor ; <extra_id_4> solid <extra_id_5> Baluchi ' s,oa,extraction
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> enjoy <extra_id_1> staff ; <extra_id_2> young <extra_id_3> staff ; <extra_id_4> not always well trained <extra_id_5> staff ; <extra_id_6> friendly <extra_id_7> staff,oa,extraction
"You can not go wrong at the Red Eye Grill .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Red Eye Grill <extra_id_1> positive,as,extraction
"The wine list is also really nice .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> nice <extra_id_1> wine list,oa,extraction
"The food was mediocre at best but it was the horrible service that made me vow never to go back .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> mediocre <extra_id_1> food ; <extra_id_2> horrible <extra_id_3> service,oa,extraction
"The food was bland oily .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"Service was very prompt but slightly rushed .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> prompt <extra_id_1> Service ; <extra_id_2> rushed <extra_id_3> Service,oa,extraction
"Surprisingly nothing could be further from the truth .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> be further from the truth <extra_id_1> NULL,oa,extraction
"Great pizza for lunch place .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> pizza <extra_id_1> positive,as,extraction
"I ' ve waited over one hour for food .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food quality,sc,extraction
"Wonderful strawberry daiquiries as well !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> strawberry daiquiries <extra_id_1> positive,as,extraction
"I ' m partial to the Gnocchi .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Gnocchi <extra_id_1> positive,as,extraction
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> amazed <extra_id_1> place,oa,extraction
