input,output,se_order,paradigm
"My husbands was perfect , my was well done and dry .","( NULL , food quality , perfect , positive ) ; ( NULL , food quality , well done , negative ) ; ( NULL , food quality , dry , negative )",acos,extraction
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,"( ambience , ambience general , correct , positive ) ; ( staff , service general , excellent , positive )",acos,extraction
"Paul , the maitre d ' , was totally professional and always on top of things .","( Paul , service general , professional , positive )",acos,extraction
The food was average or above including some surprising tasty dishes .,"( food , food quality , average or above , positive ) ; ( dishes , food quality , tasty , positive )",acos,extraction
The place is so cool and the service is prompt and curtious .,"( service , service general , prompt , positive ) ; ( service , service general , curtious , positive ) ; ( place , ambience general , cool , positive )",acos,extraction
This place is always very crowded and popular .,"( place , restaurant miscellaneous , crowded , positive ) ; ( place , restaurant miscellaneous , popular , positive )",acos,extraction
They have authentic Indian at amazin prices .,"( Indian , food quality , authentic , positive ) ; ( Indian , food prices , authentic , positive )",acos,extraction
"Its location is good and the fact that Hutner College is near and their prices are very reasonable , makes students go back to Suan again and again .","( location , location general , good , positive ) ; ( Suan , restaurant prices , reasonable , positive )",acos,extraction
"Food was amazing - I love Indian food and eat it quite regularly , but I can say this is one of the best I ' ve had .","( Food , food quality , amazing , positive )",acos,extraction
Remind me of home .,"( NULL , restaurant miscellaneous , home , positive )",acos,extraction
I expected quite a bit more from such an expensive menu .,"( menu , food prices , expensive , negative ) ; ( menu , food quality , expensive , negative )",acos,extraction
My friend devoured her chicken and mashed potatos .,"( chicken and mashed potatos , food quality , devoured , positive )",acos,extraction
"This is one of my favorite spot , very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .","( NULL , restaurant general , favorite , positive ) ; ( NULL , ambience general , relaxing , positive ) ; ( food , food quality , great , positive ) ; ( NULL , restaurant miscellaneous , well organized , positive )",acos,extraction
"I picked the Grilled Black Cod as my entree , which I absolutely devoured while someone commented that the Grilled Salmon dish was better .","( Grilled Black Cod , food quality , devoured , positive ) ; ( Grilled Salmon dish , food quality , better , positive )",acos,extraction
Great Indian food and the service is incredible .,"( Indian food , food quality , Great , positive ) ; ( service , service general , incredible , positive )",acos,extraction
"The place is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .","( service , service general , excellent , positive ) ; ( place , ambience general , crowded , negative ) ; ( place , restaurant miscellaneous , small , positive ) ; ( place , restaurant miscellaneous , intimate , positive )",acos,extraction
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .","( food , food quality , decent , neutral ) ; ( food , food quality , not great , negative ) ; ( lemon salad , food quality , exception , negative )",acos,extraction
"In the evening , this place attracted a well dressed , with it , NY crowd .","( crowd , restaurant miscellaneous , attracted , positive )",acos,extraction
I would say that all was fine and tasty but the heaviness on my stomach someting that i ca n ' t not mention or undermine .,"( NULL , food quality , the heaviness on my stomach someting that i ca n ' t not mention or undermine , negative )",acos,extraction
I have to say I have never had a disapointing meal here .,"( meal , food quality , never had a disapointing , positive )",acos,extraction
"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .","( pizza , food quality , delicious , positive ) ; ( fresh mozzarella , food quality , fresh , positive )",acos,extraction
Atmosphere is nice and relaxed too . . .,"( Atmosphere , ambience general , nice , positive ) ; ( Atmosphere , ambience general , relaxed , positive )",acos,extraction
I recommend this place to everyone .,"( place , restaurant general , recommend , positive )",acos,extraction
This place is always packed .,"( place , ambience general , packed , neutral )",acos,extraction
"I read reviews that called the restaurant too expensive and I thought to myself , but may be it is worth it .","( restaurant , restaurant prices , expensive , negative ) ; ( restaurant , restaurant general , expensive , negative )",acos,extraction
"Great food , great decor , great service .","( food , food quality , Great , positive ) ; ( decor , ambience general , great , positive ) ; ( service , service general , great , positive )",acos,extraction
"My girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that I was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .","( meal , food quality , disgusted , negative ) ; ( NULL , service general , blacklisted , negative )",acos,extraction
Great survice,"( survice , service general , Great , positive )",acos,extraction
I was visiting New York City with a friend and we discovered this really warm and inviting restaurant .,"( restaurant , ambience general , inviting , positive )",acos,extraction
The service is awful .,"( service , service general , awful , negative )",acos,extraction
Fresh ingredients and everything is made to order .,"( ingredients , food quality , Fresh , positive )",acos,extraction
"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .","( Food , food quality , good , positive ) ; ( raw vegatables in side orders , food quality , wondered about freshmess , negative )",acos,extraction
This is the best sushi in new york city - hands down .,"( sushi , food quality , best , positive )",acos,extraction
Okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .,"( NULL , food quality , oily , negative ) ; ( NULL , food quality , bland , negative )",acos,extraction
The service was the only thing good about this restaurant .,"( service , service general , good , positive )",acos,extraction
The shrimp scampi was excellent and the antipasti were plentiful .,"( shrimp scampi , food quality , excellent , positive ) ; ( antipasti , food style_options , plentiful , positive )",acos,extraction
"First of all , this place is *not* romantic , as claimed by Citysearch ' s editorial review .","( place , ambience general , *not* romantic , negative )",acos,extraction
The setting is casual and romantic .,"( setting , ambience general , casual , positive ) ; ( setting , ambience general , romantic , positive )",acos,extraction
Highly recommended .,"( NULL , restaurant general , Highly recommended , positive )",acos,extraction
How do you rate home ?,"( NULL , restaurant miscellaneous , home , positive )",acos,extraction
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED !,"( Heartland Brewery , restaurant general , NEVER BEEN DISAPPOINTED , positive )",acos,extraction
Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,"( raddichio , food quality , bitter , negative ) ; ( NULL , food quality , delicious , positive )",acos,extraction
I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE . . . ),"( PLACE , restaurant general , LOVE , positive )",acos,extraction
"The food they serve is not comforting , not appetizing and uncooked .","( food , food quality , not comforting , negative ) ; ( food , food quality , not appetizing , negative )",acos,extraction
It is expensive but well worth the money .,"( NULL , restaurant prices , expensive , negative ) ; ( NULL , restaurant general , well worth , positive )",acos,extraction
"Fabulous decor - makes you feel like you ' re in a trendy Manhattan restaurant , very very good food , cheaply - priced , generally friendly staff , and if you ' re a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home . . . . . very Soho / Village / Upper West Side minus the expensive prices and pretentious clientele . . . . . all on Roosevelt Avenue !","( decor , ambience general , Fabulous , positive ) ; ( food , food quality , good , positive ) ; ( food , food prices , cheaply - priced , positive ) ; ( staff , service general , friendly , positive ) ; ( Rice Avenue , ambience general , feel at home , positive ) ; ( Rice Avenue , location general , very Soho / Village / Upper West Side , positive ) ; ( Rice Avenue , restaurant prices , minus the expensive prices , positive )",acos,extraction
"Guess what , I waited for TWENTY minutes before she came over and when she finally did , she says , `` oh well , I wish you would have said something earlier `` No apology , nothing .","( NULL , service general , No apology , negative )",acos,extraction
"The pasta penne was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne . . . got a little moody afterwards cause was stuffed . . . lol","( pasta penne , food quality , extra buttery , negative ) ; ( pasta penne , food style_options , moody , negative )",acos,extraction
"If you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) .","( private booths , ambience general , ushered , positive )",acos,extraction
"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .","( NULL , food quality , perfect consistency , positive ) ; ( NULL , food quality , not too fishy , positive ) ; ( NULL , food quality , creamy , positive ) ; ( NULL , food quality , buttery , positive )",acos,extraction
Excellent spot for holiday get togethers with co - workers or friends that you have n ' t seen in a while .,"( spot , restaurant miscellaneous , Excellent , positive )",acos,extraction
"Indo Chinese food , pretty good . . .","( Indo Chinese food , food quality , good , positive )",acos,extraction
This dish is my favorite and I always get it when I go there and never get tired of it .,"( dish , food quality , favorite , positive )",acos,extraction
They were served warm and had a soft fluffy interior .,"( NULL , food quality , warm , positive ) ; ( NULL , food quality , a soft fluffy interior , positive )",acos,extraction
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice .,"( NULL , service general , abrupt , negative )",acos,extraction
A guaranteeed delight !,"( NULL , restaurant general , delight , positive )",acos,extraction
"Also , because it is so thin , it gets cold very quickly and its not that filling .","( NULL , food quality , gets cold very quickly , negative ) ; ( NULL , food style_options , not that filling , negative )",acos,extraction
The wine list is also really nice .,"( wine list , drinks style_options , nice , positive )",acos,extraction
The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .,"( servers , service general , perfected , negative )",acos,extraction
I can not imagine a friendlier staff working in a restaurant .,"( staff , service general , friendlier , positive )",acos,extraction
If I could give 0 stars I would do so for this place .,"( place , restaurant general , 0 stars , negative )",acos,extraction
And it was quick which is very important .,"( NULL , service general , quick , positive )",acos,extraction
The omlette for brunch is great . . .,"( omlette for brunch , food quality , great , positive )",acos,extraction
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna .,"( service , service general , good , positive ) ; ( staff , service general , great , positive )",acos,extraction
The place is a lot of fun .,"( place , ambience general , fun , positive )",acos,extraction
"Rude service , medicore food . . . there are tons of restaurants in NY . . . stay away from this one","( service , service general , Rude , negative ) ; ( food , food quality , medicore , neutral ) ; ( NULL , restaurant general , stay away , negative )",acos,extraction
Food awesome .,"( Food , food quality , awesome , positive )",acos,extraction
I have NEVER been disappointed in the Red Eye .,"( Red Eye , restaurant general , NEVER been disappointed , positive )",acos,extraction
"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .","( NULL , food style_options , simple , positive ) ; ( NULL , food quality , subtle hints of whatever , positive )",acos,extraction
I had a huge group for my birthday and we were well taken care of .,"( NULL , service general , well taken care of , positive )",acos,extraction
this place had ALL the trimmings and i mean all .,"( trimmings , food style_options , ALL , positive )",acos,extraction
"We did tip , I guess the model / waitress just wanted more and complained to the manager .","( waitress , service general , complained , negative )",acos,extraction
"The first time the sushi was outstanding , the second time it was a little bland .","( sushi , food quality , outstanding , positive ) ; ( sushi , food quality , bland , negative )",acos,extraction
MY husbands birthday and my sons was not as it was intended . . . and we drove two hours to spend too much money to be treated terribly !,"( NULL , restaurant prices , too much money , negative ) ; ( NULL , service general , treated terribly , negative )",acos,extraction
The food is all shared so we get to order together and eat together .,"( food , food style_options , shared , positive )",acos,extraction
"However , go for the ambience , and consider the food just a companion for a trip across the world !","( food , food quality , a companion for a trip across the world , neutral )",acos,extraction
Quick and friendly service .,"( service , service general , Quick , positive ) ; ( service , service general , friendly , positive )",acos,extraction
Unique apppetizers .,"( apppetizers , food quality , Unique , positive )",acos,extraction
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,"( NULL , restaurant general , magnificent , positive )",acos,extraction
The food was authentic .,"( food , food quality , authentic , positive )",acos,extraction
Overall I would recommend it and go back again .,"( NULL , restaurant general , recommend , positive )",acos,extraction
We all felt it was worth it .,"( NULL , restaurant general , worth , positive )",acos,extraction
This quaint and romantic trattoria is at the top of my Manhattan restaurant list .,"( trattoria , ambience general , quaint , positive ) ; ( trattoria , restaurant general , romantic , positive )",acos,extraction
The wait staff is very courteous and accomodating .,"( wait staff , service general , courteous , positive )",acos,extraction
Helpful service and average price per dish $ 10 .,"( service , service general , Helpful , positive ) ; ( dish , food prices , $ 10 , neutral )",acos,extraction
I ' ve had my fair share of modern Japanese and this spot delivers .,"( modern Japanese , food quality , delivers , positive )",acos,extraction
"However , it is jus too good to not praise it .","( NULL , restaurant general , good , positive ) ; ( NULL , restaurant general , praise , positive )",acos,extraction
"We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .","( grilled branzino , food quality , difficult to eat , negative )",acos,extraction
Wonderful strawberry daiquiries as well !,"( strawberry daiquiries , drinks quality , Wonderful , positive )",acos,extraction
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .","( soy sauce , food quality , salty , negative ) ; ( rice , food quality , vinegar - soaked , negative )",acos,extraction
"We have been to this place many times , and always have great food , wine , and service .","( food , food quality , great , positive ) ; ( wine , drinks quality , great , positive ) ; ( service , service general , great , positive )",acos,extraction
The wine list is extensive and can easily hike up an otherwise reasonably priced meal .,"( wine list , drinks style_options , extensive , positive ) ; ( meal , food prices , reasonably priced , positive )",acos,extraction
"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .","( Service , service general , varies , neutral )",acos,extraction
Stepping into Casa La Femme last night was a true experience unlike any other in New York !,"( Casa La Femme , restaurant general , true , positive )",acos,extraction
But the staff was so horrible to us .,"( staff , service general , horrible , negative )",acos,extraction
It ' s a rather cramped and busy restaurant and it closes early .,"( restaurant , restaurant miscellaneous , closes early , negative ) ; ( restaurant , ambience general , cramped , negative ) ; ( restaurant , ambience general , busy , negative )",acos,extraction
I think that it is absolutely brilliant and well runned business operation .,"( NULL , restaurant general , brilliant , positive )",acos,extraction
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,"( caviar , food quality , delicious top grade , positive ) ; ( service , service general , fantastic , positive )",acos,extraction
Was surprisingly disappointed .,"( NULL , food quality , surprisingly disappointed , negative )",acos,extraction
"An awesome organic dog , and a conscious eco friendly establishment .","( dog , food quality , organic , positive ) ; ( establishment , restaurant miscellaneous , eco friendly , positive )",acos,extraction
We took advanatage of the half price sushi deal on saturday so it was well worth it .,"( half price sushi deal , food quality , worth , positive )",acos,extraction
The high prices you ' re going to pay is for the view not for the food .,"( NULL , restaurant prices , high , negative )",acos,extraction
Save yourself the time and trouble and skip this one !,"( NULL , restaurant general , skip , negative )",acos,extraction
but overall i give it a 10,"( NULL , restaurant general , give it a 10 , positive )",acos,extraction
"Still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .","( NULL , restaurant prices , quibbles , neutral ) ; ( measures of liquers , drinks style_options , pour - your - own , positive ) ; ( measures of liquers , drinks style_options , courtesey , positive )",acos,extraction
its alright,"( NULL , restaurant general , alright , neutral )",acos,extraction
"They ' re rude at times , and not very friendly .","( NULL , service general , rude , negative )",acos,extraction
It ' s great to go for a quick lunch either alone or with a friend .,"( NULL , restaurant miscellaneous , great , positive )",acos,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .","( late night atmosphere , ambience general , best , positive )",acos,extraction
I go twice a month !,"( NULL , restaurant general , twice a month , positive )",acos,extraction
The only fallback on this restaurant is the prices .,"( restaurant , restaurant prices , fallback , negative )",acos,extraction
We were then shooed inside .,"( NULL , service general , shooed , negative )",acos,extraction
"What really makes it shine is the food , which is aggressively seasoned with Cyrpriot spices , and all made in - house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected .","( food , food quality , shine , positive ) ; ( gyro meat , food quality , in - house , positive ) ; ( sausages , food quality , in - house , positive ) ; ( ingredients , food quality , higher quality , positive )",acos,extraction
With the theater 2 blocks away we had a delicious meal in a beautiful room .,"( meal , food quality , delicious , positive ) ; ( room , ambience general , beautiful , positive ) ; ( NULL , location general , 2 blocks away , positive )",acos,extraction
After really enjoying ourselves at the bar we sat down at a table and had dinner .,"( bar , restaurant miscellaneous , enjoying , positive )",acos,extraction
"The sandwiches are dry , tasteless and way overpriced .","( sandwiches , food quality , dry , negative ) ; ( sandwiches , food quality , tasteless , negative ) ; ( sandwiches , food prices , overpriced , negative )",acos,extraction
"But , they were too big for the bun .","( NULL , food style_options , too big , negative )",acos,extraction
"By far , the best pizza in Manhattan .","( pizza , food quality , best , positive )",acos,extraction
I was there on sat . for my birthday and we had an excellent time .,"( NULL , restaurant general , excellent , positive )",acos,extraction
Give it a try and enjoy .,"( NULL , restaurant general , enjoy , positive )",acos,extraction
Pizza here is consistently good .,"( Pizza , food quality , good , positive )",acos,extraction
"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .","( spot , ambience general , unpretentious , positive ) ; ( sushi , food quality , good , positive ) ; ( service , service general , pleasant , positive ) ; ( service , service general , effective , positive ) ; ( service , service general , unassuming , positive )",acos,extraction
"Not only is the cuisine the best around , the service has always been attentive and charming .","( cuisine , food quality , best , positive ) ; ( service , service general , attentive , positive ) ; ( service , service general , charming , positive )",acos,extraction
But the pizza is way to expensive .,"( pizza , food prices , expensive , negative )",acos,extraction
Love Pizza 33 . . .,"( Pizza 33 , restaurant general , Love , positive )",acos,extraction
"The food was good , the place was clean and affordable .","( food , food quality , good , positive ) ; ( place , ambience general , clean , positive ) ; ( place , restaurant prices , affordable , positive )",acos,extraction
"The food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .","( food , food quality , amazing , positive ) ; ( service , service general , prompt , positive ) ; ( service , service general , helpful , positive ) ; ( service , service general , not over - bearing or rushed , positive )",acos,extraction
Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all .,"( NULL , food style_options , covered in a glaze of some kind , negative ) ; ( NULL , food quality , Not impressive , negative )",acos,extraction
"The freshest , best variety , and the fastest delivery .","( NULL , food quality , freshest , positive ) ; ( NULL , food style_options , best variety , positive ) ; ( delivery , service general , fastest , positive )",acos,extraction
We were greeted promptly by the waiter who was very nice and cordial .,"( waiter , service general , nice , positive ) ; ( waiter , service general , cordial , positive )",acos,extraction
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded .,"( pizza place , restaurant miscellaneous , overcrowded , positive )",acos,extraction
Surprisingly nothing could be further from the truth .,"( NULL , restaurant miscellaneous , be further from the truth , positive )",acos,extraction
It ' s one of our favorite places to eat in NY .,"( NULL , restaurant general , favorite , positive )",acos,extraction
A little pricey but it really hits the spot on a Sunday morning !,"( NULL , restaurant prices , pricey , negative ) ; ( NULL , restaurant general , hits the spot , positive )",acos,extraction
"Of course , it is crowded but who cares .","( NULL , ambience general , crowded but who cares , neutral )",acos,extraction
Which lets face it . . . . at times it ' s a good thing .,"( NULL , service general , good , positive )",acos,extraction
But the best pork souvlaki I ever had is the main thing .,"( pork souvlaki , food quality , best , positive )",acos,extraction
Stay away,"( NULL , restaurant general , Stay away , negative )",acos,extraction
"never swaying , never a bad meal , never bad service . . .","( NULL , restaurant general , never swaying , positive ) ; ( meal , food quality , never a bad , positive ) ; ( service , service general , never bad , positive )",acos,extraction
This was my frist time at Cafe St . Bart ' s and I must say how delicious the food and the service was .,"( food , food quality , delicious , positive )",acos,extraction
The mussels were fantastic and so was the dessert . . . definitely going to be back very soon .,"( mussels , food quality , fantastic , positive ) ; ( dessert , food quality , fantastic , positive ) ; ( NULL , restaurant general , going to be back , positive )",acos,extraction
And even with it ' s Pub atmosphere they were great to my kids too !,"( NULL , service general , great , positive )",acos,extraction
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,"( manager , service general , take my business elsewhere , negative )",acos,extraction
I got hair in my food 2 times of then !,"( food , food quality , got hair in my food , negative )",acos,extraction
"I LOOOVE their eggplant pizza , as well as their pastas !","( eggplant pizza , food quality , LOOOVE , positive ) ; ( pastas , food quality , LOOOVE , positive )",acos,extraction
The rice was poor quality and was cooked so badly it was hard .,"( rice , food quality , poor quality , negative ) ; ( rice , food quality , cooked so badly , negative ) ; ( rice , food quality , hard , negative )",acos,extraction
"Most of the servers are very attentive , friendly and quite attractive .","( servers , service general , attentive , positive ) ; ( servers , service general , friendly , positive ) ; ( servers , service general , attractive , positive )",acos,extraction
My wife had barely touched that mess of a dish .,"( dish , food quality , mess , negative )",acos,extraction
"When family came in he gave them apps to test their palets , and then ordered for them .","( NULL , service general , ordered for them , positive )",acos,extraction
I was pleasantly suprised .,"( NULL , restaurant general , pleasantly suprised , positive )",acos,extraction
"Also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .","( waiters , service general , push , negative )",acos,extraction
Yakitori ( bbq meats ) is tasty too .,"( Yakitori ( bbq meats ) , food quality , tasty , positive )",acos,extraction
