text_a,text_b,label
"Jika tidak , maka bisa jadi investor menjadi ragu untuk menanamkan investasi nya di wilayah tersebut .",investor-menjadi ragu,1
""" Investasi butuh kepastian , ini 2x acara sukses ( WSBK dan MotoGP ) meski memang kurang ditunjang infrastruktur yang ada . Tapi ini peluang investasi , misal kalau nggak ada penginapan atau fasilitas , orang jadi bingung kalau mau ke Lombok , "" sebut nya .",wsbk-sukses,1
""" Investasi butuh kepastian , ini 2x acara sukses ( WSBK dan MotoGP ) meski memang kurang ditunjang infrastruktur yang ada . Tapi ini peluang investasi , misal kalau nggak ada penginapan atau fasilitas , orang jadi bingung kalau mau ke Lombok , "" sebut nya .",wsbk-kurang ditunjang,0
""" Investasi butuh kepastian , ini 2x acara sukses ( WSBK dan MotoGP ) meski memang kurang ditunjang infrastruktur yang ada . Tapi ini peluang investasi , misal kalau nggak ada penginapan atau fasilitas , orang jadi bingung kalau mau ke Lombok , "" sebut nya .",infrastruktur-sukses,0
""" Investasi butuh kepastian , ini 2x acara sukses ( WSBK dan MotoGP ) meski memang kurang ditunjang infrastruktur yang ada . Tapi ini peluang investasi , misal kalau nggak ada penginapan atau fasilitas , orang jadi bingung kalau mau ke Lombok , "" sebut nya .",infrastruktur-kurang ditunjang,1
"Sementara itu , Presiden Joko Widodo pun mengatakan MotoGP Mandalika 2022 masih ada yang perlu dievaluasi .",motogp mandalika 2022-masih ada yang perlu dievaluasi,1
"Berdasarkan catatan Forbes , kekayaan gabungan dari 50 orang terkaya di Indonesia meningkat sebesar 22 % menjadi US$ 162 miliar atau setara Rp 2.316 triliun dari tahun sebelumnya US$ 133 miliar atau 1.901,90 triliun .",kekayaan gabungan-meningkat,1
Peningkatan ini terjadi di tengah upaya pemulihan ekonomi yang sempat ambruk disebabkan pandemi Covid - 19 .,ekonomi-sempat ambruk,1
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",jumlah kekayaan-meningkat,1
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .","jumlah kekayaan-diprediksi naik 4 %,",0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",jumlah kekayaan-meroket,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",jumlah kekayaan-masih berada di posisi puncak,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",pertumbuhan ekonomi-meningkat,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .","pertumbuhan ekonomi-diprediksi naik 4 %,",1
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",pertumbuhan ekonomi-meroket,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",pertumbuhan ekonomi-masih berada di posisi puncak,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",harga beberapa komoditas unggulan domestik-meningkat,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .","harga beberapa komoditas unggulan domestik-diprediksi naik 4 %,",0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",harga beberapa komoditas unggulan domestik-meroket,1
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",harga beberapa komoditas unggulan domestik-masih berada di posisi puncak,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",robert budi hartono-meningkat,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .","robert budi hartono-diprediksi naik 4 %,",0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",robert budi hartono-meroket,0
"Meningkat nya jumlah kekayaan tersebut salah satu nya juga ditopang oleh pertumbuhan ekonomi diprediksi naik 4 %, setelah kontraksi yang dialami tahun lalu , serta harga beberapa komoditas unggulan domestik yang meroket sepanjang tahun Robert Budi Hartono dan Michael Bambang Hartono masih berada di posisi puncak dengan total kekayaan mencapai US$ 19,7 miliar atau Rp 285,65 triliun .",robert budi hartono-masih berada di posisi puncak,1
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?",kekayaan raffi-paling populer,1
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?",kekayaan raffi-lebih dari 57 juta,0
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?","kekayaan raffi-mencapai 22,6 juta akun",0
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?",jumlah pengikut instagram-paling populer,0
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?",jumlah pengikut instagram-lebih dari 57 juta,1
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?","jumlah pengikut instagram-mencapai 22,6 juta akun",0
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?",pelanggan di kanal youtube-paling populer,0
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?",pelanggan di kanal youtube-lebih dari 57 juta,0
"Lalu berapa sebenarnya kekayaan Raffi yang merupakan salah satu selebriti yang paling populer di Tanah Air , dengan jumlah pengikut Instagram lebih dari 57 juta serta pelanggan di kanal YouTube mencapai 22,6 juta akun ?","pelanggan di kanal youtube-mencapai 22,6 juta akun",1
"Saat debut lalu , iPhone SE ( 2020 ) dijual mulai dari US$ 399 atau Rp 5,7 juta . Jakarta , CNBC Indonesia - Pembuat konten alias content creator telah menjelma menjadi salah satu profesi yang menjanjikan penghasilan fantastis .",pembuat konten-menjanjikan penghasilan fantastis,1
"Menarik nya , Paul pernah di-demonetisasi oleh YouTube pada tahun 2017 karena video kontroversial saudara laki-laki nya , Logan Paul , yang juga seorang seorang Youtuber .",paul-pernah di-demonetisasi,1
"Menarik nya , Paul pernah di-demonetisasi oleh YouTube pada tahun 2017 karena video kontroversial saudara laki-laki nya , Logan Paul , yang juga seorang seorang Youtuber .",paul-kontroversial,0
"Menarik nya , Paul pernah di-demonetisasi oleh YouTube pada tahun 2017 karena video kontroversial saudara laki-laki nya , Logan Paul , yang juga seorang seorang Youtuber .",video-pernah di-demonetisasi,0
"Menarik nya , Paul pernah di-demonetisasi oleh YouTube pada tahun 2017 karena video kontroversial saudara laki-laki nya , Logan Paul , yang juga seorang seorang Youtuber .",video-kontroversial,1
"Sekarang , meskipun dia sudah bisa meraup penghasilan lagi dari iklan YouTube , Paul tidak seaktif dulu .",paul-tidak seaktif dulu,1
"Sekarang , meskipun dia sudah bisa meraup penghasilan lagi dari iklan YouTube , Paul tidak seaktif dulu .",paul-sudah bisa meraup penghasilan,1
"Mark berhasil menjual banyak merchandise , mulai dari t - shirt , hoodies , dan barang dagangan lainnya yang semakin menambah pundi-pundi kekayaan nya .",mark-berhasil menjual banyak merchandise,1
"Mark berhasil menjual banyak merchandise , mulai dari t - shirt , hoodies , dan barang dagangan lainnya yang semakin menambah pundi-pundi kekayaan nya .",mark-semakin menambah pundi-pundi kekayaan,0
"Mark berhasil menjual banyak merchandise , mulai dari t - shirt , hoodies , dan barang dagangan lainnya yang semakin menambah pundi-pundi kekayaan nya .",barang dagangan-berhasil menjual banyak merchandise,0
"Mark berhasil menjual banyak merchandise , mulai dari t - shirt , hoodies , dan barang dagangan lainnya yang semakin menambah pundi-pundi kekayaan nya .",barang dagangan-semakin menambah pundi-pundi kekayaan,1
"Sepanjang tahun 2021 , Mark berhasil mengantongi US$ 38 juta atau sekitar Rp545miliar .",mark-berhasil mengantongi us$ 38 juta,1
"Meskipun acara kolaborasi nya dengan sesama YouTuber Ethan Nestor - Darling dibatalkan , merchandise untuk acara tersebut terus terjual .",merchandise-terus terjual,1
Acara itu lalu viral dan menjadi tuan rumah bagi tamu-tamu istimewa yang membuat duo ini terkenal di internet dan memiliki 10 juta pengikut .,duo-terkenal di internet,1
"Tak cuma itu , duo YouTuber ini juga pernah membuat streaming langsung selama dua jam dan berhasil menjual lebih dari 70.000 tiket dengan harga masing-masing US$ 50 .",duo youtuber-berhasil menjual lebih dari 70.000 tiket,1
"Anastasia Yuryevna Radzinskaya Akun ' Like Nastya ' mula nya adalah channel yang berisi unboxing mainan , namun sekarang berkembang menjadi salah satu saluran YouTube anak-anak terbesar di dunia .",akun ' like nastya '-saluran youtube anak-anak terbesar di dunia,1
"Karena kesuksesan video-video mereka , grup ini sukses menghasilkan US$ 20 juta atau sekitar Rp 287 miliar tahun lalu .",grup-sukses menghasilkan us$ 20 juta,1
Ming Chi Ku o juga menyebutkan iPhone SE 3 tidak akan membawa banyak perubahan besar .,iphone se 3-tidak akan membawa banyak perubahan besar,1
"Setidaknya , ada enam kabupaten / kota di Jawa - Bali yang berstatus level 1 .",enam kabupaten / kota di jawa - bali-berstatus level 1,1
"Untuk pengaturan daerah dengan level 1 seperti bioskop , mall , pabrik , tempat ibadah sudah bisa beroperasi 100 %, terkecuali acara resepsi yang pelaksanaan nya dibatasi dalam kapasitas maksimal 75 % .","daerah dengan level 1-sudah bisa beroperasi 100 %,",1
"Tak heran , jika Presiden Joko Widodo pun mengungkapkan kejengkelan nya karena masih marak nya barang impor untuk pengadaan barang dan jasa pemerintahan .",presiden joko widodo-mengungkapkan kejengkelan,1
"Tak heran , jika Presiden Joko Widodo pun mengungkapkan kejengkelan nya karena masih marak nya barang impor untuk pengadaan barang dan jasa pemerintahan .",presiden joko widodo-masih marak,0
"Tak heran , jika Presiden Joko Widodo pun mengungkapkan kejengkelan nya karena masih marak nya barang impor untuk pengadaan barang dan jasa pemerintahan .",barang impor untuk pengadaan barang dan jasa pemerintahan-mengungkapkan kejengkelan,0
"Tak heran , jika Presiden Joko Widodo pun mengungkapkan kejengkelan nya karena masih marak nya barang impor untuk pengadaan barang dan jasa pemerintahan .",barang impor untuk pengadaan barang dan jasa pemerintahan-masih marak,1
"Di hadapan para gubernur , bupati , dan walikota , Presiden mengaku sedih dan heran , apalagi dengan besar nya anggaran pengadaan barang dan jasa .",presiden-sedih,1
"Di hadapan para gubernur , bupati , dan walikota , Presiden mengaku sedih dan heran , apalagi dengan besar nya anggaran pengadaan barang dan jasa .",presiden-heran,1
"Badan Pusat Statistik ( BPS ) mencatat , secara umum , kebutuhan komoditas impor terus meningkat di tahun kedua pandemi .",kebutuhan komoditas impor-terus meningkat,1
"Terlihat dari realisasi impor barang konsumsi yang mencapai US$ 20.182,8 juta selama Januari - Desember 2021 atau naik dari periode yang sama tahun sebelumnya US$ 14.656,0 juta .",realisasi impor barang konsumsi-naik,1
"Jumlah impor ini turun 47,21 % dibandingkan tahun 2020 sebanyak 603,64 ribu kilogram .",jumlah impor-turun,1
"Pertama terbanyak berasal dari Vietnam , kemudian disusul oleh Kenya , lalu Thailand serta China dan Sri Lanka . Jakarta , CNBC Indonesia - Harga saham emiten maskapai penerbangan PT AirAsia Indonesia Tbk ( CMPP ) melonjak tinggi pada lanjutan sesi II perdagangan , Rabu ( 23 / 3 / 2022 ) .",harga saham emiten maskapai penerbangan pt airasia indonesia tbk ( cmpp )-melonjak tinggi,1
"Menurut data Bursa Efek Indonesia ( BEI ) , pukul 13.46 WIB , saham CMPP melesat 18,37 % ke Rp 870 / unit , dengan nilai transaksi Rp 61,32 miliar dan volume perdagangan 73,66 juta saham .",saham cmpp-melesat,1
"Dengan ini , saham CMPP sudah mencatatkan reli kenaikan selama 6 hari perdagangan beruntun .",saham cmpp-sudah mencatatkan reli kenaikan,1
"Alhasil , dalam sepekan saham CMPP melejit 59,63 %, dalam sebulan terkerek 53,98 % .",saham cmpp-melejit,1
"Alhasil , dalam sepekan saham CMPP melejit 59,63 %, dalam sebulan terkerek 53,98 % .",saham cmpp-terkerek,1
"Adapun , sejak awal tahun ( ytd ) , saham ini meroket 372,83 % .",saham-meroket,1
"Sebelumnya , pihak BEI memasukkan saham CMPP ke dalam daftar pemantauan khusus dengan notasi 10 .",saham cmpp-daftar pemantauan khusus dengan notasi 10,1
"Asal tahu saja , BEI sempat melakukan suspensi saham CMPP mulai 10 Februari 2022 sampai 21 Februari 2022 , seiring telah terjadi nya peningkatan harga kumulatif yang signifikan pada saham tersebut .",bei-melakukan suspensi saham cmpp,1
"Suara emas Beyonce menyihir ratusan tamu undangan yang memenuhi Dolby Theater , Los Angeles , Amerika Serikat .",suara emas beyonce-menyihir ratusan tamu undangan,1
"Pernah Disebut Luhut Ingin Investasi 100 Milliar Dollar AS , SoftBank Batal Investasi di IKN Heru mengungkapkan kegiatan Presiden Jokowi di IKN dapat diikuti oleh seluruh masyarakat Indonesia melalui tayangan dari kanal YouTube Sekretariat Presiden .",softbank-batal investasi di ikn,1
"Malam Jelang Balapan MotoGP Mandalika : Suara Geberan Motor Masih Terdengar Pebalap Monster Energy Yamaha , Fabio Quartararo , berkuasa di Pertamina Grand Prix of Indonesia selama dua hari pertama Fabio Quartararo bahkan mampu membuat dua kali memecahkan rekor waktu tercepat di Sirkuit Mandalika .",fabio quartararo-mampu membuat dua kali memecahkan rekor waktu tercepat,1
"Marshal Sirkuit Mandalika Mendapat Pujian Tinggi dari Race Director MotoGP Indonesia Pada hari kedua MotoGP Mandalika , terdapat banyak insiden yang menerpa sejumlah pebalap .",motogp mandalika-banyak insiden,1
"Marshal Sirkuit Mandalika Mendapat Pujian Tinggi dari Race Director MotoGP Indonesia Pada hari kedua MotoGP Mandalika , terdapat banyak insiden yang menerpa sejumlah pebalap .",motogp mandalika-mendapat pujian tinggi,0
"Marshal Sirkuit Mandalika Mendapat Pujian Tinggi dari Race Director MotoGP Indonesia Pada hari kedua MotoGP Mandalika , terdapat banyak insiden yang menerpa sejumlah pebalap .",marshal sirkuit mandalika-banyak insiden,0
"Marshal Sirkuit Mandalika Mendapat Pujian Tinggi dari Race Director MotoGP Indonesia Pada hari kedua MotoGP Mandalika , terdapat banyak insiden yang menerpa sejumlah pebalap .",marshal sirkuit mandalika-mendapat pujian tinggi,1
"Salah satu yang mencuri perhatian adalah insiden motor pebalap Suzuki Ecstar , Alex Rins , yang terbakar .","motor pebalap suzuki ecstar , alex rins-terbakar",1
Motor Suzuki GSX - RR mendadak mengeluarkan api sebelum Tikungan 13 Sirkuit Mandalika hingga Alex Rins sampai melompat .,motor suzuki gsx - rr-mendadak mengeluarkan api,1
"Sementara itu , sejumlah pebalap juga mengalami crash , di antara nya adalah Marc Marquez ( Respsol Honda ) .",pebalap-mengalami crash,1
Marquez mengalami crash saat berjuang di sesi kualifikasi pertama ( Q1 ) sebanyak dua kali .,marquez-mengalami crash,1
Juara dunia MotoGP enam kali itu pun gagal ke Q2 dan harus start dari posisi ke-15 di MotoGP Mandalika .,juara dunia motogp enam kali-gagal ke q2,1
Juara dunia MotoGP enam kali itu pun gagal ke Q2 dan harus start dari posisi ke-15 di MotoGP Mandalika .,juara dunia motogp enam kali-harus start dari posisi ke-15,1
"Terkait kondisi Marquez , sang rider mengatakan bahwa diri nya baik-baik saja sehingga bisa menjalani balapan .",marquez-baik-baik saja,1
""" Saya kurang lebih baik-baik saja setelah dua kecelakaan hari ini ( Sabtu ) , ketika Anda berada di Q1 Anda harus mengambil risiko dan inilah yang bisa terjadi , "" kata Marquez dilansir dari Honda Racing Corporation .",marquez-kurang lebih baik-baik saja,1
"Hasil Kualifikasi MotoGP Indonesia : Marquez Dua Kali Crash , Quartararo Pole Position Balapan MotoGP Mandalika bisa disaksikan langsung melalui stasiun televisi Trans7 .",marquez-dua kali crash,1
"Pendatang baru lainnya , Darryn Binder , adik dari Brad Binder , naik langsung dari Moto3 dan akan memperkuat WithU Yamaha RNF MotoGP Team .",darryn binder-naik langsung dari moto3,1
"Pebalap Jajal Sirkuit MotoGP Mandalika , Hotel di Mandalika Mulai Penuh JAKARTA KOMPAS.com - Menjelang bulan suci Ramadan , terdapat beberapa sinetron yang siap siap menemani puasa Anda .",hotel di mandalika-mulai penuh,1
Sinetron legendaris ini selalu tayang setiap bulan puasa dan tahun ini sudah memasuki jilid 15 .,sinetron-legendaris,1
""" Hammersonic Festival akan diundur menjadi 18 Maret 2023 dengan headliner yang masih sama ; SLIPKNOT . Beserta band-band lainnya dan juga band-band baru yang akan tampil di Hammersonic 2023 , "" sambung nya .",hammersonic festival-akan diundur,1
"Sebuah kiriman dibagikan oleh HAMMERSONIC FESTIVAL ( @hammersonicfest ) Jakarta , CNBC Indonesia - Penyanyi Celine Dion dipastikan membatalkan 16 konser nya karena alasan kesehatan .",penyanyi celine-membatalkan 16 konser,1
"Namun , kondisi fisik Dion yang belum membaik membuat tim nya terpaksa membatalkan semua konser terjadwal .",kondisi fisik dion-belum membaik,1
"Namun , kondisi fisik Dion yang belum membaik membuat tim nya terpaksa membatalkan semua konser terjadwal .",kondisi fisik dion-terpaksa membatalkan semua konser terjadwal,0
"Namun , kondisi fisik Dion yang belum membaik membuat tim nya terpaksa membatalkan semua konser terjadwal .",tim-belum membaik,0
"Namun , kondisi fisik Dion yang belum membaik membuat tim nya terpaksa membatalkan semua konser terjadwal .",tim-terpaksa membatalkan semua konser terjadwal,1
"Nama Celine Dion melambung lewat lagu "" Titanic "" , "" My Heart Will Go On , "" yang mengantarkan dia memenangkan dua Grammy pada tahun 1998 .",nama celine dion-melambung,1
"Nama Celine Dion melambung lewat lagu "" Titanic "" , "" My Heart Will Go On , "" yang mengantarkan dia memenangkan dua Grammy pada tahun 1998 .",nama celine dion-memenangkan dua grammy,1
"Dion juga berhasil menjadi salah satu artis terlaris sepanjang masa dengan rekor penjualan melebihi 200 juta copy secara global , menurut Sony Music . Jakarta , CNBC Indonesia - Pemerintah Australia ingin musisi hip - hop terkemuka asal Amerika Serikat ( AS ) Kanye West melakukan vaksinasi Covid - 19 lengkap sebelum mengadakan tur ke Negeri Kanguru Maret 2022 .",dion-berhasil menjadi salah satu artis terlaris,1
"Dion juga berhasil menjadi salah satu artis terlaris sepanjang masa dengan rekor penjualan melebihi 200 juta copy secara global , menurut Sony Music . Jakarta , CNBC Indonesia - Pemerintah Australia ingin musisi hip - hop terkemuka asal Amerika Serikat ( AS ) Kanye West melakukan vaksinasi Covid - 19 lengkap sebelum mengadakan tur ke Negeri Kanguru Maret 2022 .",dion-melebihi 200 juta,0
"Dion juga berhasil menjadi salah satu artis terlaris sepanjang masa dengan rekor penjualan melebihi 200 juta copy secara global , menurut Sony Music . Jakarta , CNBC Indonesia - Pemerintah Australia ingin musisi hip - hop terkemuka asal Amerika Serikat ( AS ) Kanye West melakukan vaksinasi Covid - 19 lengkap sebelum mengadakan tur ke Negeri Kanguru Maret 2022 .",rekor penjualan-berhasil menjadi salah satu artis terlaris,0
