input,output,se_order,paradigm
"We ended our great experience by having Gulab Jamun ( dessert ) recommended by the waiter .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> Gulab Jamun ( dessert ),oa,extraction
"The food now is inconsistent .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> inconsistent <extra_id_1> food,oa,extraction
"limited menu , no - so - fresh ingredients , thinly - sliced fish , fall - apart rice .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> limited <extra_id_1> menu <extra_id_2> negative <extra_id_3> food style_options ; <extra_id_4> no - so - fresh <extra_id_5> ingredients <extra_id_6> negative <extra_id_7> food quality ; <extra_id_8> thinly - sliced <extra_id_9> fish <extra_id_10> negative <extra_id_11> food style_options ; <extra_id_12> fall - apart <extra_id_13> rice <extra_id_14> negative <extra_id_15> food style_options,oasc,extraction
"Great bagels made the old - fashioned way .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Great <extra_id_1> bagels ; <extra_id_2> Great <extra_id_3> bagels,oa,extraction
"Food is great .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> great <extra_id_1> Food <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
"The food was absolutely amazing ! !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive,as,extraction
"I also recommend the rice dishes or the different varieties of congee ( rice porridge ) .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> rice dishes <extra_id_1> positive ; <extra_id_2> congee ( rice porridge ) <extra_id_3> positive,as,extraction
"However , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> great <extra_id_1> food <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> great <extra_id_5> food <extra_id_6> positive <extra_id_7> food prices,oasc,extraction
"Indoor was very cozy and cute .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> cozy <extra_id_1> Indoor ; <extra_id_2> cute <extra_id_3> Indoor,oa,extraction
"Not only is the cuisine the best around , the service has always been attentive and charming .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> best <extra_id_1> cuisine <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> attentive <extra_id_5> service <extra_id_6> positive <extra_id_7> service general ; <extra_id_8> charming <extra_id_9> service <extra_id_10> positive <extra_id_11> service general,oasc,extraction
"We could have made a meal of the yummy dumplings from the dumpling menu .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> yummy <extra_id_1> dumplings <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
"This is one of the best comfort food places in the city .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> best <extra_id_1> NULL,oa,extraction
"Most of the servers are very attentive , friendly and quite attractive .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> servers <extra_id_1> positive ; <extra_id_2> servers <extra_id_3> positive ; <extra_id_4> servers <extra_id_5> positive,as,extraction
"The food looked very appetizing and delicious since it came on a variety of fancy plates .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food style_options ; <extra_id_2> positive <extra_id_3> food style_options,sc,extraction
"I started out with a Bombay beer which was big enough for two .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Bombay beer <extra_id_1> positive,as,extraction
"The food is so cheap and the waiters are nice .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> cheap <extra_id_1> food ; <extra_id_2> nice <extra_id_3> waiters,oa,extraction
"Best Pastrami I ever had and great portion without being ridiculous .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> Best <extra_id_1> Pastrami <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> great <extra_id_5> portion <extra_id_6> positive <extra_id_7> food style_options,oasc,extraction
"The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> perfected <extra_id_1> servers <extra_id_2> negative <extra_id_3> service general,oasc,extraction
"This place is worth an one - hour drive .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"My son and his girlfriend both wanted cheeseburgers and they were huge !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> cheeseburgers <extra_id_1> neutral,as,extraction
"Dessert is a joke . . . dont bother| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> joke <extra_id_1> Dessert <extra_id_2> negative <extra_id_3> food quality,oasc,extraction
"Their calzones are horrific , bad , vomit - inducing , YUCK .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> horrific <extra_id_1> calzones ; <extra_id_2> bad <extra_id_3> calzones ; <extra_id_4> vomit - inducing <extra_id_5> calzones ; <extra_id_6> YUCK <extra_id_7> calzones,oa,extraction
"I think the pizza is so overrated and was under cooked .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"But that was n ' t the icing on the cake : a tiramisu that resembled nothing I have ever had .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"The wine list is interesting and has many good values .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> wine list <extra_id_1> positive ; <extra_id_2> wine list <extra_id_3> positive,as,extraction
"The fish was really , really fresh .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> fish <extra_id_1> positive,as,extraction
"The dining room is quietly elegant with no music to shout over - - how refreshing !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> dining room <extra_id_1> positive ; <extra_id_2> dining room <extra_id_3> positive,as,extraction
"It ' s one of our favorite places to eat in NY .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> favorite <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
"Overall I would recommend it and go back again .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> recommend <extra_id_1> NULL <extra_id_2> positive <extra_id_3> restaurant general,oasc,extraction
"They have a huge selection of different cream cheeses and all of their salads are great .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> salads ; <extra_id_2> huge <extra_id_3> cream cheeses ; <extra_id_4> different <extra_id_5> cream cheeses,oa,extraction
"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> positive <extra_id_5> food quality ; <extra_id_6> positive <extra_id_7> food quality,sc,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> best <extra_id_1> late night atmosphere <extra_id_2> positive <extra_id_3> ambience general,oasc,extraction
"I was almost amused by the fact that she was turning away customers at 9pm on a Friday night because she `` had a BBQ to go to `` that night - WTF ? ?| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> waiters <extra_id_1> negative,as,extraction
"The lunch buffet is expensive but is deff worth it .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> expensive <extra_id_1> lunch buffet <extra_id_2> negative <extra_id_3> food prices ; <extra_id_4> worth <extra_id_5> lunch buffet <extra_id_6> positive <extra_id_7> food quality,oasc,extraction
"Food is excellent .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Food <extra_id_1> positive,as,extraction
"The pasta penne was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne . . . got a little moody afterwards cause was stuffed . . . lol| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> extra buttery <extra_id_1> pasta penne ; <extra_id_2> moody <extra_id_3> pasta penne,oa,extraction
"I have been to Casimir over 5 times and I have always had a great time there .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Casimir <extra_id_1> positive,as,extraction
"When we threatened to leave , we were offered a meager discount even though half the order was missing .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"The high prices you ' re going to pay is for the view not for the food .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> high <extra_id_1> NULL <extra_id_2> negative <extra_id_3> restaurant prices,oasc,extraction
"Amazing food .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"We will go back every time we are in the City .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> go back <extra_id_1> NULL,oa,extraction
"Try the lobster teriyaki and the rose special roll .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Try <extra_id_1> lobster teriyaki ; <extra_id_2> Try <extra_id_3> rose special roll,oa,extraction
"the all - u - can - eat sushi is definitely in very poor quality .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> poor quality <extra_id_1> all - u - can - eat sushi <extra_id_2> negative <extra_id_3> food quality,oasc,extraction
"It looked like shredded cheese partly done - still in strips .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> shredded cheese partly done <extra_id_1> NULL,oa,extraction
"My husbands was perfect , my was well done and dry .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> negative <extra_id_5> food quality,sc,extraction
"The lamb was tender so full of flavor , the dessert was divine ! !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"Wretched and retching| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant general ; <extra_id_2> negative <extra_id_3> restaurant general,sc,extraction
"We had the scallops as an appetizer and they were delicious and the sauce was wonderful .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> delicious <extra_id_1> scallops ; <extra_id_2> wonderful <extra_id_3> sauce,oa,extraction
"Less than three minutes passed before I found myself doubled over the toilet .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> doubled over the toilet <extra_id_1> NULL,oa,extraction
"I would highly recommand requesting a table by the window .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> table by the window <extra_id_1> positive,as,extraction
"Warning : You may find it difficult to dine at other Japanese restaurants after a visit to Mizu !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general ; <extra_id_2> positive <extra_id_3> restaurant prices,sc,extraction
"Lucky Strike is a great casual place to just grab a bite to eat .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great casual <extra_id_1> Lucky Strike,oa,extraction
"The location is perfect .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> location <extra_id_1> positive,as,extraction
"I also ordered the Change Mojito , which was out of this world .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> drinks quality,sc,extraction
"Service was slow had to wait to order and get food although not crowded .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Service <extra_id_1> negative,as,extraction
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> best <extra_id_1> late night atmosphere,oa,extraction
"The entertainment was great they have shows that go on through out the dinner .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> entertainment,oa,extraction
"This place blew me away . . . by far my new favorite restaurant on the uppereast side .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> favorite <extra_id_1> place,oa,extraction
"I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> service <extra_id_1> negative ; <extra_id_2> food <extra_id_3> negative ; <extra_id_4> food <extra_id_5> negative,as,extraction
"Excellent food for great prices| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Excellent <extra_id_1> food ; <extra_id_2> Excellent <extra_id_3> food,oa,extraction
"The anti - pasta was excellent , especially the calamari , as were the filling pasta mains .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> excellent <extra_id_1> anti - pasta <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> excellent <extra_id_5> calamari <extra_id_6> positive <extra_id_7> food quality ; <extra_id_8> excellent <extra_id_9> pasta mains <extra_id_10> positive <extra_id_11> food quality ; <extra_id_12> excellent <extra_id_13> pasta mains <extra_id_14> positive <extra_id_15> food style_options,oasc,extraction
"I do n ' t think I would go again .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant general,sc,extraction
"The entree was bland and small , dessert was not inspired .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> entree <extra_id_1> negative ; <extra_id_2> entree <extra_id_3> negative ; <extra_id_4> dessert <extra_id_5> negative,as,extraction
"People are always friendly .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> friendly <extra_id_1> People <extra_id_2> positive <extra_id_3> service general,oasc,extraction
"Yamato is an excellent place to go if youre not into sashimi , or if you have friends who doesnt like sushi much .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> excellent <extra_id_1> Yamato,oa,extraction
"In the evening , this place attracted a well dressed , with it , NY crowd .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> attracted <extra_id_1> crowd <extra_id_2> positive <extra_id_3> restaurant miscellaneous,oasc,extraction
"Paul , the maitre d ' , was totally professional and always on top of things .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Paul <extra_id_1> positive,as,extraction
"Ambience is delightful , service impeccable .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> delightful <extra_id_1> Ambience ; <extra_id_2> impeccable <extra_id_3> service,oa,extraction
"I ' ve never had bad service and the fish is fresh and delicious .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> never had bad <extra_id_1> service <extra_id_2> positive <extra_id_3> service general ; <extra_id_4> fresh <extra_id_5> fish <extra_id_6> positive <extra_id_7> food quality ; <extra_id_8> delicious <extra_id_9> fish <extra_id_10> positive <extra_id_11> food quality,oasc,extraction
"This place has the best Chinese style BBQ ribs in the city .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> best <extra_id_1> BBQ ribs ; <extra_id_2> best <extra_id_3> BBQ ribs,oa,extraction
"Ca n ' t wait to go back .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"It ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> boring <extra_id_1> NULL ; <extra_id_2> below average <extra_id_3> sushi ; <extra_id_4> soggy <extra_id_5> tuna ; <extra_id_6> no flavor <extra_id_7> rolls,oa,extraction
"I have been going back again and again .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"The sushi is amazing ! ! !| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> amazing <extra_id_1> sushi <extra_id_2> positive <extra_id_3> food quality,oasc,extraction
"Guaranteed to be a tasty experience ! )| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> drinks quality,sc,extraction
"The best !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> tasteless <extra_id_1> porcini mushroom pasta special <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> tasteless <extra_id_5> seafood tagliatelle <extra_id_6> negative <extra_id_7> food quality,oasc,extraction
"The food ' s as good as ever .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Over all the looks of the place exceeds the actual meals .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> exceeds <extra_id_1> looks <extra_id_2> positive <extra_id_3> ambience general,oasc,extraction
"Will absolutely visit again .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> visit again <extra_id_1> NULL,oa,extraction
"I did n ' t complain , I liked the atmosphere so much .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> liked <extra_id_1> atmosphere <extra_id_2> positive <extra_id_3> ambience general,oasc,extraction
"Problem is nothing at Prune is particularly memorable .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant general,sc,extraction
"The food was excellent as well as service , however , I left The Four Seasons very dissappointed .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> service <extra_id_3> positive ; <extra_id_4> The Four Seasons <extra_id_5> negative,as,extraction
"The view is spectacular , and the food is great .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> view <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive,as,extraction
"Go there once and oh yes . . . you will go back . . . you will . . .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Gorgeous place ideal for a romantic dinner| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> restaurant miscellaneous,sc,extraction
"Not what I would expect for the price and prestige of this location .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> restaurant prices ; <extra_id_2> neutral <extra_id_3> restaurant miscellaneous,sc,extraction
"While the ambiance and atmosphere were great , the food and service could have been a lot better .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general ; <extra_id_4> negative <extra_id_5> food quality ; <extra_id_6> negative <extra_id_7> service general,sc,extraction
"The freshest , best variety , and the fastest delivery .| opinion : <extra_id_0> ,aspect : <extra_id_1> ,sentiment : <extra_id_2> ,category : <extra_id_3>",<extra_id_0> freshest <extra_id_1> NULL <extra_id_2> positive <extra_id_3> food quality ; <extra_id_4> best variety <extra_id_5> NULL <extra_id_6> positive <extra_id_7> food style_options ; <extra_id_8> fastest <extra_id_9> delivery <extra_id_10> positive <extra_id_11> service general,oasc,extraction
